19.07.2024                                                                                                                                   Dynamic List Display                                                                                                                                                                                            1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room   |Equipment |Description of technical object         |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                          |Act. start|Actual end|ActTotCost| PlanTotCos|MntPlan|MntItem|Created On|Notifctn |
|  PMPLUMB  |B94-Leak in water hose connecting to BCC|4000166816|ZM01|242    |TORBCC1327|CABINET, BIOSAFETY, CUSTOM              |PM-ANR-ANR|TOR0B94-LAB009-BIA0010        |CA02T0028|27.07.2024|27.07.2024|PRCO RFEX     |Z270724 |REL  MANC PRC  SETC                    |          |          |     0.00 |  1,014.35 |       |       |09.07.2024|100118732|
|  PMMACHI  |I00 Install new Agitator & Impeller     |4000167616|ZM01|2320   |TORTNK2104|CELL TANK 2                             |PM-CPU000 |TORB100-CES001-TAN0004        |CA02T0111|15.07.2024|16.07.2024|PRCO RFEX     |        |REL  CNF  JBFI MOBI PRC  SETC          |15.07.2024|15.07.2024|     0.00 | 11,022.14 |       |       |12.07.2024|100119420|
|  PMPLUMB  |Leak in room 222                        |4000167672|ZM02|       |          |                                        |          |TOR0B90                       |CA02T0167|12.07.2024|12.07.2024|PRCO RFEX     |        |REL  GMPS MANC PRC  SETC               |          |          |   344.83 |  3,853.83 |       |       |12.07.2024|100119435|
|  PMSTEAM  |B81 steam valve leak                    |4000167888|ZM01|       |          |                                        |PM-ANR-ANT|TOR0B81-BUI001                |CA02T0028|27.07.2024|27.07.2024|PRCO RFEX     |Z270724 |REL  MANC PRC  SETC                    |          |          |     0.00 |      0.00 |       |       |15.07.2024|100119594|
|  PMCARCON |B100 Exterior & Interior sealant repairs|4000167962|ZM01|       |          |                                        |          |TORB100-BUI001                |CA02T0111|09.02.2024|09.02.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  2,311.50 |       |       |15.07.2024|100092014|
|  PMPLMCON |I00 Insulate Mech Room 1607, 1613 & 1614|4000167981|ZM01|       |          |                                        |          |TORB100                       |CA02T0111|09.08.2024|09.08.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  2,330.00 |       |       |15.07.2024|100119675|
|  PMCARCON |B84 RM 207 Blind Repairs                |4000167998|ZM01|       |          |                                        |PM-EMS-GEN|TOR0B84-BUI001                |CA02T0101|25.06.2024|25.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |    701.50 |       |       |16.07.2024|100114982|
|  PMCARCON |B95 North Steam Vault Ground Water Remov|4000167999|ZM01|       |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|15.07.2024|15.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 | 12,400.45 |       |       |16.07.2024|100119590|
|  PMCARCON |B92 Rm2309/2310 Replace Floor Thresholds|4000168043|ZM01|2309   |          |                                        |          |TOR0B92                       |CA02T0048|12.06.2024|12.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |    655.50 |       |       |16.07.2024|100112230|
|  PMCARCON |B89 USP Facility Touchups               |4000168059|ZM01|USP    |          |                                        |          |TOR0B89                       |CA02T0043|19.07.2024|19.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  3,021.41 |       |       |16.07.2024|100119554|
|  PMCARCON |B90 Wall Paint Coming out in room 263D  |4000168247|ZM01|263D   |          |                                        |          |TOR0B90                       |CA02T0167|04.07.2024|04.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |    839.50 |       |       |17.07.2024|100117981|
|  PMHSECON |B04 Fire device issues                  |4000168261|ZM01|       |          |                                        |PM-EMS-MNT|TOR0B04-BUI001                |CA02T0101|17.07.2024|17.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |    520.00 |       |       |17.07.2024|100119877|
|  PMCARCON |Door mechanism for B94 RM 269 broken    |4000168263|ZM01|       |          |                                        |PM-ANR-ANT|TOR0B94-BUI001                |CA02T0028|04.07.2024|04.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  1,398.00 |       |       |17.07.2024|100117996|
|  PMCARCON |B94 Door opener in RM274 broken         |4000168268|ZM01|       |          |                                        |PM-ANR-ANT|TOR0B94-BUI001                |CA02T0028|12.06.2024|12.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  1,398.00 |       |       |17.07.2024|100112384|
|  PMELECT  |B60 Electrical outlets & Ethernet ports |4000168323|ZM01|251    |          |                                        |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|03.08.2024|04.08.2024|PRCO RFEX     |Z030824 |REL  CSER MANC PRC  SETC               |          |          |     0.00 |    795.74 |       |       |17.07.2024|100118186|
|  PMCARCON |Sink Hole Repair Sabin Ave              |4000168336|ZM01|       |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|17.07.2024|17.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  2,599.00 |       |       |17.07.2024|100119999|
|  PMCARCON |Broken Glass Window on Room 213         |4000168342|ZM01|       |          |                                        |          |TOR0B90                       |CA02T0167|13.07.2024|13.07.2024|PRCO RFEX     |Z130724 |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |    977.50 |       |       |17.07.2024|100119943|
|  PMELECON |B53 Fire Device Investigation           |4000168357|ZM01|       |          |                                        |          |TOR0B53                       |CA02T0091|17.07.2024|17.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |    490.00 |       |       |17.07.2024|100119998|
|  PMCARCON |B83 Rm339 Inspect Ceiling for Moisture  |4000168957|ZM01|       |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|19.07.2024|19.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |    609.50 |       |       |19.07.2024|100120664|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
