16.10.2023                                                                                                                          Dynamic List Display                                                                                                                                                                                   1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room    |Equipment |Object Description                      |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|UserStatus    |Revision|System status                           |Act. start|Actual end| TotCostAct| PlanTotCos|MntPlan|MntItem|
|  PMMACCON |PM-MACON, DWS1008                       |4000045334|ZM03|169     |TORDWS1008|SYSTEM_ DISTILLED WATER                 |PM-FIP-WAS|TOR0B83-PWS001-PWP0001        |CA02T0086|01.04.2023|30.12.2023|PRCO          |EXTENDED|REL  GMPS MACM PPRT PRC  SETC TTJL      |          |          | 56,351.70 |133,814.25 |3104   |13531  |
|  PMCARCON |TOR0B00 SITE-WIDE GEN. ASPHALT REPAIRS  |4000047139|ZM01|        |          |                                        |          |TOR0B00                       |CA02T0091|17.11.2022|17.11.2022|PRCO ERAP RFEX|REPORT  |CLSD CNF  PRT  GMPS JBFI MANC NMAT PRC *|17.11.2022|29.03.2023| 14,400.00 | 14,400.00 |       |       |
|  PMPLMCON |B89/89E DEC Shutdown Contractor Support |4000047719|ZM08|        |          |                                        |PM-BAC-COP|TOR0B89-BUI001                |CA02T0043|15.03.2023|16.03.2023|PRCO ERAP RFEX|REPORT  |TECO PCNF GMPS JBFI MANC NMAT PRC  SETC |28.11.2022|          |238,051.68 |244,063.68 |       |       |
|  PMELECT  |POWER SUPPLY _UNITERRUPTABLE _UPS       |4000047997|ZM02|408     |TORPOS1037|POWER SUPPLY_ UNINTERRUPTIBLE _UPS      |PM-PRD-FAC|TOR0B95-BUI007-XXX0001-JI00001|CA02P0029|14.01.2023|20.01.2023|ERAP PRCO RFEX|14012023|TECO CNF  GMPS JBFI MANC MOBI NMAT PRC *|14.01.2023|25.01.2023|  4,230.00 |  5,306.26 |       |       |
|  PMPLMCON |B94-Cooling tower water meter relocation|4000048052|ZM01|        |          |                                        |PM-ANR-ANT|TOR0B94-BUI001                |CA02T0028|17.12.2022|17.12.2022|PRCO ERAP RFEX|17122022|CLSD CNF  GMPS JBFI MANC NMAT PRC  SETC |17.12.2022|10.03.2023|  7,358.09 |  6,329.00 |       |       |
|  PMELECT  |Electrical Panel for Capper             |4000048070|ZM01|355     |TORCPR1007|Capper Machine - Bosch VRK 4010 B       |PM-FIP-FIL|TOR0B83-FIL004-CAC0001        |CA02T0035|28.01.2023|28.01.2023|PRCO ERAP RFEX|28012023|TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |13.12.2022|03.02.2023|  3,190.12 |  2,865.25 |       |       |
|  PMCARCON |B90 Tetanus Live Facility Repairs       |4000049156|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|03.12.2022|03.12.2022|PRCO ERAP RFEX|03122022|CLSD PCNF GMPS MANC NMAT PRC  PRTT SETC |03.12.2022|          |140,934.82 |115,836.19 |       |       |
|  PMMACCON |B89 MWS AUT1134 door rail system damaged|4000049458|ZM01|146     |TORAUT1134|Sterilizing Autoclave                   |PM-BAC-COP|TOR0B89-EQP001-AUT0002        |CA02T0044|31.12.2022|31.12.2022|PRCO ERAP RFEX|31122022|CLSD CNF  GMPS JBFI MANC NMAT PRC  SETC |31.12.2022|03.02.2023|  6,011.94 |  5,576.72 |       |       |
|  PMMACCON |White residue around rim of lid         |4000049651|ZM01|MOBILE  |TORTNK1779|TANK_ MOBILE FINAL PRODUCT_ 120L        |PM-BAC-ADS|TOR0B90-FIN009-TAN0021        |CA02T0038|02.12.2022|02.12.2022|PRCO ERAP     |QUOTE   |CLSD CNF  GMPS JBFI MANC NMAT PRC  SETC |02.12.2022|07.03.2023|  8,175.00 |  8,175.00 |       |       |
|  PMMACHI  |Impeller sticker expired                |4000049652|ZM01|VARIOUS |TORTNK1842|Final UF Tank J Tank 120L               |PM-BAC-COP|TOR0B89-DSP014-TAN0108        |CA02T0043|28.01.2023|28.01.2023|PRCO ERAP     |28012023|TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |03.02.2023|03.02.2023|  8,327.40 |  8,763.03 |       |       |
|  PMCARCON |B90 Technical Paint                     |4000049684|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|06.12.2022|06.12.2022|PRCO CNCL ERAP|QUOTE   |CLSD CNF  JBFI NMAT PRC  SETC           |06.12.2022|10.03.2023|      0.00 |150,000.00 |       |       |
|  PMMACHI  |B54 Pmp1155 coupling replacement        |4000050132|ZM01|        |          |                                        |          |TOR0B54                       |CA02T0091|25.01.2023|25.01.2023|PRCO ERAP RFEX|21012023|TECO PCNF GMPS JBFI MANC MOBI PRC  SETC |21.01.2023|          |  1,631.10 |  1,991.97 |       |       |
|  PMREFCON |B94 - COT1027/COT1028 repairs           |4000050137|ZM01|        |TORCOT1027|TOWER_COOLING                           |0001      |TOR0B94-CWS001-COT0001        |CA02T0028|13.03.2023|13.03.2023|PRCO ERAP RFEX|REPORT  |TECO CNF  GMPS MANC NMAT PRC  SETC      |15.12.2022|13.03.2023| 73,032.08 | 73,209.16 |       |       |
|  PMPLMCON |PM-PLCON, TORSYS1126                    |4000051396|ZM03|        |TORSYS1126|18CM B90 Relocate Propane Fisher System |0001      |TOR0B90-MEF005                |CA02T0037|03.06.2023|09.06.2023|PRCO ERAP RFEX|03062023|TECO CNF  PRT  GMPS JBFI MANC NMAT PRC *|03.06.2023|14.06.2023|  1,041.75 |  3,143.01 |3711   |17945  |
|  PMMACCON |B90 December Shutdown Insulation        |4000052527|ZM01|        |          |                                        |          |TOR0B90                       |CA02T0167|01.12.2022|07.03.2023|PRCO ERAP     |B90 S/D |CLSD CNF  GMPS JBFI MANC NMAT PRC  SETC |01.12.2022|07.03.2023| 33,216.90 |  3,600.00 |       |       |
|  PMREFCON |B03 - Glycol #3 leak and pump 2 fail    |4000052629|ZM01|N/AP    |TORDHW1013|DOMESTIC HOT WATER SYSTEM               |PM-EMS-MNT|TOR0B03-HWS001                |CA02T0101|21.01.2023|27.01.2023|PRCO ERAP RFEX|21012023|TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |21.01.2023|27.01.2023|  4,832.92 |  4,734.79 |       |       |
|  PMPLMCON |B93 Feb Shutdown - Contractor Support   |4000052684|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B93-BUI001                |CA02T0091|09.03.2023|09.03.2023|PRCO ERAP RFEX|REPORT  |REL  CNF  GMPS JBFI MANC PRC  SETC      |09.01.2023|08.03.2023| 49,680.90 | 79,141.00 |       |       |
|  PMMACCON |B89 USP - Fabricate SS Items            |4000052902|ZM01|        |          |                                        |          |TOR0B89                       |CA02T0043|12.01.2023|12.01.2023|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          | 20,475.00 | 20,475.00 |       |       |
|  PMSTMCON |B54 COT Make-up water pipe broken       |4000052906|ZM01|101     |100003951 |Cooling Tower                           |PM-EMS-MNT|TOR0B54-CWS002-COT0003        |CA02T0098|29.12.2022|29.12.2022|PRCO ERAP RFEX|REPORT  |CLSD CNF  GMPS JBFI MANC NMAT PRC  SETC |29.12.2022|02.02.2023| 11,286.00 | 11,286.00 |       |       |
|  PMSTEAM  |B93 - Lab room 241 steaming floor drain |4000053221|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B93-BUI001                |CA02T0091|18.03.2023|18.03.2023|PRCO ERAP RFEX|18032023|TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |22.03.2023|22.03.2023|  4,378.62 |  1,084.80 |       |       |
|  PMMACHI  |B90Dip-CA02T0040-Repair Filter Housings |4000053464|ZM01|        |          |                                        |          |TOR0B90                       |CA02T0167|04.08.2023|04.08.2023|PRCO ERAP RFEX|PARTS   |TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |23.01.2023|05.08.2023|  2,302.17 |  2,273.79 |       |       |
|  PMCARCON |WATERMAIN RPR ON WILSON TRAIL BEHIND B95|4000053470|ZM01|        |          |                                        |          |TOR0B00                       |CA02T0091|24.01.2023|24.01.2023|PRCO RFEX     |        |REL  GMPS MANC NMAT PPRT PRC  SETC TTJL |          |          | 37,146.50 | 37,146.50 |       |       |
|  PMCARCON |B90 Mtech loading dock sealant repairs  |4000053520|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|22.01.2023|22.01.2023|PRCO ERAP     |        |TECO CNF  GMPS JBFI MANC NMAT PRC  SETC |22.01.2023|26.04.2023|  7,937.28 |  7,937.28 |       |       |
|  PMPLMCON |Leak on condensate line in pipe rack 89E|4000053542|ZM01|        |          |                                        |          |TOR0B89                       |CA02T0043|14.12.2022|14.12.2022|PRCO ERAP RFEX|REPORT  |CLSD CNF  GMPS JBFI MANC NMAT PRC  SETC |14.12.2022|16.03.2023| 29,168.71 | 28,635.00 |       |       |
|  PMCARCON |B60 Roof Pipe & Duct Insulation Repairs |4000053543|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|25.01.2023|25.01.2023|PRCO ERAP     |REPORT  |CLSD CNF  GMPS JBFI MANC NMAT PRC  SETC |25.01.2023|22.03.2023|  3,410.00 |  3,410.00 |       |       |
|  PMMACCON |Replace Door Hinge Arm Covers in B83    |4000053556|ZM01|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|28.01.2023|13.02.2023|PRCO ERAP RFEX|28012023|CLSD CNF  GMPS JBFI MANC NMAT PRC  SETC |28.01.2023|13.02.2023| 18,500.00 | 37,000.00 |       |       |
|  PMELECON |Install Box Heater in Triple J Seacan   |4000053708|ZM01|        |          |                                        |          |TOR0B00                       |CA02T0091|24.01.2023|24.01.2023|PRCO ERAP RFEX|REPORT  |TECO CNF  GMPS JBFI MANC NMAT PRC  SETC |24.01.2023|12.07.2023|  2,200.00 |  2,200.00 |       |       |
|  PMPLMCON |B89 AUT1134 M/R Domestic BFP dumping    |4000053781|ZM01|        |TORAUT1134|Sterilizing Autoclave                   |0001      |TOR0B89-EQP001-AUT0002        |CA02T0044|13.01.2023|13.01.2023|PRCO ERAP RFEX|REPORT  |CLSD CNF  GMPS JBFI MANC NMAT PRC  SETC |13.01.2023|24.03.2023|  9,763.09 |  9,423.00 |       |       |
|  PMSTMCON |PM-STCON, AUT1125 (SPS)                 |4000054644|ZM03|        |TORAUT1125|AUTOCLAVE, STERIS                       |0001      |TOR0B90-USP001-AUT0001        |CA02T0039|03.06.2023|09.06.2023|PRCO ERAP RFEX|03062023|TECO CNF  PRT  GMPS JBFI MANC NMAT PRC *|03.06.2023|14.06.2023|  1,500.00 |  1,500.00 |2778   |12236  |
|  PMSTMCON |PM-STCON, AUT1161                       |4000054649|ZM03|224     |TORAUT1161|AUTOCLAVE_ FOR DECONTAMINATION          |PM-BAC-DIP|TOR0B90-USP001-AUT0002        |CA02T0040|03.06.2023|09.06.2023|PRCO ERAP RFEX|03062023|TECO CNF  PRT  GMPS JBFI MANC NMAT PRC *|03.06.2023|14.06.2023|  1,500.00 |  1,500.00 |2778   |12241  |
|  PMSTMCON |Repair condensate pipe undr road B54-B60|4000056034|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|02.02.2023|03.02.2023|PRCO ERAP RFEX|REPORT  |TECO CNF  GMPS JBFI MANC NMAT PRC  SETC |02.02.2023|18.08.2023|150,517.45 |150,517.45 |       |       |
|  PMELECT  |B90 Tet Live - Cracked exit sign        |4000056183|ZM01|        |          |                                        |          |TOR0B90                       |CA02T0167|04.02.2023|04.02.2023|PRCO ERAP RFEX|04022023|TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |14.03.2023|14.03.2023|  2,993.22 |  2,959.60 |       |       |
|  PMHSE    |B93 2022 F/A deficiency                 |4000056299|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B93-BUI001                |CA02T0091|04.02.2023|04.02.2023|PRCO RFEX     |04022023|REL  CSER GMPS MANC NMAT PRC  SETC      |          |          |  4,489.50 |  4,489.50 |       |       |
|  PMREFRI  |On 04 Feb 2023 Temperature Rose above 8C|4000056377|ZM02|225     |TORWIR1210|WALK_IN REFRIGERATOR                    |PM-BRD-CBM|TOR0B93-LAB016-COR0003        |CA02P0009|01.07.2023|07.07.2023|ERAP PRCO RFEX|12082023|TECO CNF  GMPS JBFI MANC MOBI PPRT PRC *|15.05.2023|31.08.2023| 16,586.28 | 17,042.15 |       |       |
|  PMLABCON |CA02T0047-CEN1211/CEN1212 rouging inside|4000056380|ZM01|        |TORCEN1211|Beckman J Series Centrifuge             |0001      |TOR0B89-DSP019-CEN0003        |CA02T0043|25.03.2023|25.03.2023|PRCO ERAP RFEX|25032023|TECO CNF  GMPS JBFI MANC NMAT PRC  SETC |25.03.2023|20.04.2023| 26,391.18 | 26,391.18 |       |       |
|  PMMACHI  |Broken curtain in B83 High priority(GQA)|4000056410|ZM01|126     |TORWIR0010|WALK_IN REFRIGERATOR                    |PM-MAM-TRD|TOR0B83-STO001-COR0001        |CA02T0021|24.06.2023|26.06.2023|PRCO ERAP RFEX|24062023|TECO CNF  ESTC GMPS JBFI MANC MOBI PRC *|27.03.2023|18.08.2023| 12,304.99 | 12,073.01 |       |       |
|  PMCARCON |WIR0049 Rust on ceiling                 |4000056533|ZM01|258     |TORWIR0049|REFRIGERATOR_ WALK_IN                   |PM-BAC-MED|TOR0B90-MEF002-COR0001        |CA02T0037|03.06.2023|03.06.2023|PRCO ERAP RFEX|03062023|TECO CNF  PRT  GMPS JBFI MANC NMAT PRC *|03.06.2023|12.07.2023|  7,762.50 |  7,762.50 |       |       |
|  PMLABCON |Assess/Replace 2 stained filter grates  |4000056663|ZM01|        |          |                                        |PM-BAC-COP|TOR0B89-BUI001                |CA02T0043|27.05.2023|27.05.2023|PRCO RFEX     |LABCON  |REL  PCNF PRT  GMPS JBFI MANC MOBI PRC *|15.02.2023|          |  2,552.70 |  3,443.14 |       |       |
|  PMELECT  |Pump 6B multiple alarms and very hot    |4000056665|ZM01|188     |TORPMP1916|PUMP                                    |PM-BAC-COP|TOR0B54-CWS001-PUM0004        |CA02T0045|03.06.2023|03.06.2023|PRCO RFEX     |21102023|REL  PCNF GMPS JIPR MANC MOBI PRC  SETC*|10.02.2023|          | 17,754.78 | 15,609.29 |       |       |
|  PMPLMCON |B60-CDS1035-SS/MS LINE INSTALLATION     |4000057022|ZM01|M/R 110 |TORCDS1035|B60 Condensate Receiver Manufact:Spirax |PM-BRD-UPS|TOR0B60-SCS002-CDC0002        |CA02P0010|14.02.2023|14.02.2023|PRCO ERAP RFEX|REPORT  |TECO CNF  GMPS JBFI MANC NMAT PRC  SETC |14.02.2023|06.09.2023|  4,301.00 |  4,301.00 |       |       |
|  PMCARCON |B81 envelope corrective actions         |4000057282|ZM01|        |          |                                        |PM-ANR-ANT|TOR0B81-BUI001                |CA02T0028|21.02.2023|21.02.2023|PRCO ERAP RFEX|REPORT  |TECO CNF  GMPS JBFI MANC NMAT PRC  SETC |21.02.2023|27.06.2023|  7,681.50 |  7,681.50 |       |       |
|  PMMACHI  |Replace door stopper Bldg.83 Rm# 348C   |4000057308|ZM01|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|25.03.2023|25.03.2023|PRCO ERAP RFEX|25032023|TECO CNF  PRT  GMPS JBFI MANC MOBI PRC *|27.02.2023|27.03.2023|  1,101.72 |  1,348.28 |       |       |
|  PMPLUMB  |B60 A111 Install a lab faucet nozzle    |4000057363|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|02.05.2023|08.07.2023|PRCO ERAP RFEX|15072023|TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |26.04.2023|20.07.2023|  1,731.77 |  1,719.64 |       |       |
|  PMMACCON |B89 cP USP Antriebe Refurbishment       |4000057469|ZM01|        |          |                                        |PM-BAC-COP|TOR0B89-BUI001                |CA02T0043|11.03.2023|11.03.2023|PRCO          |11032023|REL  GMPS MACM PRC  SETC                |          |          |  1,884.89 |  1,836.14 |       |       |
|  PMPLMCON |B94 MR100 Replace radiator coil RHA1003 |4000057561|ZM01|100     |TORRHA1003|SYSTEM_ REHEAT                          |PM-ANR-ANT|TOR0B94-LAB006-HEA0004        |CA02T0028|22.02.2023|22.02.2023|PRCO          |QUOTE   |REL  NMAT PRC  SETC                     |          |          |      0.00 |  5,105.00 |       |       |
|  PMELECT  |B60-STI0017 pressure transmitter defect |4000058917|ZM01|102     |TORPRT1277|TRANSDUCER_PRESSURE COOLING WATER       |PM-BLK-WFI|TOR0B60-WFS001-WFP0001-PT00001|CA02T0086|17.06.2023|17.06.2023|PRCO ERAP RFEX|24062023|TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |21.06.2023|21.06.2023|  3,520.82 |  4,258.82 |       |       |
|  PMHVACON |Noisy fan bearing West tower            |4000059569|ZM01|101     |100003951 |Cooling Tower                           |PM-EMS-MNT|TOR0B54-CWS002-COT0003        |CA02T0098|11.03.2023|11.03.2023|PRCO RFEX     |07102023|REL  GMPS MANC NMAT PRC  SETC           |          |          |  8,868.00 | 38,880.00 |       |       |
|  PMELECT  |B96 R267 THS1626  NOT WORKING           |4000059619|ZM01|267     |TORTHS1626|SENSOR_ TEMPERATURE_HUMIDITY            |PM-ANR-ANR|TOR0B96-LAB004-PTH0001-TME0011|CA02T0028|10.06.2023|10.06.2023|PRCO ERAP RFEX|10062023|TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |25.03.2023|18.08.2023|  1,367.66 |  2,416.50 |       |       |
|  PMELECT  |MCC-3 missing HMI display               |4000059831|ZM01|3400    |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|26.04.2023|27.04.2023|PRCO RFEX     |21102023|REL  PCNF GMPS JIPR MANC MOBI PRC  SETC*|22.04.2023|          |  1,593.55 |  1,744.58 |       |       |
|  PMSTMCON |PM-STCON, BLR1009                       |4000061659|ZM03|        |TORBLR1009|BOILER, SINK                            |B92       |TOR0B92-EQP008-BOI0001        |CA02T0036|01.08.2023|30.08.2023|PRCO ERAP RFEX|        |TECO CNF  PRT  GMPS JBFI MANC NMAT PRC *|30.06.2023|10.07.2023|  3,650.00 |  3,650.00 |2773   |12131  |
|  PMMACHI  |Refrabricate Drive shaft on tank wash   |4000063150|ZM01|        |TORTWS1002|TANK WASHING STATION                    |B92       |TOR0B92-EQP009-WSC0001        |CA02T0048|01.08.2023|01.08.2023|PRCO RFEX     |14102023|REL  PCNF ESTC MANC MOBI NMAT PRC  SETC |11.07.2023|          |    790.02 |  4,582.51 |       |       |
|  PMMACHI  |PM-MACHI, ACO1038 (weekly ACO)          |4000063288|ZM03|311     |TORACO1038|COMPRESSOR_ AIR                         |          |TOR0B72-BUI002-AIM0001        |CA02T0101|05.08.2023|11.08.2023|PRCO ERAP RFEX|05082023|TECO CNF  MANC MOBI NMAT PRC  SETC      |09.08.2023|16.08.2023|    384.37 |  1,073.13 |2591   |10652  |
|  PMHVAC   |Install magnets over the filter covers  |4000063695|ZM08|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0048|01.07.2023|01.07.2023|PRCO ERAP RFEX|22072023|TECO CNF  ESTC GMPS JBFI MANC MOBI PRC *|01.08.2023|01.08.2023|  1,349.37 |  1,094.55 |       |       |
|  PMREFRI  |Install Probes in TCUs                  |4000064220|ZM01|        |TORINC1276|INCUBATOR UNIT                          |B90       |TOR0B90-LAB013-INC0001        |CA02T0104|03.05.2023|03.05.2023|PRCO RFEX     |14102023|REL  PCNF GMPS JBFI MANC MOBI PRC  SETC |01.05.2023|          |    676.27 |  2,589.27 |       |       |
|  PMPLMCON |PM-PLCON, TORSYS1126                    |4000066793|ZM03|        |TORSYS1126|18CM B90 Relocate Propane Fisher System |B90       |TOR0B90-MEF005                |CA02T0037|01.10.2023|30.10.2023|PRCO ERAP RFEX|07102023|TECO CNF  GMPS JBFI MANC NMAT PRC  SETC |01.10.2023|11.10.2023|    319.49 |  1,361.24 |3711   |17945  |
|  PMMACHI  |B90Dip-Inspect and Repair TNK1252       |4000068524|ZM01|236/222 |TORTNK1252|TANK_ FERMENTER_COLLECTION_ 350L        |PM-BAC-FER|TOR0B90-USP009-TAN0019        |CA02T0040|01.05.2023|01.05.2023|PRCO          |REPORT  |REL  MANC PRC  SETC                     |          |          |      0.00 |  1,625.00 |       |       |
|  PMHVAC   |Thermostat not functioning in room 332  |4000080129|ZM01|        |          |                                        |PM-ANR-ANT|TOR0B94-BUI001                |CA02T0028|08.07.2023|12.07.2023|PRCO RFEX     |16092023|REL  PCNF GMPS MANC MOBI PRC  SETC      |26.06.2023|          |  7,178.78 |  5,134.40 |       |       |
|  PMCARCON |B90Dip-Facility Paint Repairs-June 2023 |4000084266|ZM01|        |          |                                        |          |TOR0B90                       |CA02T0167|03.06.2023|03.06.2023|PRCO ERAP RFEX|03062023|TECO CNF  PRT  GMPS JBFI MANC NMAT PRC *|03.06.2023|12.07.2023| 18,290.15 | 18,290.15 |       |       |
|  PMCARCON |MTech Lab Touch Ups                     |4000084383|ZM01|        |          |                                        |          |TOR0B90                       |CA02T0167|05.06.2023|05.06.2023|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |  1,930.00 |       |       |
|  PMMACCON |June 2023 SD Sprint Support             |4000085811|ZM01|        |          |                                        |          |TOR0B90                       |CA02T0167|01.06.2023|17.07.2023|PRCO RFEX     |B90JNSD |REL  GMPS MANC NMAT PRC  SETC           |          |          | 60,580.00 | 60,580.00 |       |       |
|  PMOPCP   |B89 Order seals for fermenters          |4000087053|ZM01|        |TORFER0046|FERMENTER                               |B89       |TOR0B89-BIO002-FER0001        |CA02T0043|01.06.2023|01.06.2023|PRCO RFEX     |COMMENT |REL  GMPS MSPT PRC  SETC                |          |          |    979.08 | 35,284.66 |       |       |
|  PMHVAC   |PM-HVAC, HEX1004 VLV SERVICE            |4000087626|ZM03|183B    |TORHEX1004|HEAT EXCHANGER                          |PM-EMS-MNT|TOR0B90-BUI005-HEX0001        |CA02T0090|01.10.2023|30.10.2023|PRCO ERAP RFEX|07102023|TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |10.10.2023|10.10.2023|    162.58 |  1,388.06 |2640   |11223  |
|  PMREFRI  |High temperature Alarm                  |4000090219|ZM02|        |TORWII1130|LAB WORKS INCUBATOR, WALK-IN 19-02-253  |B90       |TOR0B90-USP007-WII0001        |CA02T0039|19.06.2023|          |PRCO RFEX     |19082023|REL  PCNF GMPS MANC MOBI PPRT PRC  SETC |19.06.2023|          |  3,503.54 |  3,785.43 |       |       |
|  PMHVAC   |B91 - QC Sampling area high RH          |4000093617|ZM02|        |TORSAS1121|Sterile Air Supply - Engineered Air Cust|B91       |TOR0B91-HVA001-AHU0001        |CA02T0026|06.07.2023|          |ERAP PRCO RFEX|        |TECO CNF  GMPS MANC MOBI NMAT PRC  SETC |06.07.2023|13.07.2023|  2,552.13 |  3,079.88 |       |       |
|  PMPLUMB  |Install Solenoid and Timer on Water Drop|4000093741|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|19.01.2023|20.08.2023|PRCO RFEX     |21102023|REL  PCNF GMPS MANC MOBI PRC  SETC      |21.07.2023|          |  1,518.01 |  4,304.26 |       |       |
|  PMELECT  |B93 - CPR1008 additional parts replace  |4000093949|ZM01|131     |TORCPR1008|CAPPER                                  |PM-BRD-CBM|TOR0B93-LAB008-CAC0001        |CA02P0009|11.07.2023|11.07.2023|PRCO          |17022024|REL  GMPS MANC PRC  SETC                |          |          |  9,591.74 | 17,343.04 |       |       |
