29.05.2024                                                                                                                         Dynamic List Display                                                                                                                                                                                  1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room   |Equipment |Description of technical object         |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end|ActTotCost| PlanTotCos|MntPlan|MntItem|
|  PMELECON |PM-ELCON, GEN1027                       |4000122961|ZM03|3113   |TORGEN1027|GENERATOR_ HYDROGEN                     |PM-QUC-CHE|TOR0B92-LAB002-GEN0001        |CA02T0024|01.05.2024|30.05.2024|PRCO RFEX     |25052024|REL  PRC  SETC                          |          |          |     0.00 |  1,344.23 |2790   |12430  |
|  PMREFRI  |B92 WIR1202 Replace Filter Drier        |4000123620|ZM01|1339   |TORWIR1202|WALK_IN REFRIGERATOR                    |PM-VIR-MED|TOR0B92-MEF006-COR0001        |CA02T0049|29.06.2024|29.06.2024|PRCO RFEX     |Z290624 |REL  PCNF MANC MOBI PRC  SETC           |28.03.2024|          |     0.00 |    139.94 |       |       |
|  PMPLUMB  |I00 Sink Plumbing for Trades Area       |4000124595|ZM01|       |          |                                        |          |TORB100                       |CA02T0111|13.02.2024|20.02.2024|PRCO RFEX     |09032024|REL  PCNF GMPS MANC MOBI PRC  SETC      |13.02.2024|          | 1,970.66 |  3,661.00 |       |       |
|  PMWFICON |Evoqua Service for 2024                 |4000126581|ZM01|       |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|26.01.2024|26.01.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          | 4,641.12 | 21,815.84 |       |       |
|  PMPFO    |Investigate Sensor B100_452_STM_DISTRIB |4000127262|ZM01|       |          |                                        |          |TORB100                       |CA02T0111|10.02.2024|10.02.2024|PRCO RFEX     |        |REL  CNF  JBFI MANC MOBI PRC  SETC      |01.05.2024|07.05.2024|     0.00 |    982.73 |       |       |
|  PMMACCON |PM-MACON, TNK1365                       |4000127665|ZM03|154    |TORTNK1365|TANK_HWFI HOLDING_1400L                 |PM-BAC-COP|TOR0B89-DSP023-TAN0001        |CA02T0047|01.06.2024|30.06.2024|PRCO          |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,950.00 |2828   |12646  |
|  PMSTMCON |PM-STCON, AUT1125 (SPS)                 |4000128115|ZM03|       |TORAUT1125|AUTOCLAVE, STERIS                       |B90       |TOR0B90-USP001-AUT0001        |CA02T0039|01.06.2024|30.06.2024|PRCO RFEX     |01062024|REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,570.00 |2778   |12236  |
|  PMSTMCON |PM-STCON, AUT1161                       |4000128120|ZM03|224    |TORAUT1161|AUTOCLAVE_ FOR DECONTAMINATION          |PM-BAC-DIP|TOR0B90-USP001-AUT0002        |CA02T0040|01.06.2024|30.06.2024|PRCO RFEX     |01062024|REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,570.00 |2778   |12241  |
|  PMPLUMB  |Investigate the elevator smell          |4000128183|ZM02|121    |TORELV1016|ELEVATOR_ LARGE PASSENGER               |PM-EMS-MNT|TOR0B83-BUI006-ELL0002        |CA02T0090|02.02.2024|          |ERAP PRCO RFEX|        |TECO CNF  GMPS MANC MOBI NMAT PRC  SETC |05.02.2024|05.02.2024|   720.73 |    834.23 |       |       |
|  PMELECT  |B92 R3025 (4) BURNED LIGHTS BULBs       |4000128901|ZM01|       |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|21.02.2024|08.06.2024|PRCO RFEX     |Z080624 |REL  PCNF ESTC GMPS MANC MOBI PRC  SETC |21.02.2024|          |    66.42 |    283.88 |       |       |
|  PMHVAC   |B95 Rm318 Heat Stuck On                 |4000128941|ZM01|VARIOUS|          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|05.04.2024|01.06.2024|PRCO ERAP RFEX|Z010624 |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |15.03.2024|          |   202.74 |    302.52 |       |       |
|  PMMACCON |B83 Pump trucks failed Inspection       |4000129908|ZM01|334    |TORPTR1038|PUMP TRUCK _9                           |PM-FIP-LAP|TOR0B83-BUI003-CAR0005        |CA02T0001|08.06.2024|08.06.2024|PRCO RFEX     |Z080624 |REL  GMPS MANC PRC  SETC                |          |          | 1,163.40 |  3,638.39 |       |       |
|  PMELECT  |I00 TORCEN1558 Troubleshoot Amperage    |4000130314|ZM01|2331   |TORCEN1558|CENTRIFUGE                              |PM-CPD200 |TORB100-DSP023-CEN0004        |CA02T0111|16.02.2024|16.02.2024|PRCO ERAP RFEX|        |TECO CNF  GMPS JBFI MANC MOBI NMAT PRC *|15.02.2024|22.02.2024| 2,493.77 |  6,893.39 |       |       |
|  PMSTMCON |B90 MR173 STG1031 piping insulated      |4000132206|ZM01|       |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|01.05.2024|01.05.2024|PRCO RFEX     |Z270424 |REL  CNF  ESTC GMPS JBFI MANC MOBI PRC *|07.03.2024|14.05.2024|   754.92 |  3,276.13 |       |       |
|  PMELECT  |Lights burnt out in B93 Boardroom Rm 004|4000132537|ZM01|       |          |                                        |          |TOR0B93                       |CA02P0009|01.06.2024|01.06.2024|PRCO RFEX     |Z010624 |REL  PCNF ESTC GMPS JIPR MANC MOBI PRC *|26.03.2024|          |   160.28 |  1,229.75 |       |       |
|  PMMETRO  |METRO, 300001904 FLT Intr               |4000133179|ZM05|2331   |300001904 |PU-401 MASS FLOW METER                  |          |TORB100-CHU002-XXX0001-FT00004|CA02T0111|01.03.2024|31.03.2025|PRCO ERAP RFEX|        |TECO CNF  GMPS ILAS JBFI MANC PRC  SETC |13.03.2024|14.05.2024| 1,232.00 |  1,232.00 |49798  |67439  |
|  PMMETRO  |METRO, 300020672 TOC                    |4000134439|ZM05|102    |300020672 |TOC Analyzer                            |PM-BLK-WFI|TOR0B60-PWS002-XXX0001-TOC0001|CA02T0086|01.03.2024|30.03.2024|PRCO          |EXTENDED|REL  ILAS MANC PRC  SETC                |          |          |     0.00 | 14,602.59 |74035  |91743  |
|  PMSTEAM  |USP FER0046 F3 jacket leak              |4000136387|ZM01|       |TORFER0046|FERMENTER                               |B89       |TOR0B89-BIO002-FER0001        |CA02T0043|02.05.2024|03.05.2024|PRCO RFEX     |Z270424 |REL  PCNF ESTC GMPS JIPR MANC MOBI PRC *|04.04.2024|          |    46.95 |  3,996.95 |       |       |
|  PMREFRI  |Repair CHI1081 B60, Annex Rm110         |4000137489|ZM01|       |          |                                        |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|25.03.2024|01.06.2024|PRCO RFEX     |Z010624 |REL  PCNF MANC MOBI PRC  SETC           |25.03.2024|          |     0.00 |  1,127.85 |       |       |
|  PMPFO    |Inspect agitator noise Cell Tank 1      |4000137642|ZM01|2320   |TORTNK2103|CELL TANK 1                             |PM-EMS-MNT|TORB100-CES001-TAN0001        |CA02T0111|02.04.2024|11.04.2024|PRCO RFEX     |PARTS   |REL  PCNF GMPS MANC MOBI PRC  SETC      |27.03.2024|          |24,157.56 | 53,910.74 |       |       |
|  PMELECT  |Spare parts utilization by B200 - April |4000138325|ZM08|       |          |                                        |          |TORB200                       |CA02T0162|01.04.2024|01.04.2024|PRCO RFEX     |PARTS   |REL  CSER GMPS MANC PRC  SETC           |          |          | 2,332.36 |  2,326.51 |       |       |
|  PMELECT  |Spare parts utilization by B200 - May   |4000138326|ZM08|       |          |                                        |          |TORB200                       |CA02T0162|01.05.2024|01.05.2024|PRCO RFEX     |PARTS   |REL  CSER GMPS MANC PRC  SETC           |          |          | 1,083.92 |  1,110.83 |       |       |
|  PMELECT  |B60 WFI Outlet Prox Switches Malfunction|4000138686|ZM01|102    |TORWFI0011|SYSTEM_ WATER FOR INJECTION             |PM-BLK-WFI|TOR0B60-WFS002                |CA02T0086|25.05.2024|28.05.2024|PRCO RFEX     |Z250524 |REL  PCNF GMPS MANC MOBI PRC  SETC      |01.04.2024|          | 4,127.78 |  7,102.41 |       |       |
|  PMPLUMB  |Check foot peddle on sink B95-2-234     |4000139627|ZM01|VARIOUS|          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|22.06.2024|22.06.2024|PRCO RFEX     |Z220624 |REL  GMPS MANC MOBI PRC  SETC           |          |          |   309.92 |  1,723.66 |       |       |
|  PMMACHI  |B92 stairwell 1 door handle replacement |4000140235|ZM01|       |          |                                        |          |TOR0B92                       |CA02T0048|04.05.2024|04.05.2024|PRCO ERAP RFEX|Z040524 |TECO CNF  JBFI MANC MOBI PRC  SETC      |12.04.2024|12.04.2024|     0.00 |    549.12 |       |       |
|  PMREFCON |B94 - CHI1040 shaft and purge line leak |4000140738|ZM01|101    |TORCHI1040|CHILLER                                 |PM-EMS-MNT|TOR0B94-CWS001-CHI0002        |CA02T0028|18.05.2024|18.05.2024|PRCO RFEX     |Z180524 |REL  PCNF GMPS MANC MOBI PRC  SETC      |22.05.2024|          |13,348.95 | 38,316.00 |       |       |
|  PMMACCON |Dock plate on B90 NE dock not level     |4000140858|ZM01|       |          |                                        |          |TOR0B90                       |CA02T0167|05.04.2024|05.04.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          |   603.69 |    603.69 |       |       |
|  PMREFRI  |Investigate/troubleshoot WII1129 issue  |4000140881|ZM01|       |TORWII1129|Walk In Incubator for Tet & Dip, Labwork|B90       |TOR0B90-DSP012-WII0001        |CA02T0039|05.04.2024|05.04.2024|PRCO ERAP RFEX|COMMENT |TECO CNF  ESTC GMPS JBFI MANC MOBI PRC *|08.04.2024|23.05.2024|12,614.16 | 12,335.93 |       |       |
|  PMMACHI  |B91QCRM QUARTERLY GEMBA DEFECT LIST     |4000141003|ZM01|       |          |                                        |          |TOR0B91                       |CA02T0067|29.04.2024|29.04.2024|PRCO RFEX     |Z200424 |REL  PCNF MANC MOBI PRC  SETC           |25.04.2024|          |     0.00 |    810.75 |       |       |
|  PMELECT  |B95 Therm Scan Breaker panel PP-22 or 46|4000141016|ZM01|VARIOUS|          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|01.06.2024|02.06.2024|PRCO RFEX     |Z010624 |REL  PCNF MANC MOBI PRC  SETC           |26.04.2024|          |     0.00 |  1,055.64 |       |       |
|  PMELECT  |B95 Therm Scan 600v SW gear Ground/surge|4000141017|ZM01|VARIOUS|          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|01.06.2024|02.06.2024|PRCO RFEX     |Z010624 |REL  PCNF MANC MOBI PRC  SETC           |26.04.2024|          |     0.00 |  1,789.02 |       |       |
|  PMREFRI  |B92 WIR1243 Replace leaking Ball Valve  |4000141219|ZM01|2309   |TORWIR1243|WALK_IN REFRIGERATOR                    |PM-QUC-SAM|TOR0B92-LAB025-COR0001        |CA02T0032|25.05.2024|25.05.2024|PRCO RFEX     |Z250524 |REL  MANC MOBI PRC  SETC TTJL           |          |          |     0.00 |    311.42 |       |       |
|  PMPLUMB  |B00-INSPECTION FOR FOUNTAIN             |4000141495|ZM01|       |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|18.05.2024|20.05.2024|PRCO RFEX     |Z180524 |REL  GMPS MANC MOBI PRC  SETC           |          |          | 1,772.70 |  1,772.70 |       |       |
|  PMCARCON |B90 Tet Live Women's Washroom Repairs   |4000141512|ZM01|RM 329 |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|01.05.2024|01.05.2024|PRCO          |REPORT  |REL  PCNF GMPS JIPR MANC PRC  SETC TTJL |10.04.2024|          | 1,161.50 | 14,186.50 |       |       |
|  PMHVAC   |B83 EXF in Office Washroom not Working  |4000141848|ZM01|107A   |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|08.06.2024|08.06.2024|PRCO RFEX     |Z080624 |REL  MANC MOBI PRC  SETC                |          |          |     0.00 |    180.60 |       |       |
|  PMMACHI  |Replace CCA muffler on TK102            |4000141860|ZM01|2101   |TORTNK2194|CP MEDIA PREP TANK 5000L                |          |TORB100-MEF003-TAN0003        |CA02T0111|15.04.2024|15.04.2024|PRCO RFEX     |PARTS   |REL  PCNF JIPR MANC MOBI PRC  SETC      |15.04.2024|          |     0.00 |     66.48 |       |       |
|  PMMACCON |I00 Rebuild Condenser Supply Pump 3     |4000142056|ZM01|N/AP   |TORPMP2477|CONDENSER WATER SUPPLY PUMP 3           |PM-EMS-MNT|TORB100-CTW001-PUM0003        |CA02T0111|08.06.2024|08.06.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 13,500.00 |       |       |
|  PMMACCON |I00 Rebuild Condenser Supply Pump 4     |4000142061|ZM01|N/AP   |TORPMP2478|CONDENSER WATER SUPPLY PUMP 4           |PM-EMS-MNT|TORB100-CTW001-PUM0004        |CA02T0111|15.04.2024|15.04.2024|PRCO ERAP RFEX|        |TECO CNF  JBFI MANC NMAT PRC  SETC      |15.04.2024|15.05.2024|     0.00 | 13,500.00 |       |       |
|  PMHVAC   |Inspect Vibration on EXF1330            |4000142238|ZM01|       |          |                                        |          |TOR0B53                       |CA02T0091|04.05.2024|04.05.2024|PRCO RFEX     |Z040524 |REL  CNF  JBFI MANC MOBI PRC  SETC      |06.05.2024|06.05.2024|     0.00 |    306.16 |       |       |
|  PMELECT  |UPS BACTEC NO POWER                     |4000142265|ZM01|103    |TORSYS1159|SYSTEM, MYCOBACTERIA CULTURE            |PM-MTECH  |TOR0B78-LAB005                |CA02T0104|03.05.2024|08.06.2024|PRCO RFEX     |Z080624 |REL  PCNF GMPS MANC MOBI PRC  SETC      |03.05.2024|          | 1,825.99 |  6,292.79 |       |       |
|  PMPLUMB  |B93 - Sanitary Sump pump replacement    |4000142752|ZM01|       |          |                                        |PM-EMS-MNT|TOR0B93-BUI001                |CA02T0091|01.06.2024|02.06.2024|PRCO RFEX     |Z010624 |REL  CSER GMPS MANC MOBI PRC  SETC      |          |          | 2,633.89 |  2,633.89 |       |       |
|  PMAUTO   |DIN-ALM_ACO-02 Digital Alarm            |4000142812|ZM02|       |TORCAS0005|B89 Compressed Air System Upgrade       |B89       |TOR0B89-ACN001                |CA02T0043|23.04.2024|          |PRCO RFEX     |        |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC*|24.04.2024|          |   143.29 |    140.55 |       |       |
|  PMREFCON |B92 CHI1027 Replace Leaking AMOT Valve  |4000142825|ZM01|N/AP   |TORCHI1027|CHILLER                                 |PM-EMS-MNT|TOR0B92-CWS001-CHI0001        |CA02T0090|08.06.2024|08.06.2024|PRCO RFEX     |Z080624 |REL  MANC PRC  SETC                     |          |          |     0.00 |  2,777.87 |       |       |
|  PMMACCON |Alfa Laval Cost Additional Cost         |4000142845|ZM01|       |TORCEN0081|CENTRIFUGE                              |B89       |TOR0B89-DSP003-CEN0001        |CA02T0043|19.03.2024|19.03.2024|PRCO          |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          |     0.00 |  4,722.00 |       |       |
|  PMHVAC   |Honeywell Controller                    |4000142847|ZM01|128    |TORSAS1079|AIR HANDLING UNIT_ STERILE              |PM-BAC-COP|TOR0B89-HVA003-AHU0001        |CA02T0043|19.04.2024|19.04.2024|PRCO          |REPORT  |REL  MANC PRC  SETC                     |          |          |     0.00 |  6,617.20 |       |       |
|  PMHVAC   |B95 - AHU1139 charcoal filter           |4000142854|ZM01|407    |TORAHU1139|UNIT_ AIR HANDLING                      |PM-EMS-MNT|TOR0B95-HVA005-AHU0004        |CA02P0030|01.06.2024|01.06.2024|PRCO RFEX     |Z010624 |REL  MANC PRC  SETC                     |          |          |     0.00 |  1,881.60 |       |       |
|  PMPLUMB  |B94 - Sump pumps malfunction            |4000142856|ZM01|       |          |                                        |PM-ANR-ANT|TOR0B94-BUI001                |CA02T0028|01.06.2024|01.06.2024|PRCO RFEX     |Z010624 |REL  GMPS MANC PRC  SETC                |          |          |   347.51 |  1,613.36 |       |       |
|  PMPLMCON |B83 MR163 Install insulation on HEX     |4000142860|ZM01|163    |TORSTG0012|GENERATOR, STEAM                        |B83       |TOR0B83-CSS002-CSG0001        |CA02T0057|23.04.2024|23.04.2024|PRCO          |REPORT  |REL  GMPS NMAT PRC  SETC                |          |          |   980.00 |    980.00 |       |       |
|  PMELECON |4000131335 PO capture                   |4000142926|ZM01|ROOF   |TORSAS1108|AIR HANDLING UNIT_ STERILE              |PM-BAC-COP|TOR0B89-HVA003-AHU0004        |CA02T0043|25.04.2024|25.04.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |    540.00 |       |       |
|  PMCARCON |B95 1st Floor Lab Repairs               |4000142928|ZM01|VARIOUS|          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|25.04.2024|25.04.2024|PRCO RFEX     |REPORT  |REL  MANC PRC  SETC                     |          |          |     0.00 |  2,725.50 |       |       |
|  PMMETRO  |Pipette training for Metrology          |4000143045|ZM08|103    |TORPIP1013|PIPETTE                                 |PM-BAC-COP|TOR0B89-DSP026-TEE0002-PIE0001|CA02T0047|26.04.2024|26.04.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC TTJL           |          |          |     0.00 |  1,987.50 |       |       |
|  PMSTEAM  |Replace Main Isolation Valve.           |4000143050|ZM01|       |TORSTG0016|GENERATOR, PURE STEAM                   |B89       |TOR0B89-CSS002-CSG0002        |CA02T0043|03.04.2024|03.04.2024|PRCO          |E&S     |REL  GMPS MANC PRC  SETC                |          |          | 1,106.72 |  2,213.44 |       |       |
|  PMCARCON |B16 Water damage repair                 |4000143089|ZM01|       |          |                                        |          |TOR0B16                       |CA02T0091|29.04.2024|29.04.2024|PRCO          |REPORT  |REL  MANC PRC  SETC                     |          |          |     0.00 |    770.50 |       |       |
|  PMBAS    |B96 investigate failed BAS panel MEC12  |4000143147|ZM02|       |          |                                        |          |TOR0B96                       |CA02T0028|30.04.2024|          |ERAP PRCO RFEX|        |TECO CNF  JBFI MANC PRC  SETC           |29.04.2024|01.05.2024|     0.00 |    154.03 |       |       |
|  PMELECT  |B96 R104 Investigate failed local UPS   |4000143156|ZM01|104    |          |                                        |PM-EMS-MNT|TOR0B96-BUI001                |CA02T0091|04.05.2024|04.05.2024|PRCO ERAP RFEX|Z040524 |TECO CNF  JBFI MANC MOBI PRC  SETC      |07.05.2024|07.05.2024|     0.00 |    154.03 |       |       |
|  PMMFO    |Lipseal replacement 04May2024           |4000143263|ZM01|2332   |TORCEN1552|FIM Tubular Centrifuge                  |PM-CPD500 |TORB100-CES001-CEN0009        |CA02T0111|04.05.2024|05.05.2024|PRCO ERAP RFEX|        |TECO CNF  CSER GMPS JBFI MANC MOBI PRC *|03.05.2024|10.05.2024|   123.90 |    123.90 |       |       |
|  PMCARCON |B72 Lower Level Floor Tile Repairs      |4000143289|ZM01|       |          |                                        |PM-EMS-MNT|TOR0B72-BUI001                |CA02T0090|25.04.2024|25.04.2024|PRCO          |REPORT  |REL  MANC PRC  SETC                     |          |          |     0.00 |    414.00 |       |       |
|  PMMACCON |Hoist Arm Broken Locking Ring           |4000143312|ZM01|       |TORHST1067|Hoist, SS Electrical                    |B90       |TOR0B90-EQP005-HOI0005        |CA02T0036|02.05.2024|02.05.2024|PRCO RFEX     |REPORT  |REL  CNF  JBFI MANC PRC  SETC TTJL      |01.05.2024|02.05.2024|     0.00 |    657.00 |       |       |
|  PMELECT  |B92 Condensate Meter Installation       |4000143317|ZM01|       |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|08.06.2024|08.06.2024|PRCO RFEX     |Z080624 |REL  PCNF MANC MOBI PRC  SETC           |14.05.2024|          |     0.00 |    349.68 |       |       |
|  PMHVAC   |B83 SAS1104 Repair Glycol Leak          |4000143396|ZM01|ROOF   |TORSAS1104|AIR HANDLING UNIT_ STERILE              |PM-FIP-FIL|TOR0B83-HVA005-AHU0008        |CA02T0035|08.06.2024|08.06.2024|PRCO RFEX     |Z080624 |REL  MANC PRC  SETC                     |          |          |     0.00 |    228.72 |       |       |
|  PMPLUMB  |Druck Line Repair                       |4000143433|ZM01|       |300019671 |Pressure Calibrator                     |PM-BAC-ADS|TOR0B90-FIN006-XXX0001-VAS0001|CA02T0038|04.05.2024|04.05.2024|PRCO ERAP RFEX|Z040524 |TECO CNF  JBFI MANC MOBI PRC  SETC      |07.05.2024|13.05.2024|     0.00 |    205.03 |       |       |
|  PMPLMCON |Insulation repair to be done            |4000143461|ZM01|       |          |                                        |PM-BAC-COP|TOR0B54-BUI001                |CA02T0045|11.05.2024|11.05.2024|PRCO RFEX     |Z110524 |REL  MANC PRC  SETC                     |          |          |     0.00 |  1,364.00 |       |       |
|  PMPLUMB  |B83 Cafeteria Leaking Tap               |4000143628|ZM01|CAF    |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|06.07.2024|06.07.2024|PRCO RFEX     |Z060724 |REL  GMPS MANC MOBI PRC  SETC           |          |          |   105.54 |    957.88 |       |       |
|  PMELECT  |DSP Remove vibration analyzer CEN0082   |4000143742|ZM01|       |TORCEN0082|CENTRIFUGE                              |B89       |TOR0B89-DSP019-CEN0001        |CA02T0043|13.05.2024|13.05.2024|PRCO RFEX     |S/D     |REL  PCNF JIPR MANC MOBI PRC  SETC      |08.05.2024|          |     0.00 |    868.25 |       |       |
|  PMHSECON |B53 Chubb Service Call                  |4000144275|ZM01|       |          |                                        |          |TOR0B53                       |CA02T0101|03.05.2024|03.05.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,352.20 |       |       |
|  PMHSECON |B53 Chubb Service Call                  |4000144276|ZM01|       |          |                                        |          |TOR0B53                       |CA02T0101|03.05.2024|03.05.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,352.20 |       |       |
|  PMMACHI  |Inspect the Rupture disk on Tank A      |4000144389|ZM02|1350   |TORSYS1129|SYSTEM_ ADJUVANT                        |PM-VIR-MED|TOR0B92-MEF005                |CA02T0049|06.05.2024|          |ERAP PRCO RFEX|        |TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |06.05.2024|09.05.2024|12,568.68 | 12,568.67 |       |       |
|  PMHSECON |Chubb Service Call                      |4000144393|ZM01|       |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|03.05.2024|03.05.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          |   894.50 |    894.50 |       |       |
|  PMHSECON |Chubb service call                      |4000144394|ZM01|       |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|03.05.2024|03.05.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          | 1,778.50 |  1,778.50 |       |       |
|  PMELECT  |B84 Rm206 LIGHT FIXTURE                 |4000144396|ZM01|206    |          |                                        |PM-EMS-GEN|TOR0B84-BUI001                |CA02T0101|01.06.2024|01.06.2024|PRCO RFEX     |Z010624 |REL  MANC PRC  SETC                     |          |          |     0.00 |    184.54 |       |       |
|  PMHVAC   |B84 - Temperature is excessively high   |4000144411|ZM01|       |          |                                        |PM-EMS-GEN|TOR0B84-BUI001                |CA02T0101|04.05.2024|05.05.2024|PRCO RFEX     |Z040524 |REL  GMPS MANC MOBI PRC  SETC           |          |          | 4,386.47 |  7,187.46 |       |       |
