22.08.2024                                                                                                                      Dynamic List Display                                                                                                                                                                               1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Order     |Mn.wk.ctr|Description                             |Type|Room    |Equipment |Description of technical object   |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                          |Act. start|Actual end|TotCostAct| PlanTotCos|MntPlan|MntItem|
|  4000144757|PMELECT  |B53 Replace Power Switch Panel          |ZM01|        |TORCDS1004|SYSTEM, CONDENSATE RETURN         |PM-EMS-MNT|TOR0B53-MNT001-CDC0001        |CA02T0091|20.07.2024|20.07.2024|PRCO RFEX     |Z200724 |REL  PCNF JIPR MANC MOBI PRC  SETC TTJL|16.05.2024|          |     0.00 |    828.76 |       |       |
|  4000152604|PMMACCON |B83 1st Floor Automatic Door Not Working|ZM01|        |          |                                  |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|20.07.2024|20.07.2024|PRCO          |Z200724 |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |    608.00 |       |       |
|  4000158278|PMMACHI  |B94 Lock on WIF1044 not opening         |ZM01|LOADDOCK|TORWIF1044|WALK_IN FREEZER                   |PM-ANR-ANT|TOR0B94-LAB009-WIF0001        |CA02T0028|29.06.2024|29.06.2024|PRCO RFEX     |Z290624 |REL  GMPS MANC MOBI PRC  SETC          |          |          |   216.02 |  2,674.36 |       |       |
|  4000159244|PMREFRI  |B60 Lab Rm 134 Very Hot                 |ZM01|110     |TORCND1111|CONDENSING UNIT                   |PM-BRD-DOW|TOR0B60-DSP005-XXX0001-COD0001|CA02P0007|12.10.2024|12.10.2024|PRCO RFEX     |Z121024 |REL  CSER MANC MOBI PRC  SETC          |          |          |     0.00 | 12,522.36 |       |       |
|  4000160309|PMELECT  |Yearly Load bank testing for all GEN's  |ZM01|        |          |                                  |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|24.08.2024|28.08.2024|PRCO RFEX     |Z240824 |REL  PCNF MANC MOBI NMAT PRC  SETC     |07.08.2024|          |     0.00 | 15,220.00 |       |       |
|  4000161354|PMMFO    |I00 FIMCEN Testing Support for New Seals|ZM01|2332    |TORCEN1552|FIM Tubular Centrifuge            |PM-CPD500 |TORB100-CES001-CEN0009        |CA02T0111|09.07.2024|09.07.2024|PRCO RFEX     |        |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC|27.06.2024|09.07.2024| 5,655.43 |  9,023.43 |       |       |
|  4000161987|PMELECON |Light Pole Standard Repairs on site     |ZM01|        |          |                                  |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|20.06.2024|20.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 | 13,520.00 |       |       |
|  4000163259|PMELECT  |B94-PMP1279-VFD FAULT                   |ZM01|100     |TORPMP1279|PUMP_CONDENSER WATER              |PM-ANR-ANR|TOR0B94-CWS001-PUM0006        |CA02T0028|03.07.2024|03.07.2024|PRCO RFEX     |Z270724 |REL  CNF  JBFI MANC MOBI PRC  SETC     |03.07.2024|03.07.2024|     0.00 |  3,358.77 |       |       |
|  4000167535|PMELECON |Light Burnt B90 Entrance                |ZM01|        |          |                                  |          |TOR0B90                       |CA02T0167|17.08.2024|17.08.2024|PRCO RFEX     |Z170824 |REL  PCNF MANC MOBI NMAT PRC  SETC     |17.08.2024|          |     0.00 |      0.00 |       |       |
|  4000167888|PMSTEAM  |B81 steam valve leak                    |ZM01|        |          |                                  |PM-ANR-ANT|TOR0B81-BUI001                |CA02T0028|31.08.2024|31.08.2024|PRCO RFEX     |Z310824 |REL  MANC PRC  SETC                    |          |          |     0.00 |  1,841.76 |       |       |
|  4000169273|PMHVAC   |I00 Investigate FCU Alarm in RM1602     |ZM01|1602    |TORACU1341|CRAC Unit                         |PM-EMS-MNT|TORB100-HVA002-AIO0003        |CA02T0111|21.07.2024|21.07.2024|PRCO RFEX     |        |REL  PRC  SETC                         |          |          |     0.00 |  9,322.88 |       |       |
|  4000169498|PMELECT  |B92 HST1120 Replace Battery Pack        |ZM01|1350    |TORHST1120|HOIST                             |PM-VIR-MED|TOR0B92-MEF007-HOI0001        |CA02T0049|21.08.2024|21.08.2024|PRCO ERAP RFEX|Z170824 |REL  PCNF JIPR MANC MOBI PRC  SETC     |21.08.2024|          |     0.00 |    195.04 |       |       |
|  4000169499|PMREFRI  |B92 IMC Tint REF Windows                |ZM01|        |          |                                  |          |TOR0B92                       |CA02T0033|27.07.2024|27.07.2024|PRCO RFEX     |Z270724 |REL  PRC  SETC TTJL                    |          |          |     0.00 |     70.68 |       |       |
|  4000170052|PMCARCON |Steam Vault Repairs By B95              |ZM01|        |          |                                  |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|01.08.2024|01.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |112,966.38 |       |       |
|  4000170054|PMELECT  |T16 Light switch malfunction            |ZM01|        |          |                                  |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|24.08.2024|24.08.2024|PRCO RFEX     |Z240824 |REL  GMPS MANC MOBI PRC  SETC          |          |          |    21.30 |     21.30 |       |       |
|  4000170828|PMPLUMB  |Inspect and Replace PL Lines            |ZM01|        |          |                                  |          |TOR0B89                       |CA02T0043|12.08.2024|12.08.2024|PRCO RFEX     |Z100824 |REL  PCNF JIPR MANC MOBI PRC  SETC     |09.08.2024|          |     0.00 | 11,516.00 |       |       |
|  4000170976|PMMACCON |I00 removal and installation of new tank|ZM01|        |          |                                  |          |TORB100                       |CA02T0111|01.08.2024|01.08.2024|PRCO RFEX     |        |REL  CNF  GMPS JBFI NMAT PRC  SETC     |01.08.2024|21.08.2024| 3,720.00 |  3,720.00 |       |       |
|  4000171250|PMCARCON |Site Perimeter Fencing Repairs          |ZM01|        |          |                                  |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|02.08.2024|02.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 | 49,057.44 |       |       |
|  4000173249|PMMACHI  |I00 FER22 Anti-foam Broken Male Bearings|ZM01|2321    |TORTNK2095|ANTIFOAM TANK                     |PM-EMS-MNT|TORB100-BIO002-TAN0066        |CA02T0111|31.08.2024|31.08.2024|PRCO RFEX     |        |REL  GMPS MANC PRC  SETC               |          |          | 3,813.73 |  8,096.40 |       |       |
|  4000173817|PMMACCON |I00 - VHP GEN PM's                      |ZM08|COLUMNC6|TORVHP1018|VHP GENERATOR 1                   |PM-DTU000 |TORB100-VHP007                |CA02T0111|22.08.2024|23.08.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC               |          |          |     0.00 | 11,609.41 |       |       |
|  4000174608|PMSTMCON |B92 AUT1119/20 Ball Valves              |ZM01|        |TORAUT1119|AUTOCLAVE                         |B92       |TOR0B92-EQP004-AUT0001        |CA02T0048|12.08.2024|12.08.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  8,775.00 |       |       |
|  4000174870|PMPLUMB  |ROCDI#2 valve                           |ZM02|1607    |TORPWS1019|Purified Water Generation 2       |PM-EMS-MNT|TORB100-PWS002                |CA02T0111|13.08.2024|          |PRCO RFEX     |        |REL  GMPS MANC MOBI PRC  SETC          |          |          | 3,712.05 |  9,804.75 |       |       |
|  4000175121|PMHVAC   |B60--CREATE VALVE TAGS                  |ZM01|        |          |                                  |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|17.08.2024|17.08.2024|PRCO RFEX     |Z170824 |REL  GMPS MANC MOBI PRC  SETC          |          |          |     5.43 |      5.43 |       |       |
|  4000175228|PMPLUMB  |I00 Issue with doors not closing        |ZM01|2207    |TORAUT1170|AUTOCLAVE, GMP STERILIZING        |          |TORB100-EQP001-AUT0001        |CA02T0111|15.08.2024|15.08.2024|PRCO RFEX     |        |REL  GMPS MANC MOBI PRC  SETC          |          |          | 2,337.09 |  4,529.91 |       |       |
|  4000175237|PMSTEAM  |B95-HEX1141 TUBESIDE BUNDLE ISSUE       |ZM01|004     |TORHEX1141|EXCHANGER_HEAT                    |PM-EMS-MNT|TOR0B95-MNT003-HEX0002        |CA02P0030|12.10.2024|12.10.2024|PRCO RFEX     |Z121024 |REL  MANC PRC  SETC                    |          |          |     0.00 | 11,903.54 |       |       |
|  4000175238|PMCARCON |B100 Envelope Sealant Repairs           |ZM01|        |          |                                  |          |TORB100                       |CA02T0111|14.08.2024|14.08.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  8,326.00 |       |       |
|  4000175456|PMELECT  |B92 VHP1005/1006 Replace UPS            |ZM01|2316    |          |                                  |          |TOR0B92                       |CA02T0029|24.08.2024|24.08.2024|PRCO RFEX     |Z240824 |REL  PRC  SETC                         |          |          |     0.00 |  5,995.36 |       |       |
|  4000175471|PMMACHI  |Remove spindle /bowl/bowl cap           |ZM01|2332    |TORCEN1552|FIM Tubular Centrifuge            |PM-CPD500 |TORB100-CES001-CEN0009        |CA02T0111|19.08.2024|19.08.2024|PRCO RFEX     |        |REL  MOBI PRC  SETC                    |          |          |     0.00 |  6,282.00 |       |       |
|  4000175583|PMMACCON |Polish and Passivate                    |ZM01|        |TORTNK1475|400L Shipper Vessels              |B92       |TOR0B92-FIN003-TAN0063        |CA02T0051|17.08.2024|17.08.2024|PRCO RFEX     |Z170824 |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  6,720.00 |       |       |
|  4000175655|PMCARCON |B95/B16 repair/regrade ashphalt         |ZM01|        |          |                                  |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|15.08.2024|15.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  4,476.38 |       |       |
|  4000175657|PMELECT  |B83 Replace Stairwell Lighting          |ZM01|        |          |                                  |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|24.08.2024|24.08.2024|PRCO RFEX     |Z240824 |REL  PRC  SETC                         |          |          |     0.00 |    627.20 |       |       |
|  4000175659|PMELECT  |3 Fixture Replacements                  |ZM01|        |          |                                  |          |TOR0B61                       |CA02T0091|17.08.2024|17.08.2024|PRCO RFEX     |Z170824 |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  1,800.00 |       |       |
|  4000175780|PMELECT  |I00 HSE sign installations              |ZM01|        |          |                                  |          |TORB100                       |CA02T0111|16.08.2024|17.08.2024|PRCO RFEX     |        |REL  MANC MOBI PRC  SETC               |          |          |     0.00 |    957.32 |       |       |
|  4000175793|PMCARCON |I00 Painting touch up from walkthorugh  |ZM01|        |          |                                  |          |TORB100                       |CA02T0111|16.08.2024|16.08.2024|PRCO          |        |REL  NMAT PRC  SETC                    |          |          |     0.00 |  3,191.25 |       |       |
|  4000176609|PMELECT  |Broken Push Button                      |ZM02|        |TORTNK1002|TANK, 2250 L DI HOLDING           |B53       |TOR0B89-DSP010-TAN0002        |CA02T0050|19.08.2024|          |PRCO RFEX     |        |REL  CNF  JBFI MANC MOBI PRC  SETC     |19.08.2024|20.08.2024|     0.00 |    750.10 |       |       |
|  4000176681|PMCARCON |B85 Roof leak Investigation             |ZM01|        |          |                                  |PM-EMS-STP|TOR0B85-BUI001                |CA02T0090|19.08.2024|19.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  2,344.00 |       |       |
|  4000176711|PMMACCON |ADS Door services                       |ZM01|        |          |                                  |          |TOR0B90                       |CA02T0167|17.08.2024|17.08.2024|PRCO RFEX     |Z170824 |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  1,420.00 |       |       |
|  4000176744|PMMACCON |Bottle Rental Renewal                   |ZM01|        |          |                                  |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|19.08.2024|19.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  4,639.32 |       |       |
|  4000176785|PMPLMCON |B83 Mech. Room 163 & P7 Pipe insulation |ZM01|163/P7  |          |                                  |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|14.08.2024|14.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  3,685.00 |       |       |
|  4000107843|PMMETRO  |METRO, 300015970 TOC Intr               |ZM05|1607    |300015970 |TOC ANALYZER, HWFI RETURN LOOP TOC|PM-EMS-MNT|TORB100-MNT004-TAN0003-TOC0001|CA02T0111|01.01.2024|31.01.2024|PRCO          |        |REL  GMPS ILAS MANC PRC  SETC          |          |          |   404.63 | 19,119.63 |66371  |84019  |
|  4000128639|PMMACCON |PM-MACON, DOR1027                       |ZM03|118     |TORDOR1027|DOOR_ SLIDING                     |PM-MAM-TRD|TOR0B91-BUI004-DOO0005        |CA02T0067|01.06.2024|31.07.2024|PRCO ERAP RFEX|REPORT  |TECO CNF  MANC NMAT PRC  SETC          |01.06.2024|31.07.2024|     0.00 |  2,818.00 |2900   |12984  |
|  4000128640|PMMACCON |PM-MACON, DOR1029                       |ZM03|116     |TORDOR1029|DOOR_ COOLER TO FREEZER SLIDING   |PM-MAM-TRD|TOR0B91-BUI004-DOO0007        |CA02T0067|01.06.2024|31.07.2024|PRCO ERAP RFEX|REPORT  |TECO CNF  MANC NMAT PRC  SETC          |01.06.2024|31.07.2024|     0.00 |    672.00 |2900   |12985  |
|  4000096792|PMMETRO  |METRO, 300000294 APC                    |ZM05|VARIOUS |300000294 |AIR PARTICLE COUNTER              |PM-FIP-FIL|TOR0B83-FIL010-PAQ0001-AQM0011|CA02T0035|01.08.2024|31.08.2024|PRCO RFEX     |        |REL  ILAS MANC NMAT PRC  SETC          |          |          |     0.00 |    500.00 |50988  |68629  |
|  4000140240|PMSTMCON |PM-STCON, BLR1010                       |ZM03|        |TORBLR1010|BOILER, SINK                      |B92       |TOR0B92-EQP004-BOI0001        |CA02T0036|01.08.2024|30.08.2024|PRCO RFEX     |17082024|REL  MANC NMAT PRC  SETC               |          |          |     0.00 |  3,850.00 |2773   |12102  |
|  4000142031|PMMETRO  |METRO, 300000288 APC                    |ZM05|VARIOUS |300000288 |AIR PARTICLE COUNTER              |PM-FIP-FIL|TOR0B83-FIL010-PAQ0001-AQM0005|CA02T0035|01.04.2025|30.04.2025|PRCO          |        |REL  ILAS MANC NMAT PRC  SETC          |          |          |     0.00 |    500.03 |50922  |68563  |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
