31.01.2024                                                                                                                         Dynamic List Display                                                                                                                                                                                   1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room    |Equipment |Description of technical object         |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end|TotCostAct| PlanTotCos|MntPlan|MntItem|
|  PMCARCON |2024 Elev. Certification Liscence Renewa|4000126477|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|26.01.2024|26.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,000.00 |       |       |
|  PMCARCON |S - B3 Exterior Door Repair 2024        |4000126478|ZM01|        |          |                                        |          |TOR0B03-BUI001                |CA02T0090|26.01.2024|26.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,288.00 |       |       |
|  PMCARCON |S - B95 Door Closer Hub Rm Exterior Door|4000126500|ZM01|VARIOUS |          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|26.01.2024|26.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  2,277.00 |       |       |
|  PMCARCON |S - B25 Exterior Door Damaged           |4000126505|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|19.01.2024|19.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  2,328.75 |       |       |
|  PMCARCON |B100 Pest Control Assessments           |4000126542|ZM01|        |          |                                        |          |TORB100                       |CA02T0111|19.01.2024|21.01.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 20,350.00 |       |       |
|  PMWFICON |Evoqua Service for 2024                 |4000126567|ZM01|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|26.01.2024|26.01.2024|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |          |     0.00 | 17,928.00 |       |       |
|  PMWFICON |Evoqua Service for 2024                 |4000126581|ZM01|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|26.01.2024|26.01.2024|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |          |     0.00 |  4,407.12 |       |       |
|  PMELECT  |Change all bulbs in interstital space   |4000126933|ZM01|        |          |                                        |PM-ANR-ANT|TOR0B81-BUI001                |CA02T0028|26.01.2024|27.01.2024|PRCO RFEX     |17022024|REL  MANC PRC  SETC                     |          |          |     0.00 |  3,664.38 |       |       |
|  PMPLMCON |Mechanical room 168 insulation          |4000126935|ZM01|        |          |                                        |          |TOR0B89                       |CA02T0043|29.01.2024|29.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  2,560.00 |       |       |
|  PMPLMCON |B89 PMP 1916 insulation required        |4000126936|ZM01|        |          |                                        |          |TOR0B89                       |CA02T0043|29.01.2024|29.01.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,150.00 |       |       |
|  PMSTMCON |S - B93 STEAM HUMIDIFIER INSULATION     |4000126972|ZM01|007     |TORSAS1097|SUPPLY_ STERILE AIR                     |PM-BRD-CSU|TOR0B93-HVA001-AHU0003        |CA02P0009|11.01.2024|11.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,560.00 |       |       |
|  PMELECT  |Install Electrical Receptacles AUT Pits |4000126974|ZM01|        |          |                                        |          |TORB100                       |CA02T0111|31.01.2024|02.02.2024|PRCO          |        |REL  PRC  SETC                          |          |          |     0.00 |  4,845.38 |       |       |
|  PMCARCON |S - B91 Roof Sealant Repairs            |4000127082|ZM01|        |          |                                        |PM-MAM-MDC|TOR0B91-BUI001                |CA02T0021|29.01.2024|29.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |    161.00 |       |       |
|  PMCARCON |B83 Interior Door Repair Room 283       |4000127240|ZM01|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|31.01.2024|31.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  3,001.50 |       |       |
|  PMCARCON |B93 L2 Area touchups                    |4000127241|ZM01|        |          |                                        |          |TOR0B93                       |CA02P0009|31.01.2024|31.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  8,510.00 |       |       |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
