08.10.2024                                                                                                                         Dynamic List Display                                                                                                                                                                                   1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Order     |Mn.wk.ctr|Description                             |Room    |Bsc start |Basic fin.|User Status   |Revision|System status                           |Plan Date |Type|Equipment |Created On|Functional Location           |Description of technical object         |Cost Ctr |Act. start|Actual end| PlanTotCos|MntPlan|MntItem|
|  4000140730|PMMACCON |B85 - HST1057 Manual chain repair       |102     |06.04.2024|06.04.2024|PRCO RFEX     |Z060424 |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|TORHST1057|05.04.2024|TOR0B85-BUI005-HOI0002        |HOIST_ CHAIN _MANUAL_ 1_TON             |CA02T0090|          |          |  1,443.00 |       |       |
|  4000141512|PMCARCON |B90 Tet Live Women's Washroom Repairs   |RM 329  |01.05.2024|01.05.2024|PRCO RFEX     |REPORT  |REL  PCNF GMPS JIPR MANC PRC  SETC TTJL |          |ZM01|          |10.04.2024|TOR0B90-BUI001                |                                        |CA02T0039|10.04.2024|          | 15,704.50 |       |       |
|  4000142754|PMMACHI  |B60 PHN1010 Missing motor for agitator  |102     |29.06.2024|29.06.2024|PRCO RFEX     |Z290624 |REL  MANC MOBI PRC  SETC                |          |ZM01|TORPHN1010|23.04.2024|TOR0B60-PAS001-NES0001        |WASTE PH NEUTRALIZATION SYSTEM          |CA02P0010|          |          |  1,522.08 |       |       |
|  4000142828|PMMACHI  |B83 Repair Panic Bar End Caps           |        |20.07.2024|20.07.2024|PRCO RFEX     |REPORT  |REL  CNF  JBFI MANC MOBI NMAT PRC  SETC |          |ZM01|          |24.04.2024|TOR0B83-BUI001                |                                        |CA02T0035|03.06.2024|03.06.2024|  1,140.60 |       |       |
|  4000144538|PMCARCON |B92 3rd flr Repair damaged drywall      |        |20.07.2024|20.07.2024|PRCO          |Z200724 |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |06.05.2024|TOR0B92-BUI001                |                                        |CA02T0024|          |          |  7,682.00 |       |       |
|  4000144589|PMSTEAM  |Hard water in the condensate return.    |        |25.05.2024|25.05.2024|PRCO RFEX     |Z250524 |REL  MANC PRC  SETC                     |          |ZM01|          |07.05.2024|TOR0B90-BUI001                |                                        |CA02T0039|          |          |  5,003.04 |       |       |
|  4000144754|PMSTEAM  |B92 Fix Water Leaking Between Washers   |        |01.06.2024|02.06.2024|PRCO ERAP RFEX|Z010624 |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC*|          |ZM01|TORWAS1010|07.05.2024|TOR0B92-EQP007-WAM0001        |WASHER, LANCER                          |CA02T0048|14.05.2024|          | 23,001.78 |       |       |
|  4000145725|PMSTEAM  |Pipe leaking next to Stg0012            |        |03.07.2024|03.07.2024|PRCO ERAP RFEX|Z080624 |TECO CNF  GMPS JBFI MANC MOBI NMAT PRC *|          |ZM01|TORSTG0016|14.05.2024|TOR0B89-CSS002-CSG0002        |GENERATOR, PURE STEAM                   |CA02T0043|13.06.2024|07.10.2024|  3,354.00 |       |       |
|  4000145861|PMHVACON |I00 HVAC AHS Air Audit for 2024 S/D     |        |10.08.2024|10.08.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |ZM01|          |15.05.2024|TORB100                       |                                        |CA02T0111|          |          | 76,840.00 |       |       |
|  4000156702|PMWFICON |B100 PWS1023 Ozone Generator Inspection |1607    |03.06.2024|03.06.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|TORPWS1023|05.06.2024|TORB100-PWS006                |Pure Water Distribution System          |CA02T0111|          |          | 44,565.97 |       |       |
|  4000159244|PMREFRI  |B60 Lab Rm 134 Very Hot                 |110     |12.10.2024|12.10.2024|PRCO RFEX     |Z121024 |REL  CSER GMPS MANC MOBI PRC  SETC      |          |ZM01|TORCND1111|12.06.2024|TOR0B60-DSP005-XXX0001-COD0001|CONDENSING UNIT                         |CA02P0007|          |          | 14,225.46 |       |       |
|  4000161025|PMPLUMB  |B92 IMC Sink and Shower Leak            |2410    |27.09.2024|28.09.2024|PRCO ERAP RFEX|Z121024 |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC*|          |ZM01|          |19.06.2024|TOR0B92                       |                                        |CA02T0033|04.07.2024|          |    823.88 |       |       |
|  4000161299|PMCARCON |B83 RM348 Cover the Exposed Drain Pipe  |348     |15.07.2024|15.07.2024|PRCO ERAP RFEX|Z220624 |TECO CNF  GMPS MANC NMAT PRC  SETC      |          |ZM01|          |20.06.2024|TOR0B83-BUI001                |                                        |CA02T0035|22.06.2024|15.07.2024|  1,083.00 |       |       |
|  4000161354|PMMFO    |I00 FIMCEN Testing Support for New Seals|2332    |09.07.2024|09.07.2024|PRCO RFEX     |        |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC |          |ZM01|TORCEN1552|20.06.2024|TORB100-CES001-CEN0009        |FIM Tubular Centrifuge                  |CA02T0111|27.06.2024|09.07.2024| 10,308.05 |       |       |
|  4000163329|PMMACHI  |Agitator Noise From Cell Tank 2         |2320    |15.07.2024|16.07.2024|PRCO RFEX     |        |TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |          |ZM01|TORTNK2104|27.06.2024|TORB100-CES001-TAN0004        |CELL TANK 2                             |CA02T0111|28.06.2024|30.07.2024| 11,097.65 |       |       |
|  4000166098|PMPLUMB  |Compressed air regulator replacement-SUF|120     |06.07.2024|06.07.2024|PRCO RFEX     |Z060724 |REL  GMPS MANC PRC  SETC                |          |ZM01|100005713 |04.07.2024|TOR0B89-DSP026-XXX0001-PI00009|GAUGE, PRESSURE (COMPRESSED AIR LINE)   |CA02T0047|          |          |    398.60 |       |       |
|  4000166669|PMPLUMB  |I00 Replace Blowdown Valves on HSG 1&3  |        |08.07.2024|08.07.2024|PRCO RFEX     |14092024|REL  GMPS MANC PRC  SETC                |          |ZM01|100000491 |08.07.2024|TORB100-BSS001-CDC0013        |Steam to Steam Generator                |CA02T0111|          |          |  5,243.49 |       |       |
|  4000166811|PMELECT  |B91 Aisle K Replacing Activity Lightbulb|        |10.07.2024|20.08.2024|PRCO RFEX     |Z140924 |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC |          |ZM01|          |09.07.2024|TOR0B91-BUI001                |                                        |CA02T0021|10.07.2024|20.08.2024|  1,629.38 |       |       |
|  4000167120|PMREFRI  |B95 Repair FRE1498 B95 Rm266            |266     |05.10.2024|06.10.2024|PRCO RFEX     |Z051024 |REL  MANC MOBI NMAT PRC  SETC           |          |ZM01|TORFRE1498|10.07.2024|TOR0B95-LAB016-FRE0001        |-30C AUTO DEFORST FREEZER               |CA02P0010|          |          |    570.00 |       |       |
|  4000167535|PMELECON |Light Burnt B90 Entrance                |        |17.08.2024|20.09.2024|PRCO RFEX     |Z170824 |REL  CNF  JBFI MANC MOBI NMAT PRC  SETC |          |ZM01|          |12.07.2024|TOR0B90                       |                                        |CA02T0167|17.08.2024|20.09.2024|      0.00 |       |       |
|  4000167897|PMPLMCON |B60-PW PUMPS REFURBISHMENT              |        |15.07.2024|15.07.2024|PRCO RFEX     |REPORT  |REL  GMPS PRC  SETC                     |          |ZM01|          |15.07.2024|TOR0B60-BUI001                |                                        |CA02T0090|          |          | 16,856.00 |       |       |
|  4000168005|PMHVAC   |B60 Annex HVACs                         |ROOF-ANX|20.07.2024|20.07.2024|PRCO RFEX     |Z200724 |REL  MANC NMAT PRC  SETC                |          |ZM01|TORAHU1126|16.07.2024|TOR0B60-HVA005-AHU0002        |UNIT_ AIR HANDLING                      |CA02P0010|          |          |      0.00 |       |       |
|  4000168216|PMCARCON |B60– Roof leak investigation Annex - Eme|        |16.07.2024|16.07.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |17.07.2024|TOR0B60-BUI001                |                                        |CA02T0090|          |          |  1,049.00 |       |       |
|  4000168251|PMCARCON |B91 – Roof leak investigation- Emergency|        |16.07.2024|16.07.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |17.07.2024|TOR0B91                       |                                        |CA02T0067|          |          |  1,118.00 |       |       |
|  4000169033|PMPLUMB  |B83 Women washroom 252                  |252     |12.10.2024|12.10.2024|PRCO RFEX     |Z121024 |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |          |ZM01|          |19.07.2024|TOR0B83                       |                                        |CA02T0035|26.07.2024|          |  1,972.18 |       |       |
|  4000169499|PMREFRI  |B92 IMC Tint REF Windows                |        |27.07.2024|27.07.2024|PRCO RFEX     |Z270724 |REL  GMPS MOBI PRC  SETC TTJL           |          |ZM01|          |24.07.2024|TOR0B92                       |                                        |CA02T0033|          |          |    141.36 |       |       |
|  4000170395|PMSTEAM  |ZM08 - DWS1012 startup PMSTEAM          |188     |29.07.2024|14.08.2024|PRCO RFEX     |10082024|REL  CNF  GMPS JBFI MANC MOBI PPRT PRC *|          |ZM08|TORDWS1012|30.07.2024|TOR0B89-PWS003-PWP0001        |SYSTEM_ DISTILLED WATER                 |CA02T0086|29.07.2024|27.08.2024| 13,212.62 |       |       |
|  4000170398|PMWFICON |ZM08 - DWS1012 startup PMWFICON         |188     |29.07.2024|29.07.2024|PRCO RFEX     |        |REL  GMPS MANC NMAT PRC  SETC           |          |ZM08|TORDWS1012|30.07.2024|TOR0B89-PWS003-PWP0001        |SYSTEM_ DISTILLED WATER                 |CA02T0086|          |          | 49,728.00 |       |       |
|  4000171024|PMPLUMB  |B83 Room257B -Leak from Drain line      |257B    |31.08.2024|31.08.2024|PRCO ERAP RFEX|REPORT  |TECO CNF  GMPS JBFI MANC MOBI NMAT PRC *|          |ZM01|          |01.08.2024|TOR0B83                       |                                        |CA02T0035|31.08.2024|26.09.2024|  2,318.00 |       |       |
|  4000171105|PMELECON |B83 Repair Emerg/exit LTS 1st,2nd flr   |N/AP    |03.08.2024|03.08.2024|PRCO RFEX     |Z030824 |REL  CNF  GMPS JBFI PRC  SETC           |          |ZM01|TOREML1021|01.08.2024|TOR0B83-BUI013-EML0001        |EMERGENCY LIGHTING                      |CA02T0100|03.08.2024|17.09.2024|  8,022.16 |       |       |
|  4000171286|PMCARCON |B92 Form / Media General Facility Repair|        |01.08.2024|01.08.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |02.08.2024|TOR0B92                       |                                        |CA02T0048|          |          | 21,873.00 |       |       |
|  4000171353|PMMACHI  |I00 Replace FAI1066 Motor Drive Bearings|3603    |03.08.2024|08.08.2024|PRCO RFEX     |        |REL  GMPS MANC MOBI NMAT PRC  SETC      |          |ZM02|TORFAI1066|02.08.2024|TORB100-HVA001-AHU0022-AIR0004|SUPPLY FAN                              |CA02T0111|          |          | 11,883.00 |       |       |
|  4000173674|PMCARCON |B92 Loading Dock Flooring Repairs       |        |07.08.2024|23.08.2024|PRCO RFEX     |REPORT  |REL  CNF  GMPS JBFI MANC MOBI NMAT PRC *|          |ZM01|          |08.08.2024|TOR0B92-BUI001                |                                        |CA02T0024|23.08.2024|17.09.2024| 30,041.71 |       |       |
|  4000173806|PMMACCON |I00 FHA Col Tnk Weld Plate Repair       |2331    |07.09.2024|08.09.2024|PRCO RFEX     |28092024|REL  PCNF GMPS MANC MOBI PRC  SETC      |          |ZM01|TORTNK2133|08.08.2024|TORB100-DSP015-TAN0008        |FHA COLLECTION TANK                     |CA02T0111|01.10.2024|          | 39,692.67 |       |       |
|  4000173818|PMELECT  |B90Dip-FER0001-4 Control Tower Signals  |236A    |16.08.2024|16.08.2024|PRCO ERAP RFEX|Z100824 |TECO CNF  GMPS JBFI MANC MOBI NMAT PRC *|          |ZM01|100001179 |09.08.2024|TOR0B90-BIO001-CNP0006        |Control Tower For FER001/0002/0003/0004 |CA02T0040|12.08.2024|20.09.2024|    790.00 |       |       |
|  4000173944|PMCARCON |CP Upstream General Area: paint touchups|2321    |07.08.2024|07.08.2024|PRCO RFEX     |        |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|TORFER1152|09.08.2024|TORB100-BIO002-FER0004        |cP Fermenter Train 1 40L                |CA02T0111|          |          | 11,839.25 |       |       |
|  4000174036|PMPLUMB  |I00 DIP Fer PMs                         |2414    |15.08.2024|15.08.2024|PRCO RFEX     |28092024|REL  CNF  CSER GMPS JBFI MANC MOBI PRC *|          |ZM08|TORFER1165|09.08.2024|TORB100-BIO002-FER0051        |FERMENTOR                               |CA02T0111|08.08.2024|03.10.2024| 10,544.51 |       |       |
|  4000174608|PMSTMCON |B92 AUT1119/20 Ball Valves              |        |12.08.2024|12.08.2024|PRCO RFEX     |        |REL  PCNF GMPS MANC MOBI NMAT PRC  SETC |          |ZM01|TORAUT1119|12.08.2024|TOR0B92-EQP004-AUT0001        |AUTOCLAVE                               |CA02T0048|07.09.2024|          | 11,035.00 |       |       |
|  4000174734|PMMACCON |I00 Cleaning Rm1608 NaOH and CIP tote   |        |13.08.2024|13.08.2024|PRCO RFEX     |        |REL  CNF  GMPS JBFI MANC NMAT PRC  SETC |          |ZM01|          |13.08.2024|TORB100                       |                                        |CA02T0111|13.08.2024|10.09.2024|  6,650.00 |       |       |
|  4000175036|PMHVAC   |B84 Main Lobby Door & B92 South East    |        |20.08.2024|21.08.2024|PRCO RFEX     |Z170824 |REL  CNF  JIPR MANC MOBI NMAT PRC  SETC |          |ZM01|          |14.08.2024|TOR0B84-BUI001                |                                        |CA02T0101|20.08.2024|20.08.2024|  4,050.00 |       |       |
|  4000175238|PMCARCON |B100 Envelope Sealant Repairs           |        |14.08.2024|14.08.2024|PRCO RFEX     |        |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |14.08.2024|TORB100                       |                                        |CA02T0111|          |          | 22,908.00 |       |       |
|  4000175247|PMSTMCON |B92 TWS1001 Washer Water Trays          |        |14.08.2024|14.08.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|TORTWS1001|14.08.2024|TOR0B92-EQP007-WSC0001        |TANK WASHING STATION                    |CA02T0048|          |          |  9,490.00 |       |       |
|  4000176580|PMSTEAM  |TORAUT1122 not passing validation run   |227     |07.09.2024|13.09.2024|PRCO RFEX     |Z070924 |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC |          |ZM02|TORAUT1122|19.08.2024|TOR0B60-LAB002-AUT0002        |AUTOCLAVE                               |CA02P0009|20.08.2024|19.09.2024| 12,989.18 |       |       |
|  4000176822|PMMACCON |B90TET - Repair Insulation 304 fer0008  |        |30.07.2024|30.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |20.08.2024|TOR0B90                       |                                        |CA02T0167|          |          |    680.00 |       |       |
|  4000176909|PMMACCON |Chilled water line insulation           |        |24.08.2024|24.08.2024|PRCO ERAP RFEX|Z240824 |TECO CNF  GMPS JBFI MANC NMAT PRC  SETC |          |ZM01|          |21.08.2024|TOR0B90                       |                                        |CA02T0167|24.08.2024|28.08.2024|  2,095.00 |       |       |
|  4000176934|PMCARCON |B81 – Fire Alarm Support                |        |19.08.2024|19.08.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |21.08.2024|TOR0B81                       |                                        |CA02T0076|          |          |  1,090.00 |       |       |
|  4000176938|PMSTEAM  |B93 Steam Safety Relieve Valve          |        |17.08.2024|17.08.2024|PRCO RFEX     |Z170824 |REL  CNF  JBFI MANC MOBI PRC  SETC      |          |ZM01|          |21.08.2024|TOR0B93                       |                                        |CA02P0009|17.08.2024|10.09.2024| 10,310.34 |       |       |
|  4000177008|PMMACHI  |B92 Rm2600 Fix the Door Handle          |2600    |28.08.2024|28.08.2024|PRCO RFEX     |Z240824 |REL  CNF  JBFI MANC MOBI NMAT PRC  SETC |          |ZM01|          |21.08.2024|TOR0B92                       |                                        |CA02T0033|27.08.2024|27.08.2024|  1,008.60 |       |       |
|  4000177163|PMCARCON |Site Pot hole Repairs                   |        |22.08.2024|22.08.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |22.08.2024|TOR0B00                       |                                        |CA02T0091|          |          |  6,037.50 |       |       |
|  4000177251|PMREFRI  |B83 Investigate High Temp               |128     |07.09.2024|13.09.2024|PRCO RFEX     |Z070924 |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC*|          |ZM02|TORWIR0012|22.08.2024|TOR0B83-STO001-COR0002        |WALK_IN REFRIGERATOR                    |CA02T0051|22.08.2024|13.09.2024|    710.32 |       |       |
|  4000177301|PMMACCON |AUTs guide wheels and bracket replace   |        |22.08.2024|22.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|TORAUT0099|22.08.2024|TOR0B90-EQP001-AUT0001        |AUTOCLAVE, GETINGE INTERNATIONAL        |CA02T0036|          |          |  5,500.00 |       |       |
|  4000177310|PMELECT  |FLM1713 not reading flow on the unit    |125     |27.08.2024|27.08.2024|PRCO ERAP RFEX|Z240824 |TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |          |ZM01|TORFLM1713|22.08.2024|TOR0B89-FIT001-XXX0001-FE00002|METER_FLOW__LIQUID_UF                   |CA02T0043|27.08.2024|27.08.2024|  5,626.07 |       |       |
|  4000177501|PMCARCON |B83 APA area floor cracks and wall repai|        |22.08.2024|22.08.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |23.08.2024|TOR0B83                       |                                        |CA02T0035|          |          |  2,495.50 |       |       |
|  4000177553|PMREFRI  |Damaged door seal of the incubator      |2329    |31.08.2024|31.08.2024|PRCO          |31082024|REL  MACM PRC  SETC                     |          |ZM01|TORWII1137|23.08.2024|TORB100-DSP016-WII0007        |FHA INCUBATOR                           |CA02T0111|          |          |  2,354.40 |       |       |
|  4000177555|PMPLUMB  |TNK1002 push button                     |        |21.09.2024|21.09.2024|PRCO ERAP RFEX|Z210924 |TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |          |ZM01|TORTNK1002|23.08.2024|TOR0B89-DSP010-TAN0002        |TANK, 2250 L DI HOLDING                 |CA02T0050|25.09.2024|25.09.2024|    750.10 |       |       |
|  4000177745|PMCARCON |B83 F&P SInk Drain Repair               |        |23.08.2024|23.08.2024|PRCO ERAP RFEX|REPORT  |TECO CNF  GMPS JBFI MANC NMAT PRC  SETC |          |ZM01|          |26.08.2024|TOR0B83                       |                                        |CA02T0035|23.08.2024|18.09.2024|  1,282.00 |       |       |
|  4000177746|PMCARCON |B83 Replace Door Closer by Lobby Door   |        |23.08.2024|23.08.2024|PRCO          |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |26.08.2024|TOR0B83-BUI001                |                                        |CA02T0035|          |          |  4,768.44 |       |       |
|  4000177747|PMCARCON |B83 DOR1041 - Deficiency Found          |RM 131  |23.08.2024|23.08.2024|PRCO          |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|TORDOR1041|26.08.2024|TOR0B83-BUI004-DOO0007        |DOOR_ OVERHEAD _RM 131                  |CA02T0067|          |          |    375.00 |       |       |
|  4000177748|PMCARCON |B83 DOR1027 - Deficiency found during WO|ADJ 169 |23.08.2024|23.08.2024|PRCO          |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|TORDLE1027|26.08.2024|TOR0B83-BUI004-DOL0002        |DOCK PLATE                              |CA02T0067|          |          |    562.00 |       |       |
|  4000177749|PMCARCON |B83 DOR1048 - Deficiency found during WO|131     |23.08.2024|23.08.2024|PRCO          |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|TORDOR1048|26.08.2024|TOR0B83-BUI004-DOO0014        |DOOR_ DOCK                              |CA02T0067|          |          |  1,090.00 |       |       |
|  4000177750|PMCARCON |B83 DLE1015 - Deficiency found during WO|ADJ 169 |23.08.2024|23.08.2024|PRCO          |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|TORDLE1015|26.08.2024|TOR0B83-BUI004-DOL0001        |DOCK LEVELLER                           |CA02T0067|          |          |    441.00 |       |       |
|  4000177751|PMCARCON |B83 DOR1046 - Deficiency found during WO|131     |23.08.2024|23.08.2024|PRCO          |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|TORDOR1046|26.08.2024|TOR0B83-BUI004-DOO0012        |DOOR_ HORIZONTAL SLIDING FREEZER        |CA02T0067|          |          |    955.80 |       |       |
|  4000177845|PMELECON |Fire panel trouble                      |        |24.08.2024|24.08.2024|PRCO RFEX     |Z240824 |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |26.08.2024|TOR0B94-BUI001                |                                        |CA02T0028|          |          |  1,160.00 |       |       |
|  4000177874|PMPLMCON |I00 Insulation & PVC Jacket install     |        |15.08.2024|15.08.2024|PRCO RFEX     |        |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |26.08.2024|TORB100                       |                                        |CA02T0111|          |          |  5,370.00 |       |       |
|  4000177883|PMMACCON |I00 FIL1060 Lobe Pump Scratch Repairs   |2331    |26.08.2024|26.08.2024|PRCO RFEX     |28092024|REL  PCNF GMPS MANC MOBI PRC  SETC      |          |ZM01|TORFIL1060|26.08.2024|TORB100-FIT015                |5acP PRN 10kDa UF/DF 1                  |CA02T0111|24.08.2024|          | 27,321.10 |       |       |
|  4000177900|PMMACCON |256C and 256D doors run temporarily     |        |26.08.2024|26.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |26.08.2024|TOR0B90                       |                                        |CA02T0167|          |          |  2,146.00 |       |       |
|  4000177938|PMCARCON |B83 Fire Alarm- Pull station cover.     |        |23.08.2024|23.08.2024|PRCO          |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |26.08.2024|TOR0B83                       |                                        |CA02T0035|          |          |  2,690.00 |       |       |
|  4000177984|PMMACHI  |Replace motor                           |ROOF    |26.08.2024|26.08.2024|PRCO RFEX     |PARTS   |REL  CNF  CSER GMPS JBFI MANC MOBI PRC *|          |ZM01|TOREXF1328|26.08.2024|TOR0B89-HVA003-AHU0004-EXF0001|EXHAUST FAN _SERVES R132A_135_137_138   |CA02T0043|26.08.2024|27.09.2024|    445.32 |       |       |
|  4000177985|PMCARCON |Touchups in DSP 89                      |        |24.06.2024|24.06.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |26.08.2024|TOR0B89                       |                                        |CA02T0043|          |          |  5,734.09 |       |       |
|  4000178119|PMCARCON |B83 NE Brick Replacement                |        |26.08.2024|26.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |27.08.2024|TOR0B83-BUI001                |                                        |CA02T0035|          |          | 22,965.50 |       |       |
|  4000178160|PMCARCON |B90 TET-  Floor Paint Touch-ups 304     |        |30.07.2024|30.07.2024|PRCO ERAP RFEX|REPORT  |TECO CNF  GMPS JBFI MANC NMAT PRC  SETC |          |ZM01|          |27.08.2024|TOR0B90                       |                                        |CA02T0167|30.07.2024|20.09.2024|  2,018.55 |       |       |
|  4000178198|PMMACCON |WIR0156 side door sweep breaking        |112     |11.12.2024|11.12.2024|PRCO RFEX     |B89SD24 |REL  MANC NMAT PRC  SETC                |          |ZM01|          |28.08.2024|TOR0B89                       |                                        |CA02T0043|          |          |  2,850.00 |       |       |
|  4000178253|PMELECON |B83 Power Supply for Food Truck         |        |24.08.2024|24.08.2024|PRCO          |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |28.08.2024|TOR0B83                       |                                        |CA02T0035|          |          |  2,800.00 |       |       |
