20.12.2023                                                                                                                       Dynamic List Display                                                                                                                                                                                1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room   |Equipment |Description of technical object       |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|UserStatus    |Revision|System status                          |Act. start|Actual end|TotCostAct|PlanTotCos|MntPlan|MntItem|
|  PMCARCON |B100 Steam Chamber Investigations       |4000120835|ZM01|       |          |                                      |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|22.12.2023|23.12.2023|PRCO RFEX     |23122023|REL  MANC NMAT PRC  SETC               |          |          |     0.00 |28,238.76 |       |       |
|  PMPLMCON |Building 90 Penthouse MR300 Insulation  |4000120836|ZM01|       |          |                                      |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|18.12.2023|18.12.2023|PRCO          |        |REL  MANC NMAT PRC  SETC               |          |          |     0.00 |   640.00 |       |       |
|  PMREFRI  |Support BFP switch over.                |4000120837|ZM01|236B   |TORCOT1018|COOLING TOWER                         |          |TOR0B90-CTW001-COT0001        |CA02T0039|15.12.2023|16.12.2023|PRCO RFEX     |23122023|REL  MANC MOBI PRC  SETC TTJL          |          |          |     0.00 | 2,327.50 |       |       |
|  PMPFO    |I00 Replace Faulty Gauge PI013A Biowaste|4000120863|ZM01|1612   |TORGAU7059|PRESSURE GAUGE                        |PM-SUX000 |TORB100-BWS002-BIR0003-PI00004|CA02T0111|09.02.2024|09.02.2024|PRCO          |PARTS   |REL  MACM PRC  SETC                    |          |          |     0.00 | 1,343.84 |       |       |
|  PMCARCON |B90 MTech Lab Wall Repairs              |4000120865|ZM01|       |          |                                      |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|18.12.2023|18.12.2023|PRCO RFEX     |23122023|REL  MANC NMAT PRC  SETC               |          |          |     0.00 |59,120.00 |       |       |
|  PMPLUMB  |I00 Investigate Potential Leaks on COTs |4000120878|ZM01|N/AP   |TORCOT1037|COOLING TOWER                         |PM-EMS-MNT|TORB100-CTW001-COT0001        |CA02T0111|26.01.2024|26.01.2024|PRCO RFEX     |        |REL  MANC PRC  SETC                    |          |          |     0.00 | 4,179.18 |       |       |
|  PMCARCON |Room 125 CHW insulation                 |4000120898|ZM01|       |          |                                      |PM-BAC-COP|TOR0B89-BUI001                |CA02T0043|19.12.2023|19.12.2023|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC               |          |          |     0.00 | 1,380.00 |       |       |
|  PMCARCON |B89 USP Shutdown Repairs                |4000120982|ZM01|       |          |                                      |          |TOR0B89                       |CA02T0043|19.12.2023|19.12.2023|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC               |          |          |     0.00 | 2,219.50 |       |       |
|  PMCARCON |B93 - S/D Feb2024 M/R 008 Scaffolding   |4000120983|ZM01|       |          |                                      |PM-EMS-MNT|TOR0B93-BUI001                |CA02T0091|22.01.2024|22.01.2024|PRCO RFEX     |20012024|REL  MANC NMAT PRC  SETC               |          |          |     0.00 | 8,513.45 |       |       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
