15.07.2024                                                                                                                                    Dynamic List Display                                                                                                                                                                                             1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room   |Equipment |Description of technical object         |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end| ActTotCost| PlanTotCos|MntPlan|MntItem|Created On|Notifctn |
|  PMMACHI  |Cart Cabinet Table Refurbishment        |4000159810|ZM01|       |          |                                        |          |TOR0B90                       |CA02T0167|14.06.2024|14.06.2024|PRCO RFEX     |Z080624 |REL  PCNF JIPR MANC NMAT PRC  SETC      |08.06.2024|          |      0.00 |    855.00 |       |       |14.06.2024|100112765|
|  PMPLUMB  |RM301 Still Leak                        |4000160042|ZM01|       |          |                                        |          |TOR0B90                       |CA02T0167|15.06.2024|15.06.2024|PRCO RFEX     |Z150624 |REL  MANC NMAT PRC  SETC                |          |          |      0.00 | 17,997.50 |       |       |14.06.2024|100113040|
|  PMELECT  |B92 IMC Changeroom Lighting and Tile    |4000161026|ZM01|2410   |          |                                        |          |TOR0B92                       |CA02T0033|28.06.2024|28.06.2024|PRCO ERAP RFEX|Z220624 |REL  PCNF JIPR MANC MOBI PRC  SETC      |28.06.2024|          |      0.00 |    230.50 |       |       |19.06.2024|100113874|
|  PMELECT  |I00 Annual DRUPS Load Bank Testing      |4000161512|ZM01|N/AP   |TORPOS1173|DRUPS 3125kVA/2500kW,600/347V 3P,4W,60Hz|PM-EMS-MNT|TORB100-PMS001-XXX0001-JI00001|CA02T0111|06.08.2024|06.08.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 | 15,200.00 |       |       |21.06.2024|100114373|
|  PMELECT  |AC Installation RM301                   |4000161537|ZM01|       |          |                                        |          |TOR0B90                       |CA02T0167|22.06.2024|25.06.2024|PRCO RFEX     |Z220624 |REL  PCNF MANC MOBI PRC  SETC           |25.06.2024|          |      0.00 |    378.38 |       |       |21.06.2024|100114329|
|  PMCARCON |Repair 2 catch basin grates on Salk St  |4000161989|ZM01|       |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|24.06.2024|24.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  8,078.75 |       |       |24.06.2024|100114692|
|  PMELECT  |B4 Security Bldg- west gate operator    |4000161996|ZM01|       |          |                                        |PM-EMS-MNT|TOR0B04-BUI001                |CA02T0101|22.06.2024|22.06.2024|PRCO RFEX     |Z220624 |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |    502.85 |       |       |24.06.2024|100114697|
|  PMCARCON |Floor chip in room 175                  |4000162102|ZM01|       |          |                                        |          |TOR0B89                       |CA02T0043|14.06.2024|14.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  3,727.50 |       |       |24.06.2024|100113001|
|  PMHVAC   |B93 SAS1095 Vibrations and High Temps   |4000162388|ZM01|007    |TORSAS1095|SUPPLY_ STERILE AIR                     |PM-DEV-CAN|TOR0B93-HVA001-AHU0001        |CA02P0009|20.07.2024|20.07.2024|PRCO RFEX     |Z200724 |REL  PCNF GMPS MANC MOBI PRC  SETC      |27.06.2024|          |     87.11 |    651.85 |       |       |25.06.2024|100114761|
|  PMMACCON |I00 Passivation of CP Stainless Screens |4000162501|ZM01|       |          |                                        |          |TORB100                       |CA02T0111|03.08.2024|03.08.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 | 32,000.00 |       |       |25.06.2024|100115040|
|  PMMACHI  |Regulator for GAU4786 broken            |4000162958|ZM01|125    |TORGAU4786|GAUGE_ PRESSURE                         |PM-BAC-COP|TOR0B89-DSP013-XXX0001-PI00012|CA02T0043|20.07.2024|20.07.2024|PRCO RFEX     |Z200724 |REL  GMPS MANC PRC  SETC                |          |          |    144.39 |    144.39 |       |       |26.06.2024|100115100|
|  PMMACCON |B90Dip-AUT1161 Broken Wheel on Dolly    |4000163237|ZM01|224    |TORAUT1161|AUTOCLAVE_ FOR DECONTAMINATION          |PM-BAC-DIP|TOR0B90-USP001-AUT0002        |CA02T0040|29.06.2024|29.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  1,165.00 |       |       |27.06.2024|100102268|
|  PMMACHI  |Agitator Noise From Cell Tank 2         |4000163329|ZM01|2320   |TORTNK2104|CELL TANK 2                             |PM-CPU000 |TORB100-CES001-TAN0004        |CA02T0111|28.06.2024|28.06.2024|PRCO RFEX     |        |REL  PCNF MANC MOBI PRC  SETC           |28.06.2024|          |      0.00 |  1,317.46 |       |       |27.06.2024|100115449|
|  PMPLUMB  |I00 Isolation Valve Install WFIGs & CSGs|4000163744|ZM01|       |          |                                        |          |TORB100                       |CA02T0111|02.08.2024|02.08.2024|PRCO RFEX     |S/D     |REL  MANC PRC  SETC                     |          |          |      0.00 |  2,668.68 |       |       |28.06.2024|100115713|
|  PMMACCON |B96 Descaler and Conveyer malfunction   |4000164494|ZM01|264    |TORWAS1039|WASHER_ TUNNEL                          |PM-ANR-ANR|TOR0B96-EQP001-WAM0001        |CA02T0028|08.06.2024|08.06.2024|PRCO RFEX     |REPORT  |REL  MANC PRC  SETC                     |          |          |      0.00 |  5,255.15 |       |       |02.07.2024|100111791|
|  PMCARCON |"S"- Install Blind in Window B60, RmA110|4000164808|ZM01|       |          |                                        |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|17.05.2024|17.05.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  1,964.20 |       |       |03.07.2024|100101952|
|  PMMACHI  |Male bearing has to be replaced         |4000164814|ZM01|       |TORTNK1937|INOX 120L Mixing Tank                   |B90       |TOR0B90-FIN009-TAN0025        |CA02T0038|03.08.2024|03.08.2024|PRCO RFEX     |Z030824 |REL  MANC MOBI PRC  SETC                |          |          |      0.00 | 26,770.93 |       |       |03.07.2024|100101669|
|  PMMACHI  |PM-MACHI, TORFER0046 (6M)               |4000165684|ZM03|       |TORFER0046|FERMENTER                               |B89       |TOR0B89-BIO002-FER0001        |CA02T0043|01.11.2024|30.11.2024|PRCO          |        |REL  CSER MSPT PRC  SETC                |          |          |      0.00 | 26,480.19 |73037  |90802  |04.07.2024|100117589|
|  PMMACHI  |PM-MACHI, TORFER0047 (6M)               |4000165685|ZM03|       |TORFER0047|FERMENTER                               |B89       |TOR0B89-BIO002-FER0003        |CA02T0043|01.11.2024|30.11.2024|PRCO          |        |REL  CSER MSPT PRC  SETC                |          |          |      0.00 | 26,192.13 |73038  |90803  |04.07.2024|100117610|
|  PMMACHI  |Replace wheel on EM cart and weld DSP   |4000166019|ZM01|       |          |                                        |          |TOR0B89                       |CA02T0043|13.07.2024|13.07.2024|PRCO ERAP RFEX|Z130724 |TECO CNF  JBFI MANC NMAT PRC  SETC      |12.07.2024|12.07.2024|      0.00 |    679.00 |       |       |04.07.2024|100115358|
|  PMPLUMB  |Compressed air regulator replacement-SUF|4000166098|ZM01|120    |100005713 |GAUGE, PRESSURE (COMPRESSED AIR LINE)   |PM-BAC-COP|TOR0B89-DSP026-XXX0001-PI00009|CA02T0047|06.07.2024|06.07.2024|PRCO RFEX     |Z060724 |REL  MANC PRC  SETC                     |          |          |      0.00 |    160.32 |       |       |04.07.2024|100100346|
|  PMMACCON |I00 Pin hole Leak on Aldehyde Sys RM1612|4000166308|ZM02|N/AP   |TORWAD1015|ALDEHYDE CONTINUOUS THERM. INACTIV. SYST|          |TORB100-BWS002-BIR0005        |CA02T0111|05.07.2024|19.07.2024|PRCO RFEX     |        |REL  MANC MOBI NMAT PRC  SETC           |          |          |      0.00 |  6,225.00 |       |       |05.07.2024|100118211|
|  PMMACCON |Insulate HEX,STG and piping in Mech room|4000166387|ZM01|       |          |                                        |          |TOR0B90                       |CA02T0167|06.07.2024|06.07.2024|PRCO RFEX     |Z060724 |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  5,533.00 |       |       |05.07.2024|100118231|
|  PMELECON |B53 Fire Alarm / Trouble Investigation  |4000166549|ZM01|       |          |                                        |          |TOR0B53                       |CA02T0091|06.07.2024|06.07.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |    770.00 |       |       |08.07.2024|100118350|
|  PMCARCON |B81-Damaged Ramp Ladder                 |4000166796|ZM01|       |          |                                        |PM-ANR-ANT|TOR0B81-BUI001                |CA02T0028|08.07.2024|08.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  2,750.00 |       |       |09.07.2024|100118491|
|  PMELECON |B00 GENERATOR BATTERY REPLACEMENT       |4000166803|ZM01|       |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|08.07.2024|08.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 | 15,285.60 |       |       |09.07.2024|100118536|
|  PMELECT  |B91 Aisle K Replacing Activity Lightbulb|4000166811|ZM01|       |          |                                        |PM-MAM-MDC|TOR0B91-BUI001                |CA02T0021|10.07.2024|10.07.2024|PRCO RFEX     |Z200724 |REL  CNF  JBFI MANC MOBI PRC  SETC      |10.07.2024|10.07.2024|      0.00 |    432.42 |       |       |09.07.2024|100118246|
|  PMPLUMB  |B94-Leak in water hose connecting to BCC|4000166816|ZM01|242    |TORBCC1327|CABINET, BIOSAFETY, CUSTOM              |PM-ANR-ANR|TOR0B94-LAB009-BIA0010        |CA02T0028|20.07.2024|20.07.2024|PRCO RFEX     |Z200724 |REL  MANC PRC  SETC                     |          |          |      0.00 |    528.80 |       |       |09.07.2024|100118732|
|  PMELECON |I00 Arc flash Assessment                |4000166828|ZM01|       |          |                                        |          |TORB100                       |CA02T0111|09.07.2024|09.07.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  6,130.00 |       |       |09.07.2024|100118707|
|  PMCARCON |B00 - EAST GATE BOOTH REPAIR            |4000166848|ZM01|       |          |                                        |          |TOR0B00                       |CA02T0091|26.06.2024|26.06.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  1,822.75 |       |       |09.07.2024|100115121|
|  PMCARCON |"S"- Sanderson- Tr16 Broken deck & stair|4000166856|ZM01|       |          |                                        |          |TOR0T16                       |         |26.06.2024|26.06.2024|PRCO          |        |REL  NMAT PRC  SETC                     |          |          |      0.00 |  4,085.95 |       |       |09.07.2024|100115174|
|  PMPFO    |conductivity sensor change              |4000166902|ZM01|1619   |TORCNT1033|CONDUCTIVITY TRANSMITTER, RETURN        |PM-EMS-MNT|TORB100-CIP003-XXX0001-COD0001|CA02T0111|19.07.2024|19.07.2024|PRCO RFEX     |        |REL  MANC PRC  SETC                     |          |          |      0.00 |  2,100.00 |       |       |09.07.2024|100118784|
|  PMCARCON |Rehang Blind in B93 Rm200A              |4000167045|ZM01|200A   |          |                                        |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|04.07.2024|04.07.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |    212.75 |       |       |10.07.2024|100117759|
|  PMELECON |B91&94- GENERATOR LOAD BANK TEST        |4000167128|ZM01|       |          |                                        |PM-MAM-MDC|TOR0B91-BUI001                |CA02T0021|03.08.2024|03.08.2024|PRCO RFEX     |Z030824 |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  5,600.00 |       |       |10.07.2024|100118938|
|  PMMACCON |B89 Acid Cans to be Assessed            |4000167133|ZM01|       |TORTNK1871|Phosphoric Acid Addition Vessel - 12L   |B89       |TOR0B89-DSP014-TAN0117        |CA02T0043|09.07.2024|09.07.2024|PRCO ERAP RFEX|        |TECO CNF  JBFI MANC NMAT PRC  SETC      |09.07.2024|12.07.2024|      0.00 |  5,707.50 |       |       |10.07.2024|100118811|
|  PMMACCON |leaking jacket - testing required       |4000167451|ZM01|       |TORFER0046|FERMENTER                               |B89       |TOR0B89-BIO002-FER0001        |CA02T0043|11.07.2024|11.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  6,350.00 |       |       |11.07.2024|100119221|
|  PMELECT  |Change air filters                      |4000167612|ZM01|MECH.  |TORGEN1007|GENERATOR, DIESEL                       |PM-EMS-MNT|TOR0B89-BUI003-GEN0001        |CA02T0091|10.07.2024|10.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |    883.04 |       |       |12.07.2024|100118969|
|  PMELECON |Air filter and bracket change           |4000167613|ZM01|       |TORGEN1024|GENERATOR _SERVES B54_B61_B89_B89E_B90  |PM-BAC-COP|TOR0B54-USP004-GEN0001        |CA02T0045|10.07.2024|10.07.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  1,695.80 |       |       |12.07.2024|100118977|
|  PMPLMCON |I00 Address Insulation Issues in Rm 1616|4000167675|ZM01|1616   |          |                                        |          |TORB100                       |CA02T0111|12.07.2024|12.07.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  3,620.00 |       |       |12.07.2024|100119424|
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
