12.09.2024                                                                                                                                         Dynamic List Display                                                                                                                                                                                                  1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Order     |Type|Description                             |Mn.wk.ctr|Functional Location           |Description of technical object        |Equipment |MntPlan|Sched.Fin.|RefDate   |Bsc start |Basic fin.|Act. start|ActStart|Actual end|Act.Finish|Entered By  |Created On|Changed By |Changed On|User Status   |System status                           | ActTotCost|
|   4000159244|ZM01|B60 Lab Rm 134 Very Hot                 |PMREFRI  |TOR0B60-DSP005-XXX0001-COD0001|CONDENSING UNIT                        |TORCND1111|       |12.10.2024|12.10.2024|12.10.2024|12.10.2024|          |00:00:00|          |00:00:00  |I0393338    |12.06.2024|I0393338   |11.09.2024|PRCO RFEX     |REL  CSER GMPS MANC MOBI PRC  SETC      |  2,295.80 |
|   4000161025|ZM01|B92 IMC Sink and Shower Leak            |PMPLUMB  |TOR0B92                       |                                       |          |       |14.09.2024|14.09.2024|14.09.2024|14.09.2024|04.07.2024|10:36:00|          |00:00:00  |U1029207    |19.06.2024|U1029207   |09.09.2024|PRCO ERAP RFEX|REL  PCNF GMPS JIPR MANC MOBI PRC  SETC*|    469.50 |
|   4000161354|ZM01|I00 FIMCEN Testing Support for New Seals|PMMFO    |TORB100-CES001-CEN0009        |FIM Tubular Centrifuge                 |TORCEN1552|       |09.07.2024|09.07.2024|09.07.2024|09.07.2024|27.06.2024|08:05:00|09.07.2024|08:35:00  |E0486430    |20.06.2024|E0486430   |30.08.2024|PRCO RFEX     |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC |  5,655.43 |
|   4000163329|ZM01|Agitator Noise From Cell Tank 2         |PMMACHI  |TORB100-CES001-TAN0004        |CELL TANK 2                            |TORTNK2104|       |16.07.2024|15.07.2024|15.07.2024|16.07.2024|28.06.2024|08:34:00|30.07.2024|11:46:00  |E0486430    |27.06.2024|E0486430   |23.08.2024|PRCO RFEX     |REL  CNF  JBFI MANC MOBI PRC  SETC      |      0.00 |
|   4000166098|ZM01|Compressed air regulator replacement-SUF|PMPLUMB  |TOR0B89-DSP026-XXX0001-PI00009|GAUGE, PRESSURE (COMPRESSED AIR LINE)  |100005713 |       |06.07.2024|06.07.2024|06.07.2024|06.07.2024|          |00:00:00|          |00:00:00  |U1025695    |04.07.2024|U1014358   |26.08.2024|PRCO RFEX     |REL  GMPS MANC PRC  SETC                |    402.89 |
|   4000166811|ZM01|B91 Aisle K Replacing Activity Lightbulb|PMELECT  |TOR0B91-BUI001                |                                       |          |       |20.08.2024|10.07.2024|10.07.2024|20.08.2024|10.07.2024|15:30:00|20.08.2024|13:10:00  |I0393338    |09.07.2024|I0393338   |11.09.2024|PRCO RFEX     |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC |  1,673.03 |
|   4000167535|ZM01|Light Burnt B90 Entrance                |PMELECON |TOR0B90                       |                                       |          |       |17.08.2024|17.08.2024|17.08.2024|17.08.2024|17.08.2024|07:44:00|          |00:00:00  |U1025695    |12.07.2024|U1014358   |23.08.2024|PRCO RFEX     |REL  PCNF MANC MOBI NMAT PRC  SETC      |      0.00 |
|   4000168005|ZM01|B60 Annex HVACs                         |PMHVAC   |TOR0B60-HVA005-AHU0002        |UNIT_ AIR HANDLING                     |TORAHU1126|       |20.07.2024|20.07.2024|20.07.2024|20.07.2024|          |00:00:00|          |00:00:00  |I0393338    |16.07.2024|U1014358   |29.08.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000168216|ZM01|B60– Roof leak investigation Annex - Eme|PMCARCON |TOR0B60-BUI001                |                                       |          |       |16.07.2024|16.07.2024|16.07.2024|16.07.2024|          |00:00:00|          |00:00:00  |U1025695    |17.07.2024|U1014358   |30.08.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000168251|ZM01|B91 – Roof leak investigation- Emergency|PMCARCON |TOR0B91                       |                                       |          |       |16.07.2024|16.07.2024|16.07.2024|16.07.2024|          |00:00:00|          |00:00:00  |U1025695    |17.07.2024|I0393338   |09.09.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000169499|ZM01|B92 IMC Tint REF Windows                |PMREFRI  |TOR0B92                       |                                       |          |       |27.07.2024|27.07.2024|27.07.2024|27.07.2024|          |00:00:00|          |00:00:00  |U1029207    |24.07.2024|U1029207   |09.09.2024|PRCO RFEX     |REL  GMPS PRC  SETC TTJL                |     72.57 |
|   4000170395|ZM08|ZM08 - DWS1012 startup PMSTEAM          |PMSTEAM  |TOR0B89-PWS003-PWP0001        |SYSTEM_ DISTILLED WATER                |TORDWS1012|       |14.08.2024|29.07.2024|29.07.2024|14.08.2024|29.07.2024|07:00:00|27.08.2024|11:24:09  |U1025695    |30.07.2024|U1025345   |27.08.2024|PRCO RFEX     |REL  CNF  GMPS JBFI MANC MOBI PPRT PRC *| 13,088.65 |
|   4000170398|ZM08|ZM08 - DWS1012 startup PMWFICON         |PMWFICON |TOR0B89-PWS003-PWP0001        |SYSTEM_ DISTILLED WATER                |TORDWS1012|       |29.07.2024|29.07.2024|29.07.2024|29.07.2024|          |00:00:00|          |00:00:00  |U1025695    |30.07.2024|U1014358   |26.08.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000171024|ZM01|B83 Room257B -Leak from Drain line      |PMPLUMB  |TOR0B83                       |                                       |          |       |31.08.2024|31.08.2024|31.08.2024|31.08.2024|          |00:00:00|          |00:00:00  |U1029207    |01.08.2024|U1029207   |12.09.2024|PRCO RFEX     |REL  MANC MOBI NMAT PRC  SETC           |      0.00 |
|   4000171105|ZM01|B83 Repair Emerg/exit LTS 1st,2nd flr   |PMELECON |TOR0B83-BUI013-EML0001        |EMERGENCY LIGHTING                     |TOREML1021|       |03.08.2024|03.08.2024|03.08.2024|03.08.2024|          |00:00:00|          |00:00:00  |U1029207    |01.08.2024|U1014358   |28.08.2024|PRCO RFEX     |REL  GMPS PRC  SETC                     |  7,351.01 |
|   4000171286|ZM01|B92 Form / Media General Facility Repair|PMCARCON |TOR0B92                       |                                       |          |       |01.08.2024|01.08.2024|01.08.2024|01.08.2024|          |00:00:00|          |00:00:00  |U1029207    |02.08.2024|U1014358   |27.08.2024|PRCO RFEX     |REL  GMPS MANC NMAT PRC  SETC           | 19,745.50 |
|   4000171353|ZM02|I00 Replace FAI1066 Motor Drive Bearings|PMMACHI  |TORB100-HVA001-AHU0022-AIR0004|SUPPLY FAN                             |TORFAI1066|       |03.08.2024|03.08.2024|03.08.2024|08.08.2024|          |00:00:00|          |00:00:00  |E0486430    |02.08.2024|I0126045   |04.09.2024|PRCO RFEX     |REL  MANC MOBI NMAT PRC  SETC           |      0.00 |
|   4000173674|ZM01|B92 Loading Dock Flooring Repairs       |PMCARCON |TOR0B92-BUI001                |                                       |          |       |23.08.2024|07.08.2024|07.08.2024|23.08.2024|23.08.2024|02:07:00|          |00:00:00  |U1029207    |08.08.2024|U1029207   |03.09.2024|PRCO RFEX     |REL  PCNF GMPS MANC MOBI NMAT PRC  SETC | 19,251.46 |
|   4000173818|ZM01|B90Dip-FER0001-4 Control Tower Signals  |PMELECT  |TOR0B90-BIO001-CNP0006        |Control Tower For FER001/0002/0003/0004|100001179 |       |16.08.2024|16.08.2024|16.08.2024|16.08.2024|12.08.2024|09:00:00|          |00:00:00  |U1025695    |09.08.2024|U1014358   |29.08.2024|PRCO RFEX     |REL  PCNF MANC MOBI NMAT PRC  SETC      |      0.00 |
|   4000173944|ZM01|CP Upstream General Area: paint touchups|PMCARCON |TORB100-BIO002-FER0004        |cP Fermenter Train 1 40L               |TORFER1152|       |07.08.2024|07.08.2024|07.08.2024|07.08.2024|          |00:00:00|          |00:00:00  |U1040407    |09.08.2024|E0468149   |26.08.2024|PRCO RFEX     |REL  GMPS MANC NMAT PRC  SETC           | 10,833.00 |
|   4000174608|ZM01|B92 AUT1119/20 Ball Valves              |PMSTMCON |TOR0B92-EQP004-AUT0001        |AUTOCLAVE                              |TORAUT1119|       |12.08.2024|12.08.2024|12.08.2024|12.08.2024|07.09.2024|15:03:00|          |00:00:00  |U1029207    |12.08.2024|I0334649   |11.09.2024|PRCO RFEX     |REL  PCNF MANC MOBI NMAT PRC  SETC      |      0.00 |
|   4000174734|ZM01|I00 Cleaning Rm1608 NaOH and CIP tote   |PMMACCON |TORB100                       |                                       |          |       |13.08.2024|13.08.2024|13.08.2024|13.08.2024|13.08.2024|08:00:00|10.09.2024|14:12:54  |U1040407    |13.08.2024|U1040407   |26.08.2024|PRCO RFEX     |REL  CNF  GMPS JBFI MANC NMAT PRC  SETC |  4,700.00 |
|   4000175238|ZM01|B100 Envelope Sealant Repairs           |PMCARCON |TORB100                       |                                       |          |       |14.08.2024|14.08.2024|14.08.2024|14.08.2024|          |00:00:00|          |00:00:00  |U1040407    |14.08.2024|E0468149   |10.09.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000175247|ZM01|B92 TWS1001 Washer Water Trays          |PMSTMCON |TOR0B92-EQP007-WSC0001        |TANK WASHING STATION                   |TORTWS1001|       |14.08.2024|14.08.2024|14.08.2024|14.08.2024|          |00:00:00|          |00:00:00  |U1029207    |14.08.2024|U1029207   |04.09.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000176580|ZM02|TORAUT1122 not passing validation run   |PMSTEAM  |TOR0B60-LAB002-AUT0002        |AUTOCLAVE                              |TORAUT1122|       |07.09.2024|07.09.2024|07.09.2024|13.09.2024|20.08.2024|06:04:00|30.08.2024|06:13:19  |I0466299    |19.08.2024|U1025695   |06.09.2024|PRCO RFEX     |REL  CNF  GMPS JIPR MANC MOBI PRC  SETC |  2,058.09 |
|   4000176822|ZM01|B90TET - Repair Insulation 304 fer0008  |PMMACCON |TOR0B90                       |                                       |          |       |30.07.2024|30.07.2024|30.07.2024|30.07.2024|          |00:00:00|          |00:00:00  |U1025695    |20.08.2024|U1014358   |23.08.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000176909|ZM01|Chilled water line insulation           |PMMACCON |TOR0B90                       |                                       |          |       |24.08.2024|28.08.2024|24.08.2024|24.08.2024|24.08.2024|08:00:00|28.08.2024|10:22:19  |U1025695    |21.08.2024|I0253031   |28.08.2024|PRCO ERAP RFEX|TECO CNF  GMPS JBFI MANC NMAT PRC  SETC |  2,095.00 |
|   4000176934|ZM01|B81 – Fire Alarm Support                |PMCARCON |TOR0B81                       |                                       |          |       |19.08.2024|19.08.2024|19.08.2024|19.08.2024|          |00:00:00|          |00:00:00  |U1025695    |21.08.2024|U1025695   |11.09.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000176938|ZM01|B93 Steam Safety Relieve Valve          |PMSTEAM  |TOR0B93                       |                                       |          |       |17.08.2024|17.08.2024|17.08.2024|17.08.2024|17.08.2024|11:46:00|10.09.2024|11:52:57  |U1025695    |21.08.2024|I0393338   |12.09.2024|PRCO RFEX     |REL  CNF  JBFI MANC MOBI PRC  SETC      |      0.00 |
|   4000177163|ZM01|Site Pot hole Repairs                   |PMCARCON |TOR0B00                       |                                       |          |       |22.08.2024|22.08.2024|22.08.2024|22.08.2024|          |00:00:00|          |00:00:00  |U1025695    |22.08.2024|U1014358   |28.08.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000177251|ZM02|B83 Investigate High Temp               |PMREFRI  |TOR0B83-STO001-COR0002        |WALK_IN REFRIGERATOR                   |TORWIR0012|       |08.09.2024|07.09.2024|07.09.2024|13.09.2024|          |00:00:00|          |00:00:00  |U1014358    |22.08.2024|U1003099   |12.09.2024|PRCO RFEX     |REL  GMPS MANC MOBI PRC  SETC           |    710.32 |
|   4000177301|ZM01|AUTs guide wheels and bracket replace   |PMMACCON |TOR0B90-EQP001-AUT0001        |AUTOCLAVE, GETINGE INTERNATIONAL       |TORAUT0099|       |22.08.2024|22.08.2024|22.08.2024|22.08.2024|          |00:00:00|          |00:00:00  |U1025695    |22.08.2024|U1014358   |22.08.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000177310|ZM01|FLM1713 not reading flow on the unit    |PMELECT  |TOR0B89-FIT001-XXX0001-FE00002|METER_FLOW__LIQUID_UF                  |TORFLM1713|       |27.08.2024|27.08.2024|27.08.2024|27.08.2024|27.08.2024|06:00:00|27.08.2024|12:30:00  |U1025695    |22.08.2024|E0535972   |27.08.2024|PRCO ERAP RFEX|TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |  5,496.47 |
|   4000177501|ZM01|B83 APA area floor cracks and wall repai|PMCARCON |TOR0B83                       |                                       |          |       |22.08.2024|22.08.2024|22.08.2024|22.08.2024|          |00:00:00|          |00:00:00  |U1029207    |23.08.2024|U1014358   |23.08.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000177555|ZM01|TNK1002 push button                     |PMPLUMB  |TOR0B89-DSP010-TAN0002        |TANK, 2250 L DI HOLDING                |TORTNK1002|       |24.08.2024|24.08.2024|24.08.2024|24.08.2024|          |00:00:00|          |00:00:00  |U1025695    |23.08.2024|U1003099   |12.09.2024|PRCO RFEX     |REL  GMPS MANC PRC  SETC                |    750.10 |
|   4000177745|ZM01|B83 F&P SInk Drain Repair               |PMCARCON |TOR0B83                       |                                       |          |       |23.08.2024|23.08.2024|23.08.2024|23.08.2024|          |00:00:00|          |00:00:00  |U1029207    |26.08.2024|U1014358   |26.08.2024|PRCO          |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000177746|ZM01|B83 Replace Door Closer by Lobby Door   |PMCARCON |TOR0B83-BUI001                |                                       |          |       |23.08.2024|23.08.2024|23.08.2024|23.08.2024|          |00:00:00|          |00:00:00  |U1029207    |26.08.2024|U1014358   |26.08.2024|PRCO          |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000177747|ZM01|B83 DOR1041 - Deficiency Found          |PMCARCON |TOR0B83-BUI004-DOO0007        |DOOR_ OVERHEAD _RM 131                 |TORDOR1041|       |23.08.2024|23.08.2024|23.08.2024|23.08.2024|          |00:00:00|          |00:00:00  |U1029207    |26.08.2024|U1014358   |26.08.2024|PRCO          |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000177748|ZM01|B83 DOR1027 - Deficiency found during WO|PMCARCON |TOR0B83-BUI004-DOL0002        |DOCK PLATE                             |TORDLE1027|       |23.08.2024|23.08.2024|23.08.2024|23.08.2024|          |00:00:00|          |00:00:00  |U1029207    |26.08.2024|U1014358   |26.08.2024|PRCO          |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000177749|ZM01|B83 DOR1048 - Deficiency found during WO|PMCARCON |TOR0B83-BUI004-DOO0014        |DOOR_ DOCK                             |TORDOR1048|       |23.08.2024|23.08.2024|23.08.2024|23.08.2024|          |00:00:00|          |00:00:00  |U1029207    |26.08.2024|U1014358   |26.08.2024|PRCO          |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000177750|ZM01|B83 DLE1015 - Deficiency found during WO|PMCARCON |TOR0B83-BUI004-DOL0001        |DOCK LEVELLER                          |TORDLE1015|       |23.08.2024|23.08.2024|23.08.2024|23.08.2024|          |00:00:00|          |00:00:00  |U1029207    |26.08.2024|U1014358   |26.08.2024|PRCO          |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000177751|ZM01|B83 DOR1046 - Deficiency found during WO|PMCARCON |TOR0B83-BUI004-DOO0012        |DOOR_ HORIZONTAL SLIDING FREEZER       |TORDOR1046|       |23.08.2024|23.08.2024|23.08.2024|23.08.2024|          |00:00:00|          |00:00:00  |U1029207    |26.08.2024|U1014358   |26.08.2024|PRCO          |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000177845|ZM01|Fire panel trouble                      |PMELECON |TOR0B94-BUI001                |                                       |          |       |24.08.2024|24.08.2024|24.08.2024|24.08.2024|          |00:00:00|          |00:00:00  |U1025695    |26.08.2024|U1014358   |28.08.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000177874|ZM01|I00 Insulation & PVC Jacket install     |PMPLMCON |TORB100                       |                                       |          |       |15.08.2024|15.08.2024|15.08.2024|15.08.2024|          |00:00:00|          |00:00:00  |U1040407    |26.08.2024|U1040407   |26.08.2024|PRCO RFEX     |REL  GMPS MANC NMAT PRC  SETC           |  5,370.00 |
|   4000177883|ZM01|I00 FIL1060 Lobe Pump Scratch Repairs   |PMMACCON |TORB100-FIT015                |5acP PRN 10kDa UF/DF 1                 |TORFIL1060|       |26.08.2024|26.08.2024|26.08.2024|26.08.2024|24.08.2024|08:16:00|          |00:00:00  |E0486430    |26.08.2024|E0486430   |11.09.2024|PRCO RFEX     |REL  PCNF MANC MOBI PRC  SETC           |      0.00 |
|   4000177938|ZM01|B83 Fire Alarm- Pull station cover.     |PMCARCON |TOR0B83                       |                                       |          |       |23.08.2024|23.08.2024|23.08.2024|23.08.2024|          |00:00:00|          |00:00:00  |U1029207    |26.08.2024|U1014358   |26.08.2024|PRCO          |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000177984|ZM01|Replace motor                           |PMMACHI  |TOR0B89-HVA003-AHU0004-EXF0001|EXHAUST FAN _SERVES R132A_135_137_138  |TOREXF1328|       |26.08.2024|26.08.2024|26.08.2024|26.08.2024|          |00:00:00|          |00:00:00  |U1025695    |26.08.2024|U1025695   |12.09.2024|PRCO RFEX     |REL  CSER MANC PRC  SETC                |      0.00 |
|   4000177985|ZM01|Touchups in DSP 89                      |PMCARCON |TOR0B89                       |                                       |          |       |24.06.2024|24.06.2024|24.06.2024|24.06.2024|          |00:00:00|          |00:00:00  |U1025695    |26.08.2024|U1014358   |26.08.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000178119|ZM01|B83 NE Brick Replacement                |PMCARCON |TOR0B83-BUI001                |                                       |          |       |26.08.2024|26.08.2024|26.08.2024|26.08.2024|          |00:00:00|          |00:00:00  |U1025695    |27.08.2024|U1014358   |28.08.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000178160|ZM01|B90 TET-  Floor Paint Touch-ups 304     |PMCARCON |TOR0B90                       |                                       |          |       |30.07.2024|30.07.2024|30.07.2024|30.07.2024|          |00:00:00|          |00:00:00  |U1025695    |27.08.2024|U1014358   |28.08.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000178253|ZM01|B83 Power Supply for Food Truck         |PMELECON |TOR0B83                       |                                       |          |       |24.08.2024|24.08.2024|24.08.2024|24.08.2024|          |00:00:00|          |00:00:00  |U1029207    |28.08.2024|U1014358   |28.08.2024|PRCO          |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000178293|ZM02|Corr F Leak                             |PMPLUMB  |TOR0B90-HVA005-AHU0002        |AIR HANDLING UNIT_ NON_STERILE         |TORAHU1074|       |28.08.2024|28.08.2024|28.08.2024|          |28.08.2024|10:37:00|10.09.2024|10:48:15  |U1025345    |28.08.2024|I0203794   |10.09.2024|PRCO RFEX     |REL  CNF  JBFI MANC MOBI NMAT PRC  SETC |      0.00 |
|   4000178303|ZM01|Modify autoclave carriage               |PMMACCON |TOR0B90                       |                                       |          |       |26.08.2024|26.08.2024|26.08.2024|26.08.2024|          |00:00:00|          |00:00:00  |U1025695    |28.08.2024|U1014358   |28.08.2024|PRCO RFEX     |REL  GMPS MANC NMAT PRC  SETC           |    645.00 |
|   4000178353|ZM01|STI1018 High Temperature, Descaling     |PMWFICON |TOR0B92-WFS004-WFP0001        |STILL_ MULTI_EFFECT DISTILLATION UNIT  |TORSTI1018|       |28.08.2024|28.08.2024|28.08.2024|28.08.2024|          |00:00:00|          |00:00:00  |U1029207    |28.08.2024|U1029207   |03.09.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000178381|ZM01|B18 West Deck Repairs                   |PMCARCON |TOR0B18                       |                                       |          |       |27.08.2024|27.08.2024|27.08.2024|27.08.2024|          |00:00:00|          |00:00:00  |U1025695    |28.08.2024|U1014358   |29.08.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000178394|ZM01|B100-UF472 2 x temp probe replace       |PMELECT  |TORB100                       |                                       |          |       |22.08.2024|22.08.2024|22.08.2024|22.08.2024|          |00:00:00|          |00:00:00  |E0486430    |29.08.2024|U1040407   |05.09.2024|PRCO RFEX     |REL  MOBI PRC  SETC                     |      0.00 |
|   4000178411|ZM01|B90 Installation of TV in MWS area      |PMCARCON |TOR0B90                       |                                       |          |       |12.09.2024|12.09.2024|12.09.2024|12.09.2024|30.08.2024|08:00:00|12.09.2024|10:23:20  |U1029207    |29.08.2024|U1025695   |12.09.2024|PRCO RFEX     |REL  CNF  JIPR MANC MOBI NMAT PRC  SETC |      0.00 |
|   4000178770|ZM01|B90 Valve Tuning Tet Live Area          |PMPLMCON |TOR0B90                       |                                       |          |       |30.08.2024|06.09.2024|30.08.2024|30.08.2024|05.09.2024|07:51:59|05.09.2024|07:52:23  |U1029207    |30.08.2024|I0253031   |06.09.2024|PRCO ERAP RFEX|TECO CNF  GMPS JBFI MACM MOBI PRC  SETC |    924.00 |
|   4000180015|ZM02|Sprinkler Cap Fell of Ceiling           |PMMACHI  |TOR0B92                       |                                       |          |       |04.09.2024|03.09.2024|03.09.2024|          |03.09.2024|12:45:00|04.09.2024|17:31:00  |I0350454    |03.09.2024|U1003099   |10.09.2024|ERAP PRCO RFEX|REL  CNF  GMPS JBFI MANC MOBI PRC  SETC |     61.56 |
|   4000180083|ZM01|B94 Washer mould investigation and remed|PMCARCON |TOR0B94                       |                                       |          |       |22.08.2024|22.08.2024|22.08.2024|22.08.2024|          |00:00:00|          |00:00:00  |U1040407    |03.09.2024|U1040407   |04.09.2024|PRCO          |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000180090|ZM01|B89 South Dock Missing Safety Curtain   |PMMACCON |TOR0B89-BUI001-DOL0001        |DOCK LEVELLER                          |TORDLE1040|       |03.09.2024|03.09.2024|03.09.2024|03.09.2024|          |00:00:00|          |00:00:00  |U1029207    |03.09.2024|U1029207   |03.09.2024|PRCO          |REL  NMAT PRC  SETC                     |      0.00 |
|   4000180343|ZM01|B83 WIR0012 Mold investigation due to wa|PMCARCON |TOR0B83-STO001-COR0002        |WALK_IN REFRIGERATOR                   |TORWIR0012|       |22.08.2024|22.08.2024|22.08.2024|22.08.2024|          |00:00:00|          |00:00:00  |U1029207    |04.09.2024|U1029207   |09.09.2024|PRCO          |REL  GMPS MANC NMAT PRC  SETC           |  2,160.00 |
|   4000180358|ZM01|Removing and Assembling Hoses - CP USP  |PMPLUMB  |TORB100                       |                                       |          |       |20.08.2024|20.08.2024|20.08.2024|20.08.2024|          |00:00:00|          |00:00:00  |U1040407    |04.09.2024|U1040407   |12.09.2024|PRCO          |REL  MACM PRC  SETC                     |      0.00 |
|   4000180406|ZM01|Replaced Outlet with GFCI               |PMELECT  |TORB100-DSP005-COW0001        |                                       |          |       |13.09.2024|13.09.2024|13.09.2024|13.09.2024|          |00:00:00|          |00:00:00  |E0486430    |04.09.2024|I0244150   |11.09.2024|PRCO RFEX     |REL  GMPS MACM MOBI PRC  SETC           |    779.20 |
