19.06.2024                                                                                                                        Dynamic List Display                                                                                                                                                                                  1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room    |Equipment |Description of technical object       |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end|TotCostAct| PlanTotCos|MntPlan|MntItem|
|  PMHVAC   |B92 Install Deflectors Under Air Vents  |4000144997|ZM01|        |          |                                      |          |TOR0B92                       |CA02T0048|29.06.2024|29.06.2024|PRCO RFEX     |Z290624 |REL  PCNF MANC MOBI PRC  SETC           |13.05.2024|          |     0.00 |    602.40 |       |       |
|  PMSTEAM  |Pipe leaking next to Stg0012            |4000145725|ZM01|        |TORSTG0016|GENERATOR, PURE STEAM                 |B89       |TOR0B89-CSS002-CSG0002        |CA02T0043|14.06.2024|14.06.2024|PRCO RFEX     |Z080624 |REL  CNF  JIPR MANC MOBI NMAT PRC  SETC |13.06.2024|14.06.2024|     0.00 |  1,738.00 |       |       |
|  PMPLMCON |I00 Plumber Support for B100 Shutdown   |4000146797|ZM01|        |          |                                      |          |TORB100                       |CA02T0111|28.07.2024|28.07.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |102,966.00 |       |       |
|  PMPLMCON |I00 CP Area TufSteel Gasket Changes     |4000146798|ZM01|        |          |                                      |          |TORB100                       |CA02T0111|01.07.2024|01.07.2024|PRCO RFEX     |        |REL  MANC PRC  SETC                     |          |          |     0.00 | 27,889.00 |       |       |
|  PMPLMCON |Washer alarming "Pump motor over current|4000147275|ZM01|238     |TORWAS1029|WASHER_ CAGE_RACK                     |PM-ANR-ANT|TOR0B94-EQP001-WAM0001        |CA02T0028|28.05.2024|28.05.2024|PRCO RFEX     |REPORT  |REL  MANC PRC  SETC                     |          |          |     0.00 |    922.78 |       |       |
|  PMELECT  |B81 Rm106 Hallway Basement Ceiling light|4000147386|ZM01|        |          |                                      |PM-ANR-ANT|TOR0B81-BUI001                |CA02T0028|29.06.2024|29.06.2024|PRCO RFEX     |Z290624 |REL  GMPS MANC MOBI PRC  SETC           |          |          |   157.61 |    415.21 |       |       |
|  PMHVAC   |B83 Rm353 Laminar Flow Check            |4000147394|ZM01|353     |          |                                      |          |TOR0B83                       |CA02T0035|14.06.2024|15.06.2024|PRCO ERAP RFEX|REPORT  |TECO CNF  PRT  JBFI MANC MOBI NMAT PRC *|14.06.2024|14.06.2024|     0.00 |  1,341.25 |       |       |
|  PMELECT  |West side - Security gate               |4000147681|ZM01|        |          |                                      |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|28.05.2024|28.05.2024|PRCO RFEX     |        |REL  GMPS MANC MOBI PRC  SETC           |          |          |   451.05 |    355.57 |       |       |
|  PMPLMCON |B90 JUne shutdown contractor support    |4000148015|ZM08|        |          |                                      |          |TOR0B90                       |CA02T0167|01.06.2024|04.06.2024|PRCO          |REPORT  |REL  ESTC MANC PRC  SETC                |          |          |     0.00 | 39,343.00 |       |       |
|  PMELECT  |B95 - HET1019 solenoid not working      |4000149556|ZM01|004     |TORHET1019|Hot Water Heater                      |PM-EMS-MNT|TOR0B95-HWS001-XXX0001-HEA0002|CA02P0036|22.06.2024|22.06.2024|PRCO RFEX     |Z220624 |REL  MANC PRC  SETC                     |          |          |     0.00 |  1,764.70 |       |       |
|  PMMACCON |B83 - Dock 9 - Cable Came Off           |4000158250|ZM01|WEST 9  |TORDOR1043|DOOR_ WEST 9 DOCK                     |PM-MAM-MDC|TOR0B83-BUI004-DOO0009        |CA02T0067|22.06.2024|22.06.2024|PRCO RFEX     |Z220624 |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  2,547.00 |       |       |
|  PMLABCON |Rusted Diffuser Screens                 |4000158257|ZM01|243     |TORWIR0056|REFRIGERATOR_ WALK_IN                 |PM-BAC-DIP|TOR0B90-USP007-COR0001        |CA02T0040|07.06.2024|07.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC TTJL           |          |          |     0.00 |  2,400.00 |       |       |
|  PMMACHI  |B94 Lock on WIF1044 not opening         |4000158278|ZM01|LOADDOCK|TORWIF1044|WALK_IN FREEZER                       |PM-ANR-ANT|TOR0B94-LAB009-WIF0001        |CA02T0028|01.06.2024|01.06.2024|PRCO RFEX     |Z010624 |REL  MANC PRC  SETC                     |          |          |     0.00 |    210.38 |       |       |
|  PMMACCON |B92 MR 2500 Damaged Lock                |4000159530|ZM01|2500    |          |                                      |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|22.06.2024|22.06.2024|PRCO RFEX     |Z220624 |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |    680.00 |       |       |
|  PMMACCON |I00 Carmichael Centrifuge PMs           |4000159723|ZM01|2331    |TORCEN1558|CENTRIFUGE                            |PM-CPD200 |TORB100-DSP023-CEN0004        |CA02T0111|15.06.2024|15.06.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  2,865.00 |       |       |
|  PMSTMCON |B83 MR 169 Repair Insulations           |4000159818|ZM01|169     |          |                                      |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|22.06.2024|22.06.2024|PRCO          |Z220624 |REL  NMAT PRC  SETC                     |          |          |     0.00 |  4,873.00 |       |       |
|  PMELECT  |B92 PMP1013 Replace Transformer         |4000159925|ZM01|102     |TORPMP1013|PUMP                                  |          |TOR0B85-SCS001-PUM0001        |CA02T0090|29.06.2024|29.06.2024|PRCO RFEX     |Z290624 |REL  PRC  SETC                          |          |          |     0.00 |    111.98 |       |       |
|  PMELECON |I00 RM1617 UPS Battery Replacement      |4000159954|ZM01|1617    |TORPOS1178|UPS DISTRIBUTION BOARD 1200A, 120/208V|          |TORB100-ELS004-XXX0001-JI00001|CA02T0111|06.07.2024|06.07.2024|PRCO RFEX     |S/D     |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 73,000.00 |       |       |
|  PMSTEAM  |WFI0001 start up issues                 |4000160015|ZM02|        |          |                                      |          |TOR0B90                       |CA02T0167|14.06.2024|14.06.2024|PRCO RFEX     |        |REL  MANC MOBI NMAT PRC  SETC           |          |          |     0.00 |  1,435.00 |       |       |
|  PMELECT  |B60-COLD WFI ISSUE                      |4000160041|ZM01|        |          |                                      |          |TOR0B60                       |CA02P0010|15.06.2024|15.06.2024|PRCO RFEX     |Z150624 |REL  CNF  JBFI MANC MOBI PRC  SETC      |17.06.2024|17.06.2024|     0.00 |    483.30 |       |       |
|  PMELECT  |Light bulb AUT1125 Panel Acquisition    |4000160043|ZM01|        |          |                                      |          |TOR0B90                       |CA02T0167|15.06.2024|15.06.2024|PRCO RFEX     |Z150624 |REL  MANC PRC  SETC                     |          |          |     0.00 |    202.90 |       |       |
|  PMPLUMB  |replace biohazard filter                |4000160044|ZM01|103     |TORAUT1179|AUTOCLAVE, DECONTAMINATION            |PM-MTECH  |TOR0B78-LAB001-AUT0001        |CA02T0104|15.06.2024|15.06.2024|PRCO RFEX     |Z150624 |REL  MANC PRC  SETC                     |          |          |     0.00 |     41.69 |       |       |
|  PMCARCON |East property gate lock repairs         |4000160585|ZM01|        |          |                                      |          |TOR0B00                       |CA02T0091|15.06.2024|15.06.2024|PRCO          |Z150624 |REL  PCNF JIPR MANC NMAT PRC  SETC      |          |          |     0.00 |    302.50 |       |       |
|  PMCARCON |B54 Roof repairs as per Remy’s quarterly|4000160590|ZM01|        |          |                                      |PM-BAC-COP|TOR0B54-BUI001                |CA02T0045|17.06.2024|17.06.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  2,510.00 |       |       |
|  PMCARCON |B60 Enve. Insp. May 2024–Sealant repair |4000160595|ZM01|        |          |                                      |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|17.06.2024|17.06.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  3,404.00 |       |       |
|  PMCARCON |B61 Roof inspection May 2024            |4000160596|ZM01|        |          |                                      |          |TOR0B61-BUI001                |CA02T0090|17.06.2024|17.06.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  7,300.00 |       |       |
|  PMMACCON |B90 MWS Extend Chains on Hoist Plate    |4000160730|ZM01|        |          |                                      |          |TOR0B90                       |CA02T0167|18.06.2024|18.06.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,295.50 |       |       |
|  PMCARCON |B83 Rm348/348A Paint Touch Ups          |4000161036|ZM01|348     |          |                                      |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|17.06.2024|17.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  2,858.61 |       |       |
|  PMCARCON |B83 Cafeteria Men's Washroom Door       |4000161037|ZM01|        |          |                                      |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|18.06.2024|18.06.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |    247.25 |       |       |
|  PMHVAC   |TR16 require portable AC                |4000161051|ZM01|        |          |                                      |          |TOR0B16                       |         |15.06.2024|15.06.2024|PRCO          |Z150624 |REL  MACM PRC  SETC                     |          |          |     0.00 |  4,285.76 |       |       |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
