12.08.2024                                                                                                                          Dynamic List Display                                                                                                                                                                                   1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Order     |Mn.wk.ctr|Description                             |Type|Room    |Equipment |Description of technical object         |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end| ActTotCost| PlanTotCos|MntPlan|MntItem|
|  4000170653|PMCARCON |B81/83 Sidewalk Cracks                  |ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|25.07.2024|25.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |    264.50 |       |       |
|  4000170717|PMELECT  |Level controller not working            |ZM01|118     |TORWEI1420|WEIGHING_TERMINAL_WFI STORAGE TANK      |PM-FIP-FIL|TOR0B83-WFS001-XXX0001-WI00001|CA02T0035|24.08.2024|24.08.2024|PRCO RFEX     |Z240824 |REL  PCNF JIPR MANC PRC  SETC TTJL      |08.07.2024|          |      0.00 |     98.20 |       |       |
|  4000170733|PMELECT  |I00 Replace VFD Panel Fan Filters       |ZM01|1602    |TORCON1875|FER311 MCC POWER PANEL                  |PM-EMS-MNT|TORB100-MNT008-CNP0017        |CA02T0111|01.09.2024|01.09.2024|PRCO          |        |REL  GMPS MANC PRC  SETC                |          |          |    388.60 |    466.32 |       |       |
|  4000170780|PMMFO    |I00 FIM cen parts replacement           |ZM01|        |          |                                        |          |TORB100                       |CA02T0111|05.08.2024|05.08.2024|PRCO RFEX     |03082024|REL  CNF  JBFI MOBI PRC  SETC           |06.08.2024|06.08.2024|      0.00 |  3,070.00 |       |       |
|  4000171286|PMCARCON |B92 Form / Media General Facility Repair|ZM01|        |          |                                        |          |TOR0B92                       |CA02T0048|01.08.2024|01.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 | 14,179.50 |       |       |
|  4000172870|PMCARCON |Pre-HC Walkthrough                      |ZM01|        |          |                                        |          |TOR0B90                       |CA02T0167|15.07.2024|15.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |    230.00 |       |       |
|  4000172892|PMMACCON |B92 Dutch Door Latch is not Catching    |ZM01|3009    |100009029 |Transformer TLO 3/4mVa 27.6kV-3 (B92, B9|B94       |                              |CA02T0101|06.06.2024|06.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |    705.00 |       |       |
|  4000173039|PMPLUMB  |I00 CIP1022 Control Panel Leaking CA Reg|ZM01|1619    |TORCIP1022|CIP Skid 2 Media/Buffer                 |PM-EMS-MNT|TORB100-CIP003                |CA02T0111|10.08.2024|10.08.2024|PRCO RFEX     |        |REL  MANC PRC  SETC                     |          |          |      0.00 |    367.72 |       |       |
|  4000173064|PMHVAC   |B53 SAS1110 Replace 30% Filters         |ZM01|        |          |                                        |          |TOR0B53                       |CA02T0091|10.08.2024|10.08.2024|PRCO RFEX     |Z100824 |REL  MANC PRC  SETC                     |          |          |      0.00 |    481.78 |       |       |
|  4000173067|PMELECON |B53Chubb Closeout Legacy Life Safety Sys|ZM01|        |          |                                        |          |TOR0B53                       |CA02T0091|06.08.2024|06.08.2024|AWPR          |REPORT  |CRTD MANC NMAT NTUP PRC                 |          |          |      0.00 |      0.00 |       |       |
|  4000173068|PMELECON |B78Chubb Legacy Closeout Life Safety Sys|ZM01|        |          |                                        |          |TOR0B78                       |CA02T0104|06.08.2024|06.08.2024|AWPR          |REPORT  |CRTD MANC NMAT NTUP PRC                 |          |          |      0.00 |      0.00 |       |       |
|  4000173069|PMELECON |B83Chubb Legacy Closeout Life Safety Sys|ZM01|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|06.08.2024|06.08.2024|AWPR          |REPORT  |CRTD MANC NMAT NTUP PRC                 |          |          |      0.00 |      0.00 |       |       |
|  4000173073|PMELECON |B92Chubb Closeout Legacy Life Safety Sys|ZM01|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|06.08.2024|06.08.2024|AWPR          |REPORT  |CRTD MANC NMAT NTUP PRC                 |          |          |      0.00 |      0.00 |       |       |
|  4000173102|PMELECON |B03Chubb legacy closeout for Life safety|ZM01|        |          |                                        |          |TOR0B03-BUI001                |CA02T0090|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |      0.00 |       |       |
|  4000173103|PMELECON |B04 Chubb close out legacy life safety  |ZM01|        |          |                                        |PM-EMS-MNT|TOR0B04-BUI001                |CA02T0101|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |      0.00 |       |       |
|  4000173104|PMELECON |B16 Chubb close out legacy life safety  |ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |      0.00 |       |       |
|  4000173105|PMELECON |B18 Chubb Close out legacy life safety  |ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |      0.00 |       |       |
|  4000173106|PMELECON |B60Chubb closeout legacy life safety sys|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |      0.00 |       |       |
|  4000173107|PMELECON |B61Chubb closeout legacy life safety sys|ZM01|        |          |                                        |          |TOR0B61-BUI001                |CA02T0090|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |      0.00 |       |       |
|  4000173108|PMELECON |B72Chubb legacy closeout life safety sys|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B72-BUI001                |CA02T0090|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |      0.00 |       |       |
|  4000173109|PMELECON |B82Chubb legacy closeout life safety sys|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B82-BUI001                |CA0200110|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |      0.00 |       |       |
|  4000173110|PMELECON |B81Chubb legacy closeout life safety sys|ZM01|        |          |                                        |PM-ANR-ANT|TOR0B81-BUI001                |CA02T0028|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |      0.00 |       |       |
|  4000173111|PMELECON |B84Chubb legacy closeout life safety sys|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B84-BUI001                |CA02T0101|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |      0.00 |       |       |
|  4000173112|PMELECON |B85Chubb legacy closeout life safety sys|ZM01|        |          |                                        |PM-EMS-STP|TOR0B85-BUI001                |CA02T0090|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |      0.00 |       |       |
|  4000173113|PMELECON |B87Chubb legacy closeout life safety sys|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |      0.00 |       |       |
|  4000173114|PMELECON |B93Chubb legacy closeout life safety sys|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B93-BUI001                |CA02T0091|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |      0.00 |       |       |
|  4000173115|PMELECON |B94Chubb legacy closeout life safety sys|ZM01|        |          |                                        |PM-ANR-ANT|TOR0B94-BUI001                |CA02T0028|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |      0.00 |       |       |
|  4000173116|PMELECON |B95Chubb legacy closeout life safety sys|ZM01|VARIOUS |          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |      0.00 |       |       |
|  4000173117|PMELECON |B96Chubb legacy closeout life safety sys|ZM01|104     |          |                                        |PM-EMS-MNT|TOR0B96-BUI001                |CA02T0091|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |      0.00 |       |       |
|  4000173118|PMELECON |B00Chubb closeout legacy life safety sys|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |      0.00 |       |       |
|  4000173206|PMELECON |Chubb closeout legacy life safety sys   |ZM01|        |          |                                        |PM-BAC-COP|TOR0B54-BUI001                |CA02T0045|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |      0.00 |       |       |
|  4000173207|PMELECON |Chubb legacy closeout life safety sys   |ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |      0.00 |       |       |
|  4000173227|PMELECON |Chubb legacy closeout life safety sys   |ZM01|        |          |                                        |PM-BAC-COP|TOR0B89-BUI001                |CA02T0043|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |      0.00 |       |       |
|  4000173244|PMELECON |B71Chubb closeout legacy life safety sys|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |      0.00 |       |       |
|  4000173245|PMELECON |B91Chubb closeout legacy life safety sys|ZM01|        |          |                                        |PM-MAM-MDC|TOR0B91-BUI001                |CA02T0021|06.08.2024|06.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |      0.00 |       |       |
|  4000173335|PMCARCON |B100 Demarcation Lines                  |ZM01|        |          |                                        |          |TORB100-BUI001                |CA02T0111|06.08.2024|06.08.2024|PRCO          |        |REL  NMAT PRC  SETC                     |          |          |      0.00 | 17,557.36 |       |       |
|  4000173401|PMMACHI  |Rouging on fermentors                   |ZM01|2414    |TORFER1165|FERMENTOR                               |PM-DTP100 |TORB100-BIO002-FER0051        |CA02T0111|14.03.2024|14.03.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |      0.00 |       |       |
|  4000173662|PMSTMCON |B92 MR100 Backflow & Piping             |ZM01|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|08.08.2024|08.08.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  1,980.00 |       |       |
|  4000173663|PMMACHI  |pump motor fault                        |ZM02|        |TORCIP1009|250L CIP Tank                           |B89       |TOR0B89-CIP003                |CA02T0043|08.08.2024|          |PRCO RFEX     |        |REL  CNF  JBFI MANC MOBI PRC  SETC      |08.08.2024|09.08.2024|      0.00 |    208.60 |       |       |
|  4000173674|PMCARCON |B92 Loading Dock Flooring Repairs       |ZM01|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|07.08.2024|07.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 | 18,887.30 |       |       |
|  4000173701|PMPLUMB  |Gasket for pH Probe Adapter             |ZM01|        |          |                                        |          |TOR0B90                       |CA02T0167|10.08.2024|10.08.2024|PRCO RFEX     |Z100824 |REL  MANC PRC  SETC                     |          |          |      0.00 |    284.00 |       |       |
|  4000173706|PMMACCON |Support for conducting rouginginspection|ZM01|2420    |TORFIL1049|Dip Crude Toxin Ultrafilter             |PM-DTP210 |TORB100-FIT003                |CA02T0111|14.06.2024|14.06.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |      0.00 |       |       |
|  4000173714|PMCARCON |B89 TV Install In MWS, DSP, USP         |ZM01|        |          |                                        |          |TOR0B89                       |CA02T0043|09.08.2024|09.08.2024|PRCO ERAP RFEX|REPORT  |TECO CNF  PRT  JBFI MANC NMAT PRC  SETC |09.08.2024|12.08.2024|      0.00 |    393.88 |       |       |
|  4000173806|PMMACCON |I00 FHA Col Tnk Weld Plate Repair       |ZM01|2331    |TORTNK2133|FHA COLLECTION TANK                     |PM-CPD400 |TORB100-DSP015-TAN0008        |CA02T0111|07.09.2024|07.09.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 | 37,016.00 |       |       |
