23.07.2024                                                                                                                                  Dynamic List Display                                                                                                                                                                                            1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room   |Equipment |Description of technical object       |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end|TotCostAct| PlanTotCos|MntPlan|MntItem|Created On|Notifctn |
|  PMELECT  |B60 Therm scan Comb. disconnect/Starter |4000141018|ZM01|       |          |                                      |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|27.07.2024|27.07.2024|PRCO RFEX     |Z270724 |REL  MANC PRC  SETC                     |          |          |     0.00 |  2,435.18 |       |       |08.04.2024|100098949|
|  PMPLUMB  |B60 - Annex M/R102A BFP1086 leaking     |4000141064|ZM01|102    |TORBFP1086|BACKFLOW PREVENTOR                    |PM-DEV-BDL|TOR0B60-HWS001-XXX0001-NRV0005|CA02T0090|27.07.2024|27.07.2024|PRCO RFEX     |Z270724 |REL  MANC PRC  SETC                     |          |          |     0.00 |  1,649.65 |       |       |08.04.2024|100098968|
|  PMELECT  |Change Batteries - 100010343 B60, Rm251 |4000141458|ZM01|251    |100010343 |UNINTERRUPTED POWER SUPPLY            |PM-BRD-UPS|TOR0B60-USP012-XXX0001-JI00001|CA02P0010|27.07.2024|27.07.2024|PRCO RFEX     |Z270724 |REL  MANC MOBI PRC  SETC                |          |          |     0.00 |  2,432.96 |       |       |10.04.2024|100094783|
|  PMELECT  |B4 - Replace light switches and bulbs   |4000141589|ZM01|       |          |                                      |PM-EMS-MNT|TOR0B04-BUI001                |CA02T0101|27.07.2024|27.07.2024|PRCO RFEX     |Z270724 |REL  PCNF MANC MOBI PRC  SETC           |10.04.2024|          |     0.00 |    284.16 |       |       |11.04.2024|100099435|
|  PMELECT  |B60 RmA110 Relocate 20L EB power        |4000142700|ZM01|       |          |                                      |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|27.07.2024|28.07.2024|PRCO RFEX     |Z270724 |REL  CSER MANC PPRT PRC  SETC           |          |          |     0.00 |    163.94 |       |       |22.04.2024|100099431|
|  PMHVAC   |B95 - AHU1139 charcoal filter           |4000142854|ZM01|407    |TORAHU1139|UNIT_ AIR HANDLING                    |PM-EMS-MNT|TOR0B95-HVA005-AHU0004        |CA02P0030|26.10.2024|26.10.2024|PRCO RFEX     |Z261024 |REL  MANC PRC  SETC                     |          |          |     0.00 |  1,881.60 |       |       |25.04.2024|100100199|
|  PMPLUMB  |B94 - Sump pumps malfunction            |4000142856|ZM01|       |          |                                      |PM-ANR-ANT|TOR0B94-BUI001                |CA02T0028|27.07.2024|27.07.2024|PRCO RFEX     |Z270724 |REL  GMPS MANC PRC  SETC                |          |          |   347.51 |  1,618.10 |       |       |25.04.2024|100100187|
|  PMELECT  |B84 Rm206 LIGHT FIXTURE                 |4000144396|ZM01|206    |          |                                      |PM-EMS-GEN|TOR0B84-BUI001                |CA02T0101|27.07.2024|27.07.2024|PRCO RFEX     |Z270724 |REL  MANC PRC  SETC                     |          |          |     0.00 |    184.54 |       |       |06.05.2024|100100578|
|  PMPLMCON |I00 Plumber Support for B100 Shutdown   |4000146797|ZM01|       |          |                                      |          |TORB100                       |CA02T0111|28.07.2024|28.07.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |102,966.00 |       |       |24.05.2024|100102282|
|  PMPLMCON |I00 CP Area TufSteel Gasket Changes     |4000146798|ZM01|       |          |                                      |          |TORB100                       |CA02T0111|01.07.2024|01.07.2024|PRCO RFEX     |        |REL  GMPS MANC PRC  SETC                |          |          | 2,693.30 | 29,561.07 |       |       |24.05.2024|100102264|
|  PMPLUMB  |B60-COOLING TOWER -FLOAT SYSTEM ASSESS  |4000147687|ZM01|       |          |                                      |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|27.07.2024|27.07.2024|PRCO RFEX     |Z270724 |REL  PCNF JIPR MANC MOBI PRC  SETC      |29.05.2024|          |     0.00 |  6,304.65 |       |       |29.05.2024|100102472|
|  PMMACCON |Lobe pumps for refurbishment            |4000157933|ZM01|       |          |                                      |          |TOR0B90                       |CA02T0167|06.06.2024|06.06.2024|PRCO RFEX     |REPORT  |REL  MANC PRC  SETC                     |          |          |     0.00 |  9,852.06 |       |       |06.06.2024|100111288|
|  PMMACCON |B92 MR1400 Scissor Lift Repairs         |4000158020|ZM01|1400   |          |                                      |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|20.07.2024|20.07.2024|PRCO          |Z200724 |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 20,677.00 |       |       |06.06.2024|100109502|
|  PMELECT  |B00-SITEWIDE PARKING LIGHTS             |4000159372|ZM01|       |          |                                      |          |TOR0B00                       |CA02T0091|19.06.2024|19.06.2024|PRCO ERAP RFEX|Z080624 |REL  PCNF JIPR MANC MOBI NMAT PRC  SETC |14.06.2024|          |     0.00 | 12,048.00 |       |       |12.06.2024|100112458|
|  PMHVAC   |PM-HVAC, AHU1101                        |4000161596|ZM03|       |TORAHU1101|AIR HANDLING UNIT                     |B92       |TOR0B92-HVA011-AHU0001        |CA02T0074|01.09.2024|30.09.2024|PRCO          |        |REL  MACM PRC  SETC                     |          |          |     0.00 |  7,336.68 |2517   |10135  |21.06.2024|100114423|
|  PMELECT  |Electrical outlet and light fixture     |4000163235|ZM01|       |          |                                      |PM-EMS-MNT|TOR0B89-BUI002                |CA02T0091|13.07.2024|13.07.2024|PRCO RFEX     |Z130724 |REL  CNF  JBFI MANC MOBI PRC  SETC      |18.07.2024|22.07.2024|     0.00 |     21.94 |       |       |27.06.2024|100114856|
|  PMSTEAM  |STI1022 Pipe Insulation                 |4000165910|ZM01|188    |TORSTI1022|STILL_                                |PM-BLK-WFI|TOR0B54-WFS001-WFP0001        |CA02T0086|06.07.2024|06.07.2024|PRCO RFEX     |Z060724 |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |    638.00 |       |       |04.07.2024|100116834|
|  PMMACCON |Hoist rod bent on HST1036               |4000167099|ZM01|120    |TORHST1036|HOIST                                 |PM-BAC-COP|TOR0B89-DSP026-HOI0002        |CA02T0047|27.06.2024|27.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  2,607.50 |       |       |10.07.2024|100115418|
|  PMPLUMB  |Install Ice machine B60, Rm110A         |4000167123|ZM01|110A   |          |                                      |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|27.07.2024|27.07.2024|PRCO RFEX     |Z270724 |REL  MANC MOBI PRC  SETC                |          |          |     0.00 |    158.69 |       |       |10.07.2024|100118456|
|  PMCARCON |B89 USP Facility Touchups               |4000168059|ZM01|USP    |          |                                      |          |TOR0B89                       |CA02T0043|19.07.2024|19.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  3,826.41 |       |       |16.07.2024|100119554|
|  PMCARCON |B16 Dormer Windows East Elevation,      |4000168269|ZM01|       |          |                                      |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|28.05.2024|28.05.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  6,629.00 |       |       |17.07.2024|100102384|
|  PMELECON |B53 Fire Device Investigation           |4000168357|ZM01|       |          |                                      |          |TOR0B53                       |CA02T0091|17.07.2024|17.07.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC PRC  SETC                |          |          |   166.25 |    656.24 |       |       |17.07.2024|100119998|
|  PMCARCON |B93 Paint the floor in room 135         |4000168711|ZM01|       |          |                                      |PM-EMS-MNT|TOR0B93-BUI001                |CA02T0091|01.08.2024|01.08.2024|PRCO RFEX     |QUOTE   |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  3,755.95 |       |       |18.07.2024|100111957|
|  PMCARCON |B92 Dock 5S Lines Peeling on Floor      |4000169159|ZM01|DOCK   |          |                                      |          |TOR0B92                       |CA02T0048|24.05.2024|24.05.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |    615.25 |       |       |22.07.2024|100102273|
|  PMCARCON |B82 Water Damage Remediation            |4000169171|ZM01|       |          |                                      |          |TOR0B82                       |CA0200110|19.07.2024|19.07.2024|PRCO          |        |REL  NMAT PRC  SETC                     |          |          |     0.00 |  3,444.25 |       |       |22.07.2024|100120647|
|  PMMACCON |Cans to be assessed                     |4000169190|ZM01|MOBILE |TORTNK2367|ACID CAN 12 L                         |PM-BAC-COP|TOR0B89-DSP014-TAN0139        |CA02T0043|09.07.2024|09.07.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  5,212.50 |       |       |22.07.2024|100118788|
|  PMCARCON |B92 IMC Walkthrough - Wall Repairs      |4000169220|ZM01|IMC    |          |                                      |          |TOR0B92                       |CA02T0033|17.06.2024|17.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,086.75 |       |       |22.07.2024|100113432|
|  PMCARCON |B92 Rm3300 Series Painting Required     |4000169223|ZM01|3300S  |          |                                      |          |TOR0B92                       |CA02T0029|25.06.2024|25.06.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |    782.00 |       |       |22.07.2024|100115000|
|  PMCARCON |B92 Sterility Lab Paint Touch Ups       |4000169224|ZM01|       |          |                                      |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0029|15.07.2024|15.07.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |    977.50 |       |       |22.07.2024|100119559|
|  PMCARCON |EM Holder Coming off Wall               |4000169253|ZM01|       |          |                                      |          |TOR0B90                       |CA02T0167|20.07.2024|20.07.2024|PRCO RFEX     |Z200724 |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |    517.50 |       |       |22.07.2024|100119597|
|  PMCARCON |Please make repairs in b61 mens shower  |4000169351|ZM01|       |          |                                      |          |TOR0B61                       |CA02T0091|21.05.2024|21.05.2024|PRCO          |        |REL  NMAT PRC  SETC                     |          |          |     0.00 |  1,052.00 |       |       |23.07.2024|100102032|
|  PMMETRO  |I00 2024 Shutdown Metrology Ext. Support|4000169356|ZM01|       |          |                                      |          |TORB100                       |CA02T0111|29.07.2024|29.07.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 48,480.00 |       |       |23.07.2024|100121130|
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
