12.01.2024                                                                                                                        Dynamic List Display                                                                                                                                                                                 1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room   |Equipment |Description of technical object        |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|UserStatus    |Revision|System status                           |Act. start|Actual end|TotCostAct|PlanTotCos|MntPlan|MntItem|
|  PMPLMCON |Repair Drain Pipe on JC                 |4000123606|ZM01|       |          |                                       |          |TOR0B89                       |CA02T0043|01.01.2024|01.01.2024|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 | 7,134.00 |       |       |
|  PMPLMCON |Repair Chilled water HE                 |4000123607|ZM01|       |          |                                       |          |TOR0B89                       |CA02T0043|01.01.2023|01.01.2023|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 | 7,868.00 |       |       |
|  PMPLMCON |Repair leak in CIP Pump                 |4000123608|ZM01|       |          |                                       |          |TOR0B89                       |CA02T0043|01.01.2023|01.01.2023|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 | 1,022.00 |       |       |
|  PMPLMCON |Repair BFP leak                         |4000123610|ZM01|       |          |                                       |          |TOR0B89                       |CA02T0043|01.01.2023|01.01.2023|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 | 5,005.00 |       |       |
|  PMPLMCON |Repair Fermenter                        |4000123614|ZM01|       |          |                                       |          |TOR0B89                       |CA02T0043|01.01.2023|01.01.2023|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 | 5,371.00 |       |       |
|  PMPLMCON |SAS1079 humidifier Repair               |4000123615|ZM01|       |          |                                       |          |TOR0B89                       |CA02T0043|01.01.2023|01.01.2023|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 | 7,510.00 |       |       |
|  PMMACCON |Elevator Inspection                     |4000123625|ZM01|       |          |                                       |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|09.01.2024|09.01.2024|PRCO RFEX     |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 | 4,903.20 |       |       |
|  PMMACHI  |TET live walkthrough observations       |4000123651|ZM01|       |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|09.01.2024|10.01.2024|PRCO RFEX     |06012024|REL  PCNF MANC MOBI NMAT PRC  SETC      |10.01.2024|          | 1,665.69 | 2,739.10 |       |       |
|  PMPLMCON |Rust on SP-1: ground anchors under drain|4000123720|ZM01|256    |TORTNK1117|TANK_ STEAM HEATED MIXING              |PM-BAC-MED|TOR0B90-MEF002-TAN0001        |CA02T0037|19.12.2023|19.12.2023|PRCO          |06012024|REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   930.00 |       |       |
|  PMMACCON |Repair Damaged Door Gasket WIR0049      |4000123813|ZM01|258    |TORWIR0049|REFRIGERATOR_ WALK_IN                  |PM-BAC-MED|TOR0B90-MEF002-COR0001        |CA02T0037|04.01.2024|04.01.2024|PRCO RFEX     |06012024|REL  CNF  JBFI MANC NMAT PRC  SETC      |          |          |     0.00 |   850.00 |       |       |
|  PMREFRI  |USP CHI1065 Replace motor & pump        |4000123828|ZM01|VARIOUS|TORCHI1065|CHILLER_ RECIRCULATING                 |PM-BAC-COP|TOR0B89-DSP003-CHI0002        |CA02T0043|10.01.2024|10.01.2024|PRCO RFEX     |27012024|REL  ESTC PRC  SETC                     |          |          |     0.00 | 1,640.85 |       |       |
|  PMCARCON |B61 Kitchenette Mould Assessment        |4000123855|ZM01|       |          |                                       |          |TOR0B61-BUI001                |CA02T0090|09.01.2024|09.01.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 1,390.00 |       |       |
|  PMCARCON |B83 Cafeteria Mould Assessment          |4000123868|ZM01|       |          |                                       |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|09.01.2024|09.01.2024|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 | 1,690.00 |       |       |
|  PMELECT  |replace burnt out light                 |4000123869|ZM01|243    |TORWIR0056|REFRIGERATOR_ WALK_IN                  |PM-BAC-DIP|TOR0B90-USP007-COR0001        |CA02T0040|10.01.2024|10.01.2024|PRCO RFEX     |COMMENT |REL  CNF  ESTC GMPS JBFI MANC MOBI PRC *|11.01.2024|12.01.2024| 1,902.52 |   837.40 |       |       |
|  PMCARCON |Road Plate rental Salk Street           |4000123969|ZM01|       |          |                                       |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|11.01.2024|11.01.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 3,438.50 |       |       |
|  PMPLMCON |Insulation required                     |4000123994|ZM01|       |TORSTI1021|Equipment - WFI                        |B90       |TOR0B90-WFS003-WFP0001        |CA02T0086|11.01.2024|11.01.2024|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |          |     0.00 |   940.00 |       |       |
|  PMMACCON |Bottle Rental Renewal                   |4000124225|ZM01|       |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|12.01.2024|12.01.2024|PRCO          |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 3,188.64 |       |       |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
