09.11.2023                                                                                                                         Dynamic List Display                                                                                                                                                                                  1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room    |Equipment |Description of technical object         |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|UserStatus    |Revision|System status                           |Act. start|Actual end|TotCostAct|PlanTotCos|MntPlan|MntItem|
|  PMMACCON |2Y DEC TORFIL0008                       |4000097868|ZM03|125     |TORFIL0008|FILTRATION SYSTEM                       |PM-BAC-COP|TOR0B89-FIT002                |CA02T0043|01.12.2023|30.12.2023|PRCO          |        |REL  CSER MANC NMAT PRC  SETC           |          |          |     0.00 | 7,700.00 |7861   |24924  |
|  PMMACCON |PM-MACON, HST1096                       |4000097958|ZM03|236/247 |TORHST1096|HOIST_ MOBILE                           |PM-BAC-DIP|TOR0B90-USP009-HOI0004        |CA02T0040|01.12.2023|30.12.2023|PRCO RFEX     |11112023|REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 1,104.00 |2780   |12324  |
|  PMPLMCON |B60- Sump pit Overflow                  |4000100061|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|06.09.2023|07.09.2023|PRCO ERAP RFEX|12082023|TECO CNF  GMPS MANC NMAT PRC  SETC      |17.08.2023|06.11.2023|   232.93 | 1,321.00 |       |       |
|  PMMACCON |CA delivery system inspection           |4000101137|ZM01|        |TORFER0001|FERMENTER                               |B90       |TOR0B90-BIO001-FER0001        |CA02T0039|22.08.2023|22.08.2023|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          | 4,000.00 | 4,950.00 |       |       |
|  PMPLMCON |PM-PLCON, WAS1019                       |4000103349|ZM03|128     |TORWAS1019|WASHER, VIAL                            |PM-BRD-CSU|TOR0B93-EQP002-WAM0001        |CA02P0009|01.01.2024|30.01.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |20,722.00 |2774   |12153  |
|  PMHVAC   |B83 Kitchen replace rusty air vent      |4000104427|ZM02|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|06.09.2023|08.09.2023|PRCO RFEX     |18112023|REL  GMPS MANC MOBI PRC  SETC           |          |          |   253.91 | 1,341.62 |       |       |
|  PMCARCON |B93 L2 Rm 241 Caulking repair on ceiling|4000105608|ZM01|        |          |                                        |          |TOR0B93                       |CA02P0009|07.09.2023|07.09.2023|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   333.50 |       |       |
|  PMMACHI  |MR101 PMP1155 water leaking             |4000105626|ZM01|101     |TORCHA1005|CHILLED WATER SYSTEM                    |PM-EMS-MNT|TOR0B54-CWS002                |CA02T0088|03.11.2023|03.11.2023|PRCO RFEX     |11112023|REL  PCNF JIPR MANC MOBI PRC  SETC      |20.09.2023|          |   875.60 | 3,193.01 |       |       |
|  PMMACCON |Repair to door for Rm249 in B60         |4000106479|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|09.08.2023|09.08.2023|PRCO RFEX     |23092023|REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   937.25 |       |       |
|  PMREFRI  |B71 – Bio freezer (BIF 1500)            |4000107572|ZM02|221     |TORBIF1500|ULTRA LOW UPRIGHT FREEZER               |PM-QUA-SDB|TOR0B71-MNT001-BFR0009        |CA02T0109|28.09.2023|30.11.2023|PRCO RFEX     |        |REL  MANC MOBI NMAT PRC  SETC           |          |          |     0.00 |   526.89 |       |       |
|  PMELECT  |B92 MR1400 Install local disconnector   |4000107758|ZM01|1400    |TORPMP1433|PUMP                                    |PM-EMS-MNT|TOR0B92-CWS001-PUM0011        |CA02T0090|27.09.2023|28.09.2023|PRCO RFEX     |25112023|REL  ESTC GMPS MANC PRC  SETC           |          |          |   332.16 | 3,458.42 |       |       |
|  PMMACCON |200L and 2000L Mechanical Gearbox       |4000107861|ZM01|        |          |                                        |          |TOR0B89                       |CA02T0043|29.09.2023|29.09.2023|PRCO RFEX     |REPORT  |REL  ESTC MANC PRC  SETC                |          |          |     0.00 | 3,672.28 |       |       |
|  PMMACHI  |B89- TNK1436 NO VORTEX AND MAKING NOISE |4000108324|ZM02|        |TORTNK1436|TANK, 400L (Without Thermowell)         |B89       |TOR0B89-DSP014-TAN0019        |CA02T0043|03.10.2023|27.10.2023|ERAP PRCO RFEX|04112023|TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |03.10.2023|30.10.2023| 5,577.35 | 8,285.35 |       |       |
|  PMELECT  |B90Dip-Refurbish PMP1664                |4000109096|ZM01|MOBILE  |TORPMP1664|PUMP_ PERISTALTIC                       |PM-BAC-DIP|TOR0B90-USP009-PUM0009        |CA02T0040|06.10.2023|06.10.2023|PRCO RFEX     |07102023|REL  PCNF MANC MOBI NMAT PRC  SETC      |10.10.2023|          | 1,644.10 | 1,973.52 |       |       |
|  PMHVAC   |B92 W&S Install deflectors for diffusers|4000110162|ZM01|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|28.09.2023|28.09.2023|PRCO RFEX     |18112023|REL  MOBI PRC  SETC                     |          |          |     0.00 | 1,069.45 |       |       |
|  PMMACCON |USP Rectangular Ring on sightglass      |4000110346|ZM01|        |TORCEN0081|CENTRIFUGE                              |B89       |TOR0B89-DSP003-CEN0001        |CA02T0043|03.11.2023|03.11.2023|PRCO RFEX     |04112023|REL  ESTC MANC PRC  SETC                |          |          |     0.00 | 2,007.01 |       |       |
|  PMPLUMB  |Leak in room 128                        |4000110387|ZM02|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|16.10.2023|          |ERAP PRCO RFEX|        |REL  PCNF GMPS JIPR MANC MOBI NTUP PRC *|16.10.2023|          | 4,987.02 | 2,736.66 |       |       |
|  PMELECT  |Assess UPS needs for HPLC               |4000110716|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|25.10.2023|25.10.2023|PRCO RFEX     |PARTS   |REL  PCNF JIPR MANC MOBI PRC  SETC      |23.10.2023|          |   320.31 | 4,332.09 |       |       |
|  PMREFRI  |B83 R355A WIR0151 Compressor valve repl |4000110902|ZM01|355A    |TORWIR0151|WALK_IN REFRIGERATOR                    |PM-FIP-FIL|TOR0B83-FIL008-COR0005        |CA02T0035|31.10.2023|03.11.2023|PRCO RFEX     |18112023|REL  PCNF CSER MANC MOBI PRC  SETC      |31.10.2023|          |   768.76 | 6,901.26 |       |       |
|  PMELECON |B53/71 -  replace 2 12v 55ah batteries  |4000111043|ZM01|218     |          |                                        |PM-EMS-MNT|TOR0B71-MNT001                |CA02T0109|18.10.2023|18.10.2023|PRCO RFEX     |28102023|REL  MANC PRC  SETC                     |          |          |     0.00 |   582.14 |       |       |
|  PMELECON |B04 - replace 2 12 45ah batteries       |4000111044|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B04-BUI001                |CA02T0101|18.10.2023|18.10.2023|PRCO RFEX     |28102023|REL  MANC PRC  SETC                     |          |          |     0.00 |   606.54 |       |       |
|  PMELECON |B93 - replace 2 12 45ah batteries       |4000111045|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B93-BUI001                |CA02T0091|18.10.2023|18.10.2023|PRCO RFEX     |28102023|REL  MANC PRC  SETC                     |          |          |     0.00 |   606.54 |       |       |
|  PMELECON |B95-replace 12v 55ah & 12v7ah batteries |4000111046|ZM01|VARIOUS |          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|18.10.2023|18.10.2023|PRCO RFEX     |28102023|REL  MANC PRC  SETC                     |          |          |     0.00 |   582.14 |       |       |
|  PMCARCON |Repair Mezzanine floor hole             |4000111577|ZM01|        |          |                                        |          |TOR0B61                       |CA02T0091|26.10.2023|26.10.2023|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   463.68 |       |       |
|  PMELECT  |I00 Troubleshoot Chilled Water Sys CV040|4000111580|ZM01|        |          |                                        |PM-BUD000 |TORB100-CWS001                |CA02T0111|26.10.2023|26.10.2023|PRCO RFEX     |        |REL  MOBI PRC  SETC                     |          |          |     0.00 | 3,095.92 |       |       |
|  PMELECON |B54/58/89 replace 2 12 45ah batteries   |4000111600|ZM01|        |          |                                        |          |TOR0B89                       |CA02T0043|18.10.2023|18.10.2023|PRCO RFEX     |28102023|REL  ESTC PRC  SETC                     |          |          |     0.00 |   606.54 |       |       |
|  PMSTMCON |Plastic surrounds for pipes coming off  |4000111605|ZM01|        |          |                                        |          |TOR0B89                       |CA02T0043|24.10.2023|24.10.2023|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 |   770.00 |       |       |
|  PMELECT  |B94 - Investigate UPSs failure          |4000111832|ZM01|        |          |                                        |PM-ANR-ANT|TOR0B94-BUI001                |CA02T0028|27.10.2023|28.10.2023|PRCO RFEX     |28102023|REL  PCNF MANC MOBI PRC  SETC           |01.11.2023|          |   704.68 | 8,800.38 |       |       |
|  PMELECT  |B91 - FMS network UPS failure           |4000111833|ZM01|        |          |                                        |PM-MAM-MDC|TOR0B91-BUI001                |CA02T0021|27.10.2023|28.10.2023|PRCO RFEX     |28102023|REL  PCNF MANC MOBI PRC  SETC           |01.11.2023|          |   704.68 | 4,993.08 |       |       |
|  PMELECT  |No flow reading from distillate flow    |4000111947|ZM01|M301    |300001595 |FLOW SENSOR_DISTILLATE TO COOLER        |PM-BLK-WFI|TOR0B90-WFS003-WFP0001-FE00001|CA02T0086|03.11.2023|03.11.2023|PRCO RFEX     |PARTS   |REL  PCNF JIPR MANC MOBI PRC  SETC      |01.11.2023|          | 1,580.04 |19,881.11 |       |       |
|  PMCARCON |Painting and Touch ups in MWS           |4000111948|ZM01|        |          |                                        |          |TOR0B89                       |CA02T0043|06.10.2023|06.10.2023|PRCO          |DECSD23 |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 | 1,173.00 |       |       |
|  PMCARCON |MWS Painting and Touch ups              |4000111949|ZM01|        |          |                                        |PM-BAC-COP|TOR0B89-BUI001                |CA02T0043|28.10.2023|28.10.2023|PRCO          |DECSD23 |REL  ESTC NMAT PRC  SETC                |          |          |     0.00 | 1,483.50 |       |       |
|  PMCARCON |Repair damaged wall: woman's Washroom   |4000112153|ZM01|        |          |                                        |          |TOR0B89                       |CA02T0043|31.10.2023|31.10.2023|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 |   195.00 |       |       |
|  PMELECT  |Thermocouple Request                    |4000112154|ZM01|VARIOUS |          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|16.10.2023|16.10.2023|PRCO RFEX     |11112023|REL  MANC PRC  SETC                     |          |          |     0.00 |   332.85 |       |       |
|  PMELECT  |Vibration switch replacement            |4000112158|ZM01|101     |TORCOT1020|TOWER_COOLING                           |PM-EMS-MNT|TOR0B54-CWS002-COT0002        |CA02T0090|25.10.2023|26.10.2023|PRCO RFEX     |11112023|REL  ESTC MANC MOBI PRC  SETC           |          |          |     0.00 | 8,137.04 |       |       |
|  PMSTMCON |I00 Troubleshoot Steam Gen Issues HVAC  |4000112177|ZM01|        |100000663 |Steam to Steam Generator                |PM-EMS-MNT|TORB100-BSS001-CDC0026-DIR0001|CA02T0111|02.11.2023|08.11.2023|PRCO RFEX     |        |REL  PCNF GMPS MANC MOBI PRC  SETC      |06.11.2023|          |   322.02 |10,952.10 |       |       |
|  PMCARCON |Parking Area - Behind Security Building |4000112298|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|01.11.2023|01.11.2023|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 4,680.00 |       |       |
|  PMMACHI  |Adsorption OQ SA Walkthrough            |4000112480|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|27.10.2023|28.10.2023|PRCO RFEX     |18112023|REL  MANC MOBI PRC  SETC                |          |          |     0.00 | 2,749.10 |       |       |
|  PMPLUMB  |Change Utility Valve                    |4000113403|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|02.11.2023|02.11.2023|PRCO RFEX     |PARTS   |REL  GMPS MOBI PRC  SETC                |          |          |   354.74 | 1,174.75 |       |       |
|  PMREFRI  |B61 - Shop Heater Thermostats           |4000113675|ZM02|        |          |                                        |          |TOR0B61                       |CA02T0091|02.11.2023|          |PRCO RFEX     |        |REL  MANC MOBI PRC  SETC                |          |          |     0.00 |   403.53 |       |       |
|  PMELECT  |B95 - EXF1401 blown motor               |4000113832|ZM01|407     |TOREXF1401|Exhaust Fan RM 331B                     |PM-EMS-MNT|TOR0B95-HVA006-AHU0001-EXF0008|CA02P0036|02.11.2023|02.11.2023|PRCO RFEX     |        |REL  MANC PRC  SETC                     |          |          |     0.00 | 1,354.09 |       |       |
|  PMMACCON |Passivation of TNK1365                  |4000114101|ZM01|154     |TORTNK1365|TANK_HWFI HOLDING_1400L                 |PM-BAC-COP|TOR0B89-DSP023-TAN0001        |CA02T0047|03.11.2023|03.11.2023|PRCO          |DECSD23 |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 |11,150.00 |       |       |
|  PMCARCON |B04-Wooden Wall protector panel fell off|4000114163|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B04-BUI001                |CA02T0101|23.10.2023|23.10.2023|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   517.00 |       |       |
|  PMMETEXT |REPAIR MET ONE MODEL 3425 APC 1366      |4000114164|ZM01|VARIOUS |300000410 |AIR PARTICLE COUNTER                    |PM-BAC-TET|TOR0B90-USP008-PAQ0001-AQM0017|CA02T0040|06.11.2023|06.11.2023|PRCO RFEX     |REPORT  |REL  CSER MANC NMAT PRC  SETC           |          |          |     0.00 |   620.00 |       |       |
|  PMMETEXT |REPAIR MET ONE MODEL 3425 APC 1307      |4000114165|ZM01|222     |300000353 |AIR PARTICLE COUNTER                    |PM-BRD-CBM|TOR0B93-LAB017-PAQ0002-AQM0008|CA02P0009|06.11.2023|06.11.2023|PRCO RFEX     |        |REL  CSER MANC NMAT PRC  SETC           |          |          |     0.00 |   300.00 |       |       |
|  PMCARCON |Door Sweeps in Mech RM 291/292          |4000114310|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|01.11.2023|01.11.2023|PRCO          |QUOTE   |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   373.75 |       |       |
|  PMCARCON |Parking Line Additions                  |4000114312|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|02.11.2023|02.11.2023|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 1,161.50 |       |       |
|  PMCARCON |Caulking needed along the walls         |4000114327|ZM01|335     |TORWIR0063|WALK_IN REFRIGERATOR                    |PM-FIP-FIL|TOR0B83-FIL008-COR0003        |CA02T0035|03.11.2023|03.11.2023|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |          |     0.00 |   552.00 |       |       |
|  PMELECT  |Replace motor follow up ZM02 4000114044 |4000114422|ZM01|236     |TORINC0027|UNIT_ INCUBATOR                         |PM-BAC-DIP|TOR0B90-USP003-INC0001        |CA02T0040|07.11.2023|07.11.2023|PRCO RFEX     |PARTS   |REL  MANC PRC  SETC                     |          |          |     0.00 |   517.63 |       |       |
|  PMGSSECU |Install Lock on Door Room 121A          |4000114485|ZM01|        |          |                                        |          |TOR0B90                       |CA02T0167|02.11.2023|03.11.2023|PRCO          |04112023|REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   886.52 |       |       |
|  PMCARCON |B90 Tetanus - Facility Deficiencies     |4000114762|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|06.11.2023|06.11.2023|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 4,867.69 |       |       |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
