19.04.2024                                                                                                                         Dynamic List Display                                                                                                                                                                                  1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room    |Equipment |Description of technical object         |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end|ActTotCost|PlanTotCos|MntPlan|MntItem|
|  PMELECT  |Replace BatteryModule on Alpo UPS system|4000129345|ZM01|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|27.04.2024|27.04.2024|PRCO RFEX     |Z270424 |REL  PCNF ESTC MANC MOBI PRC  SETC      |22.02.2024|          |     0.00 |12,740.00 |       |       |
|  PMCARCON |Room 115 - Crack in the wall            |4000129824|ZM01|        |          |                                        |PM-MAM-MDC|TOR0B91-BUI001                |CA02T0021|07.09.2023|07.09.2023|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          | 7,702.13 |20,545.25 |       |       |
|  PMHVAC   |Replace pressure switch controller      |4000132501|ZM02|247     |TORSAS1007|AIR HANDLING UNIT_ STERILE              |PM-FIP-FIL|TOR0B83-HVA005-AHU0004        |CA02T0035|20.04.2024|26.04.2024|PRCO RFEX     |Z200424 |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |24.02.2024|          |   408.98 |   963.52 |       |       |
|  PMELECT  |Change Light bulb in DFB-room 1321      |4000135033|ZM01|1321    |          |                                        |          |TOR0B92                       |CA02T0048|12.03.2024|20.04.2024|PRCO RFEX     |Z200424 |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC*|12.03.2024|          |    18.91 |   135.32 |       |       |
|  PMCARCON |B83 Managment Area Glass Door           |4000135997|ZM02|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|12.03.2024|          |PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   710.00 |       |       |
|  PMCARCON |B83 WIR290N Wall Cavity Leak            |4000136591|ZM01|290N    |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|11.03.2024|11.03.2024|PRCO          |16032024|REL  GMPS MANC NMAT PRC  SETC           |          |          | 1,415.00 | 7,717.00 |       |       |
|  PMELECT  |B94 - GEN1018 strobe light not working  |4000136687|ZM01|        |TORGEN1018|GENERATOR_ EMERGENCY POWER _SERVES B94  |PM-ANR-ANR|TOR0B96-LAB004-GEN0001        |CA02T0028|12.04.2024|27.04.2024|PRCO RFEX     |Z270424 |REL  PCNF ESTC MANC MOBI PRC  SETC      |12.04.2024|          |     0.00 |   546.03 |       |       |
|  PMCARCON |B61- Floor crack in Shop floor entrance |4000137099|ZM01|SHOP FLR|          |                                        |          |TOR0B61-BUI001                |CA02T0090|23.03.2024|23.03.2024|PRCO RFEX     |Z230324 |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 2,371.85 |       |       |
|  PMHVAC   |PM-HVAC, SAS1007                        |4000137359|ZM03|247     |TORSAS1007|AIR HANDLING UNIT_ STERILE              |PM-FIP-FIL|TOR0B83-HVA005-AHU0004        |CA02T0035|01.04.2024|30.04.2024|PRCO          |        |REL  CNF  CSER GMPS JBFI MANC MOBI MSPT*|15.04.2024|17.04.2024|   244.02 | 2,145.00 |74309  |13468  |
|  PMPLUMB  |USP CEN0081 Check valve replacement     |4000137477|ZM01|        |TORCEN0081|CENTRIFUGE                              |B89       |TOR0B89-DSP003-CEN0001        |CA02T0043|20.04.2024|20.04.2024|PRCO RFEX     |Z200424 |REL  ESTC MANC PRC  SETC                |          |          |     0.00 |   277.57 |       |       |
|  PMREFRI  |Repair CHI1081 B60, Annex Rm110         |4000137489|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|25.03.2024|04.05.2024|PRCO RFEX     |Z040524 |REL  PCNF MANC MOBI PRC  SETC           |25.03.2024|          |     0.00 | 1,480.68 |       |       |
|  PMSTEAM  |Autoclave not draining                  |4000137501|ZM01|103     |TORAUT1179|AUTOCLAVE, DECONTAMINATION              |PM-MTECH  |TOR0B78-LAB001-AUT0001        |CA02T0164|28.03.2024|29.03.2024|PRCO RFEX     |23032024|REL  PCNF JIPR MANC MOBI PRC  SETC      |25.03.2024|          |     0.00 | 6,570.24 |       |       |
|  PMPFO    |Inspect agitator noise Cell Tank 1      |4000137642|ZM01|2320    |TORTNK2103|CELL TANK 1                             |PM-EMS-MNT|TORB100-CES001-TAN0001        |CA02T0111|02.04.2024|11.04.2024|PRCO RFEX     |PARTS   |REL  PCNF MANC MOBI PRC  SETC           |27.03.2024|          |     0.00 |22,515.68 |       |       |
|  PMMACHI  |Hose to be investigated.                |4000137890|ZM01|2414    |TORTNK2108|DIPHTHERIA HARVEST TANK                 |PM-DTP100 |TORB100-DSP012-TAN0001        |CA02T0111|21.03.2024|21.03.2024|PRCO RFEX     |PARTS   |REL  CNF  JBFI MOBI PRC  SETC           |16.04.2024|16.04.2024|     0.00 |   930.00 |       |       |
|  PMPLUMB  |Leak coming from filter housing EDS     |4000138818|ZM01|CONTAINE|TORSYS1161|SYSTEM, WATER TREATMENT                 |PM-MTECH  |TOR0B78-SWS001                |CA02T0104|18.05.2024|18.05.2024|PRCO RFEX     |Z180524 |REL  MANC MOBI PRC  SETC                |          |          |     0.00 |   434.09 |       |       |
|  PMMACCON |B92 R3200 not closing properly.         |4000139378|ZM01|3200    |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|20.10.2023|20.10.2023|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 1,250.62 |       |       |
|  PMELECT  |B91 Squeaking Fan at Receiving          |4000139677|ZM01|        |          |                                        |PM-MAM-MDC|TOR0B91-BUI001                |CA02T0021|09.04.2024|10.04.2024|PRCO RFEX     |Z150624 |REL  PCNF MANC MOBI PRC  SETC           |09.04.2024|          |     0.00 |   550.68 |       |       |
|  PMELECT  |Pipette battery change                  |4000140237|ZM01|        |          |                                        |          |TOR0B92                       |CA02T0048|27.04.2024|27.04.2024|PRCO ERAP RFEX|Z270424 |REL  PCNF JIPR MANC MOBI PRC  SETC      |10.04.2024|          |     0.00 |    70.14 |       |       |
|  PMPLUMB  |B94 - no water in various areas         |4000140238|ZM02|        |          |                                        |          |TOR0B94                       |CA02T0028|03.04.2024|          |PRCO RFEX     |        |REL  PCNF MANC MOBI PRC  SETC           |03.04.2024|          |     0.00 | 2,616.53 |       |       |
|  PMMACCON |B89 FER0051 Rouging of head plate       |4000140409|ZM01|        |TORFER0051|FERMENTER                               |B89       |TOR0B89-BIO002-FER0009        |CA02T0043|13.04.2024|13.04.2024|PRCO ERAP RFEX|COMMENT |TECO CNF  ESTC JBFI MANC MOBI PRC  SETC |03.04.2024|09.04.2024|     0.00 | 3,733.32 |       |       |
|  PMCARCON |Paint Patch Rm# 348                     |4000140475|ZM01|348     |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|04.04.2024|04.04.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 9,372.50 |       |       |
|  PMREFRI  |Investigate/troubleshoot WII1129 issue  |4000140881|ZM01|        |TORWII1129|Walk In Incubator for Tet & Dip, Labwork|B90       |TOR0B90-DSP012-WII0001        |CA02T0039|05.04.2024|05.04.2024|PRCO RFEX     |COMMENT |REL  PCNF ESTC GMPS MANC MOBI PRC  SETC |08.04.2024|          | 2,270.65 |12,268.46 |       |       |
|  PMMACCON |B83 IT area Glass Door                  |4000140995|ZM01|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|12.03.2024|12.03.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 1,525.00 |       |       |
|  PMELECT  |B94 - 2nd floor men W/C faucet issue    |4000141008|ZM01|        |          |                                        |PM-ANR-ANT|TOR0B94-BUI001                |CA02T0028|11.05.2024|11.05.2024|PRCO RFEX     |Z110524 |REL  MANC PRC  SETC                     |          |          |     0.00 |   146.48 |       |       |
|  PMELECT  |B60 Therm scan Comb. disconnect/Starter |4000141018|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|27.07.2024|27.07.2024|PRCO RFEX     |Z270724 |REL  MANC PRC  SETC                     |          |          |     0.00 | 2,435.18 |       |       |
|  PMPLUMB  |B60 - Annex M/R102A BFP1086 leaking     |4000141064|ZM01|102     |TORBFP1086|BACKFLOW PREVENTOR                      |PM-DEV-BDL|TOR0B60-HWS001-XXX0001-NRV0005|CA02T0090|20.04.2024|20.04.2024|PRCO RFEX     |Z200424 |REL  MANC PRC  SETC                     |          |          |     0.00 | 1,597.06 |       |       |
|  PMELECON |Minor leak in engine                    |4000141100|ZM01|        |TORGEN1024|GENERATOR _SERVES B54_B61_B89_B89E_B90  |PM-BAC-COP|TOR0B54-USP004-GEN0001        |CA02T0045|27.03.2024|27.03.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 2,411.00 |       |       |
|  PMCARCON |Tr16-South Entrance Steps               |4000141223|ZM01|        |          |                                        |          |TOR0T16                       |         |09.04.2024|09.04.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   943.00 |       |       |
|  PMCARCON |B93 Pitch pocket & loose roofing mem    |4000141228|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B93-BUI001                |CA02T0091|09.04.2024|09.04.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 1,295.00 |       |       |
|  PMCARCON |Tr 95 North Entrance Door Threshold     |4000141307|ZM01|TR95    |          |                                        |          |TOR0B95                       |CA02T0155|09.04.2024|09.04.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   563.50 |       |       |
|  PMCARCON |B95 Exterior Traffic Mirror             |4000141308|ZM01|VARIOUS |          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|09.04.2024|09.04.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   552.00 |       |       |
|  PMELECT  |Thermal Scan: Blank missing in LP2 ele  |4000141382|ZM01|        |          |                                        |          |TOR0B54                       |CA02T0091|03.04.2024|03.04.2024|PRCO RFEX     |E&S     |REL  ESTC PRC  SETC                     |          |          |     0.00 |    99.88 |       |       |
|  PMELECT  |Thermal Scan: Replace faulty transformer|4000141383|ZM01|        |          |                                        |          |TOR0B54                       |CA02T0091|03.04.2024|03.04.2024|PRCO RFEX     |E&S     |REL  ESTC PRC  SETC                     |          |          |     0.00 |    85.25 |       |       |
|  PMPLUMB  |B92 Relocation of Backflow Preventers   |4000141384|ZM01|1400    |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|27.04.2024|29.04.2024|PRCO RFEX     |Z270424 |REL  MANC PRC  SETC                     |          |          |     0.00 | 1,295.00 |       |       |
|  PMCARCON |B83 Washroom Counter Repairs            |4000141496|ZM01|CAF     |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|10.04.2024|10.04.2024|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |          |     0.00 | 2,737.00 |       |       |
|  PMCARCON |B90 Tet Live Women's Washroom Repairs   |4000141512|ZM01|RM 329  |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|10.04.2024|10.04.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 4,121.50 |       |       |
|  PMELECT  |B4 - Replace light switches and bulbs   |4000141589|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B04-BUI001                |CA02T0101|11.05.2024|12.05.2024|PRCO RFEX     |Z110524 |REL  MANC PRC  SETC                     |          |          |     0.00 |   284.16 |       |       |
|  PMELECT  |B92 R1330 SCA1782 display broken        |4000141590|ZM01|MOBILE  |TORSCA1782|BALANCE_ CLASS III                      |PM-VIR-MED|TOR0B92-MEF008-XXX0001-WI00008|CA02T0049|27.04.2024|27.04.2024|PRCO RFEX     |Z270424 |REL  MANC PRC  SETC                     |          |          |     0.00 |   335.16 |       |       |
|  PMPLUMB  |Replace leaking pressure switch         |4000141672|ZM01|1405    |300008312 |TRANSDUCER_PRESSURE PRESSURE SWITCH     |PM-BLK-WFI|TOR0B92-PWS008-PWP0006-PT00001|CA02T0086|22.06.2024|22.06.2024|PRCO RFEX     |Z220624 |REL  PRC  SETC                          |          |          |     0.00 | 1,127.56 |       |       |
|  PMELECT  |I00- Level switch issue with Humidifier |4000141832|ZM01|        |          |                                        |PM-EMS-MNT|TORB100-CCS001-AHU0001        |CA02T0111|12.06.2024|13.06.2024|PRCO RFEX     |PARTS   |REL  CNF  JBFI MANC MOBI PRC  SETC      |17.04.2024|18.04.2024|     0.00 | 2,470.15 |       |       |
|  PMPLMCON |I00 B100 Plumber Support                |4000141843|ZM01|        |          |                                        |          |TORB100                       |CA02T0111|13.04.2024|13.04.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |14,280.00 |       |       |
|  PMCARCON |Repair damaged pedestrian sign on Sabin |4000141847|ZM01|        |          |                                        |          |TOR0B00                       |CA02T0091|12.04.2024|12.04.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 1,069.50 |       |       |
|  PMMACCON |Additional cost for PO 3000018999       |4000141956|ZM01|        |TORCEN0081|CENTRIFUGE                              |B89       |TOR0B89-DSP003-CEN0001        |CA02T0043|09.04.2024|09.04.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   225.42 |       |       |
|  PMMACCON |I00 Troubleshoot Chilled Water Pump 1   |4000142001|ZM01|N/AP    |TORPMP2535|CHILLED WATER SYUPPLY PUMP 1            |PM-BUD000 |TORB100-CWS001-PUM0001        |CA02T0111|20.04.2024|20.04.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |13,500.00 |       |       |
|  PMCARCON |B95 - Repair the lab entry door         |4000142054|ZM01|VARIOUS |          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|15.04.2024|15.04.2024|PRCO RFEX     |REPORT  |REL  MANC PRC  SETC                     |          |          |     0.00 |   612.06 |       |       |
|  PMCARCON |B03 Facility Touch Ups                  |4000142101|ZM01|        |          |                                        |          |TOR0B03-BUI001                |CA02T0090|15.04.2024|15.04.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   839.50 |       |       |
|  PMCARCON |dry wall patch and paint                |4000142119|ZM01|VARIOUS |          |                                        |          |TOR0B95                       |CA02T0155|15.04.2024|15.04.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 7,659.00 |       |       |
|  PMCARCON |B83 North Elevation window clean        |4000142124|ZM01|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|15.04.2024|15.04.2024|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |          |     0.00 | 7,092.00 |       |       |
|  PMREFCON |Replace Defective Flow Sensor           |4000142128|ZM01|163     |TORCHI1048|CHILLER                                 |PM-EMS-MNT|TOR0B83-CWS003-CHI0001        |CA02T0090|16.04.2024|16.04.2024|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |          |     0.00 | 1,042.27 |       |       |
|  PMCARCON |Trip hazard between B92 and B83         |4000142191|ZM01|        |          |                                        |          |TOR0B92                       |CA02T0048|20.02.2024|20.02.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   368.00 |       |       |
|  PMCARCON |Chipped Floor in Corridor L             |4000142252|ZM01|        |          |                                        |          |TOR0B90                       |CA02T0167|12.04.2024|12.04.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 3,080.19 |       |       |
|  PMPLUMB  |B83 WFI0009 High Temperature Reading    |4000142381|ZM01|169     |TORWFI0009|SYSTEM_ WATER FOR INJECTION             |PM-FIP-WAS|TOR0B83-WFS004                |CA02T0086|27.04.2024|27.04.2024|PRCO RFEX     |Z270424 |REL  MANC PRC  SETC                     |          |          |     0.00 |   367.70 |       |       |
|  PMELECT  |QEL Sensor Replacement                  |4000142538|ZM01|        |          |                                        |          |TOR0B54                       |CA02T0091|17.04.2024|17.04.2024|PRCO          |REPORT  |REL  MANC PRC  SETC                     |          |          |     0.00 | 2,530.00 |       |       |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
