05.02.2024                                                                                                                         Dynamic List Display                                                                                                                                                                                   1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room    |Equipment |Description of technical object         |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end|ActTotCost| PlanTotCos|MntPlan|MntItem|
|  PMMETRO  |2Y, PMMETRO, 300001906                  |4000107890|ZM05|2420    |300001906 |FLOW TRANSMITTER, PERMEATE              |          |TORB100-FIT006-XXX0001-FT00002|CA02T0111|30.11.2023|31.01.2024|PRCO RFEX     |EXTENDED|REL  ILAS MANC NMAT PRC  SETC           |          |          |     0.00 |  1,892.91 |71368  |89097  |
|  PMREFRI  |B83 R128 Replace switch for DHA1006     |4000110329|ZM02|128     |TORDHA1006|DEHUMIDIFIER_SYSTEM 2                   |PM-MAM-MDC|TOR0B83-STO001-COR0002-DRY0001|CA02T0021|13.10.2023|          |PRCO RFEX     |17022024|REL  PCNF GMPS MANC MOBI PRC  SETC      |29.01.2024|          |   522.89 |    875.17 |       |       |
|  PMMACCON |B83 DOR1045 Fix weather strip           |4000114241|ZM01|INSIDE 9|TORDOR1045|DOOR_ INSIDE DOCK 9 DOCK                |PM-MAM-MDC|TOR0B83-BUI004-DOO0011        |CA02T0067|20.09.2023|20.09.2023|PRCO          |17022024|REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  6,597.00 |       |       |
|  PMMACCON |B83 DOR1035 Fix the photo eye           |4000114242|ZM01|MIDDLE  |TORDOR1035|DOOR_ MIDDLE GARAGE                     |PM-EMS-MNT|TOR0B83-BUI004-DOO0001        |CA02T0067|20.09.2023|20.09.2023|PRCO          |17022024|REL  MANC NMAT PRC  SETC                |          |          |     0.00 |    867.00 |       |       |
|  PMMACCON |B83 DOR1046 Fix the safety edge         |4000114243|ZM01|131     |TORDOR1046|DOOR_ HORIZONTAL SLIDING FREEZER        |PM-MAM-MDC|TOR0B83-BUI004-DOO0012        |CA02T0067|20.09.2023|20.09.2023|PRCO          |17022024|REL  MANC NMAT PRC  SETC                |          |          |     0.00 |    698.00 |       |       |
|  PMMACCON |B92 DOR1060 Fix sliding door            |4000114244|ZM01|3502    |TORDOR1060|DOOR_ HORIZONTAL SINGLE SLIDE POWER     |PM-QUA-ENC|TOR0B92-BUI002-DOO0001        |CA02T0030|14.07.2023|14.07.2023|PRCO RFEX     |17022024|REL  NMAT PRC  SETC                     |          |          |     0.00 |    425.00 |       |       |
|  PMMACCON |B83 DLE1015 Replace missing wheel chocks|4000114245|ZM01|ADJ 169 |TORDLE1015|DOCK LEVELLER                           |PM-EMS-MNT|TOR0B83-BUI004-DOL0001        |CA02T0067|05.04.2023|05.04.2023|PRCO          |17022024|REL  MANC NMAT PRC  SETC                |          |          |     0.00 |    722.00 |       |       |
|  PMHVAC   |B83 SAS1105 Control Valve Insulation    |4000115632|ZM01|ROOF    |TORSAS1105|AIR HANDLING UNIT_ STERILE              |PM-FIP-FIL|TOR0B83-HVA005-AHU0009        |CA02T0035|13.12.2023|13.12.2023|PRCO RFEX     |REPORT  |REL  PCNF GMPS JIPR MANC MOBI NMAT PRC *|16.11.2023|          | 5,689.31 |  6,606.76 |       |       |
|  PMCARCON |I00 Maintenance Shop Drywall            |4000117202|ZM01|        |          |                                        |          |TORB100                       |CA02T0111|08.01.2024|08.01.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 17,836.50 |       |       |
|  PMPLMCON |Outstanding Sprint B83 POs              |4000118582|ZM01|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|01.12.2023|01.12.2023|PRCO          |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          |24,980.00 | 37,466.00 |       |       |
|  PMPLMCON |B92 Outsatnding Sprint PO's             |4000118583|ZM01|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|01.12.2023|01.12.2023|PRCO          |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          |32,897.00 | 42,190.00 |       |       |
|  PMELECT  |B90 Downstream - Water Bath Not Heating |4000118948|ZM01|        |TORWAB1201|2017 B90 Production Continuity Waterbath|B90       |TOR0B90-DSP012-TCB0002        |CA02T0039|20.12.2023|20.12.2023|PRCO CNCL RFEX|COMMENT |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC |18.12.2023|25.01.2024| 3,987.39 |  3,739.82 |       |       |
|  PMCARCON |I00 Repair Leak in RM 1734 Kitting Area |4000119248|ZM01|        |          |                                        |          |TORB100                       |CA02T0111|11.12.2023|18.01.2024|PRCO RFEX     |        |REL  PCNF GMPS MANC MOBI NMAT PRC  SETC |16.01.2024|          | 6,295.25 |  8,490.65 |       |       |
|  PMELECT  |B92 R2225 Add power outlet cover        |4000119803|ZM01|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|08.12.2023|08.12.2023|PRCO RFEX     |10022024|REL  PCNF GMPS MOBI PRC  SETC           |20.01.2024|          |   542.90 |    572.87 |       |       |
|  PMPLUMB  |Rebuild backflow preventer.             |4000123111|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|27.01.2024|27.01.2024|PRCO RFEX     |20012024|REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |27.01.2024|          | 1,836.93 |  5,641.87 |       |       |
|  PMCARCON |B89 MWS & USP walkthrough touchup       |4000123157|ZM01|        |          |                                        |          |TOR0B89                       |CA02T0043|04.01.2024|05.01.2024|PRCO RFEX     |        |REL  ESTC GMPS MANC NMAT PRC  SETC      |          |          |25,949.75 | 26,634.25 |       |       |
|  PMREFRI  |B83 R131A temperature trending high     |4000123832|ZM01|131A    |TORWII1105|WALK_IN INCUBATOR                       |PM-QUA-ENC|TOR0B83-LAB002-WII0001        |CA02T0030|29.01.2024|29.01.2024|PRCO RFEX     |17022024|REL  PCNF MANC MOBI PRC  SETC           |29.01.2024|          |   384.39 |  1,659.18 |       |       |
|  PMPLUMB  |B93 - Rm 207 Water leaking from sink    |4000124028|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B93-BUI001                |CA02T0091|10.01.2024|10.01.2024|PRCO RFEX     |13012024|REL  CNF  CSER GMPS JBFI MANC MOBI PRC *|25.01.2024|01.02.2024|    97.38 |  1,059.29 |       |       |
|  PMPLMCON |water leaking through light             |4000124224|ZM02|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|12.01.2024|          |PRCO RFEX     |10022024|REL  PCNF MANC MOBI NMAT PRC  SETC      |15.01.2024|          | 1,088.85 |  3,724.00 |       |       |
|  PMELECT  |B92 R3109 UPS for TORAPP1133 Battery Low|4000124442|ZM01|3109    |TORAPP1133|KjelSampler                             |PM-QUC-CHE|TOR0B92-LAB004-ANA0001-SCP0001|CA02T0024|25.01.2024|25.01.2024|PRCO RFEX     |10022024|REL  PCNF MANC MOBI PRC  SETC           |24.01.2024|          |   555.06 | 10,062.11 |       |       |
|  PMELECT  |B90 Room 127 Lights                     |4000124512|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|12.01.2024|12.01.2024|PRCO RFEX     |10022024|REL  GMPS PRC  SETC                     |          |          |   168.17 |    988.21 |       |       |
|  PMELECT  |Brine Tank Overflow                     |4000124597|ZM01|1607    |TORTNK2054|SOFTENED WATER BRINE TANK               |PM-EMS-MNT|TORB100-SWS003-TAN0001        |CA02T0111|17.01.2024|19.01.2024|PRCO RFEX     |        |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC |17.01.2024|23.01.2024| 6,285.59 | 11,375.63 |       |       |
|  PMELECT  |B83 R325A Investigate faulty THS1702    |4000124833|ZM01|325A    |TORTHS1702|HUMIDITY_TEMPERATURE SENSOR             |PM-FIP-FIL|TOR0B83-FIL014-PTH0001-TME0027|CA02T0035|26.01.2024|26.01.2024|PRCO RFEX     |17022024|REL  PCNF JIPR MANC MOBI PRC  SETC      |26.01.2024|          |   896.65 |  1,875.94 |       |       |
|  PMMACCON |Door from 174 to 170 alignment          |4000124925|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|18.01.2024|18.01.2024|PRCO          |QUOTE   |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,289.33 |       |       |
|  PMELECT  |B83 FF&P Test All UPS equipment         |4000124992|ZM01|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|01.02.2024|02.02.2024|PRCO RFEX     |20012024|REL  PCNF MANC MOBI PRC  SETC           |31.01.2024|          | 1,857.63 |    905.95 |       |       |
|  PMHVAC   |B92 Replace LFH Curtains in C1 (1520)   |4000125175|ZM01|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|19.01.2024|19.01.2024|PRCO RFEX     |27042024|REL  MOBI PRC  SETC                     |          |          |     0.00 |    641.15 |       |       |
|  PMHVACON |TET live & non live air balancing       |4000125181|ZM01|PENTHOUS|TORSAS1120|AIR HANDLING UNIT_ STERILE              |PM-BAC-TET|TOR0B90-HVA006-AHU0003        |CA02T0039|19.01.2024|26.01.2024|PRCO ERAP RFEX|20012024|TECO CNF  JBFI MANC MOBI PRC  SETC      |19.01.2024|29.01.2024| 4,727.75 |  5,450.08 |       |       |
|  PMELECT  |B92 R3113 Assess: Add Two Receptacle    |4000125560|ZM01|B03     |TORPOS1166|SUPPLY, POWER UNINTERRUPTIBLE (UPS)     |PM-EMS-MNT|TOR0B04-BUI001-XXX0001-JI00007|CA02T0101|17.01.2024|19.01.2024|PRCO RFEX     |17022024|REL  MANC MOBI PRC  SETC                |          |          |     0.00 |    215.72 |       |       |
|  PMCARCON |B92 R3321 sharp edges on wall protector |4000125572|ZM01|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0029|01.05.2023|01.05.2023|PRCO RFEX     |QUOTE   |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |    166.75 |       |       |
|  PMREFRI  |B92 R3234 Replace Corroded Drain Pan    |4000125610|ZM01|3234    |TORWIR1226|WALK_IN REFRIGERATOR                    |PM-QUC-MIC|TOR0B92-LAB015-COR0004        |CA02T0029|04.01.2024|04.01.2024|PRCO RFEX     |02032024|REL  PRC  SETC                          |          |          |     0.00 |  1,309.48 |       |       |
|  PMREFRI  |B92 R3314 WIR1227 Replace Evaporator Mot|4000125611|ZM01|3314    |TORWIR1227|WALK_IN REFRIGERATOR                    |PM-QUC-MIC|TOR0B92-LAB015-COR0005        |CA02T0029|04.01.2024|04.01.2024|PRCO RFEX     |17022024|REL  PRC  SETC                          |          |          |     0.00 |  1,517.14 |       |       |
|  PMHVAC   |B61-SHOP DISPENSER TO BE FIXED          |4000125677|ZM01|        |          |                                        |          |TOR0B61-BUI001                |CA02T0090|23.01.2024|23.01.2024|PRCO RFEX     |20012024|REL  CNF  GMPS JBFI MANC MOBI PRC  SETC |02.02.2024|02.02.2024|    71.58 |    891.62 |       |       |
|  PMPLUMB  |Leak in room 304-307                    |4000125920|ZM02|        |          |                                        |          |TOR0B90                       |CA02T0167|24.01.2024|24.01.2024|PRCO RFEX     |        |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |24.01.2024|          | 5,604.64 |  2,074.07 |       |       |
|  PMPLUMB  |B83 near main entrance Troublshoot leak |4000125922|ZM01|        |          |                                        |          |TOR0B83                       |CA02T0035|31.01.2024|31.01.2024|PRCO RFEX     |27012024|REL  ESTC MANC MOBI NMAT PRC  SETC      |          |          |     0.00 |    511.75 |       |       |
|  PMELECT  |I00 LAF01 Change VFD from Auto to Manual|4000125933|ZM01|3603    |TORLFF1417|LAMINAR FLOW MOD.IN COOL DOWN RM.2211   |PM-EMS-MNT|TORB100-HVA001-AHU0017-AIF0041|CA02T0111|25.01.2024|25.01.2024|PRCO RFEX     |        |REL  PCNF JIPR MANC MOBI NMAT PRC  SETC |25.01.2024|          | 1,345.11 |  2,597.78 |       |       |
|  PMELECT  |Mold in Walk in Fridge                  |4000125972|ZM02|290P    |TORWIF1037|WALK_IN FREEZER                         |          |TOR0B83-BUI014-WIF0001        |CA02T0101|24.01.2024|          |PRCO RFEX     |        |REL  MANC MOBI NMAT PRC  SETC           |          |          |     0.00 |  1,089.52 |       |       |
|  PMPLMCON |I00 Insulate Heat Tracing on Brine Tank |4000126029|ZM01|        |          |                                        |          |TORB100                       |CA02T0111|24.01.2024|24.01.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,360.00 |       |       |
|  PMCARCON |2024 Sitewide Orkin Pest Control Program|4000126310|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|25.01.2024|25.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |159,481.35 |       |       |
|  PMCARCON |2024 Site Wide Elevator PM Program      |4000126476|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|26.01.2024|26.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 25,991.10 |       |       |
|  PMCARCON |2024 Elev. Certification Liscence Renewa|4000126477|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|26.01.2024|26.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,000.00 |       |       |
|  PMCARCON |S - B3 Exterior Door Repair 2024        |4000126478|ZM01|        |          |                                        |          |TOR0B03-BUI001                |CA02T0090|26.01.2024|26.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,288.00 |       |       |
|  PMCARCON |S - B95 Door Closer Hub Rm Exterior Door|4000126500|ZM01|VARIOUS |          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|26.01.2024|26.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  2,277.00 |       |       |
|  PMCARCON |S - B25 Exterior Door Damaged           |4000126505|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|19.01.2024|19.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  2,328.75 |       |       |
|  PMCARCON |B100 Pest Control Assessments           |4000126542|ZM01|        |          |                                        |          |TORB100                       |CA02T0111|19.01.2024|21.01.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 20,350.00 |       |       |
|  PMWFICON |Evoqua Service for 2024                 |4000126567|ZM01|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|26.01.2024|26.01.2024|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |          |     0.00 | 17,928.00 |       |       |
|  PMWFICON |Evoqua Service for 2024                 |4000126581|ZM01|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|26.01.2024|26.01.2024|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |          |     0.00 |  4,407.12 |       |       |
|  PMPLUMB  |I00 Troubleshoot Caustic Dosing Pump    |4000126781|ZM01|1608    |TORPMP2276|METERING PUMP                           |          |TORB100-PAS002-PUM0004        |CA02T0111|29.01.2024|29.01.2024|PRCO RFEX     |        |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC |29.01.2024|30.01.2024| 3,921.83 |  4,313.70 |       |       |
|  PMELECT  |Change all bulbs in interstital space   |4000126933|ZM01|        |          |                                        |PM-ANR-ANT|TOR0B81-BUI001                |CA02T0028|26.01.2024|27.01.2024|PRCO RFEX     |17022024|REL  MANC PRC  SETC                     |          |          |     0.00 |  3,664.38 |       |       |
|  PMPLMCON |Mechanical room 168 insulation          |4000126935|ZM01|        |          |                                        |          |TOR0B89                       |CA02T0043|29.01.2024|29.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  2,560.00 |       |       |
|  PMPLMCON |B89 PMP 1916 insulation required        |4000126936|ZM01|        |          |                                        |          |TOR0B89                       |CA02T0043|29.01.2024|29.01.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,150.00 |       |       |
|  PMSTMCON |S - B93 STEAM HUMIDIFIER INSULATION     |4000126972|ZM01|007     |TORSAS1097|SUPPLY_ STERILE AIR                     |PM-BRD-CSU|TOR0B93-HVA001-AHU0003        |CA02P0009|11.01.2024|11.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,560.00 |       |       |
|  PMELECT  |Install Electrical Receptacles AUT Pits |4000126974|ZM01|        |          |                                        |          |TORB100                       |CA02T0111|31.01.2024|02.02.2024|PRCO          |        |REL  PRC  SETC                          |          |          |     0.00 |  4,845.38 |       |       |
|  PMPLUMB  |Faucet base leaking in Rm 211, B94      |4000127007|ZM02|        |          |                                        |          |TOR0B94                       |CA02T0028|30.01.2024|          |PRCO RFEX     |03022024|REL  MANC MOBI PRC  SETC                |          |          |     0.00 |    595.91 |       |       |
|  PMCARCON |S - B91 Roof Sealant Repairs            |4000127082|ZM01|        |          |                                        |PM-MAM-MDC|TOR0B91-BUI001                |CA02T0021|29.01.2024|29.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |    161.00 |       |       |
|  PMCARCON |B83 Interior Door Repair Room 283       |4000127240|ZM01|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|31.01.2024|31.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  3,001.50 |       |       |
|  PMCARCON |B93 L2 Area touchups                    |4000127241|ZM01|        |          |                                        |          |TOR0B93                       |CA02P0009|31.01.2024|31.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  8,510.00 |       |       |
|  PMCARCON |B92 Roof Sealant Repairs                |4000127249|ZM01|        |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|31.01.2024|31.01.2024|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |          |     0.00 |    161.00 |       |       |
|  PMCARCON |B61 Room 145 Blind Repair 2024          |4000127419|ZM01|        |          |                                        |          |TOR0B61-BUI001                |CA02T0090|01.02.2024|01.02.2024|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |          |     0.00 |    615.25 |       |       |
|  PMMACCON |I00 Hoses for CP UP FERs                |4000127510|ZM01|2321    |TORFER1156|CP FERMENTER TRAIN 2 40L FERMENTER      |PM-EMS-MNT|TORB100-BIO002-FER0018        |CA02T0111|01.02.2024|01.02.2024|PRCO RFEX     |        |REL  PRC  SETC                          |          |          |     0.00 |  3,935.00 |       |       |
|  PMSTEAM  |B93 Replace steam regulator.            |4000127526|ZM01|008     |TORPWS1000|SYSTEM_ PURIFIED WATER                  |PM-BLK-WFI|TOR0B93-PWS002                |CA02T0086|01.02.2024|01.02.2024|PRCO RFEX     |03022024|REL  MANC PRC  SETC                     |          |          |     0.00 |  3,445.13 |       |       |
|  PMCARCON |B83 Northeast Stair Sealant Repairs 2024|4000127582|ZM01|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|01.02.2024|01.02.2024|PRCO          |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  5,244.00 |       |       |
|  PMCARCON |B83 West Elevation Stair Shaft Sealant  |4000128093|ZM01|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|01.02.2024|01.02.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  4,554.00 |       |       |
|  PMCARCON |Rear Asphalt Grindings Parking Lot Re Le|4000128147|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|02.02.2024|02.02.2024|PRCO          |        |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 |  8,750.00 |       |       |
|  PMELECON |Refill fuel in generator                |4000128182|ZM01|MECH.   |TORGEN1007|GENERATOR, DIESEL                       |PM-EMS-MNT|TOR0B89-BUI003-GEN0001        |CA02T0091|25.01.2024|25.01.2024|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |          |     0.00 |  1,252.50 |       |       |
|  PMMACCON |AUT0099 Bed Not Pulling Out             |4000128245|ZM01|        |TORAUT0099|AUTOCLAVE, GETINGE INTERNATIONAL        |B90       |TOR0B90-EQP001-AUT0001        |CA02T0036|02.02.2024|03.02.2024|PRCO          |QUOTE   |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  2,340.00 |       |       |
|  PMCARCON |Ramp to be fixed for R128               |4000128282|ZM01|        |          |                                        |PM-BAC-COP|TOR0B89-BUI001                |CA02T0043|06.12.2023|06.12.2023|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |          |     0.00 |  4,527.61 |       |       |
|  PMCARCON |B95 Mechanical Room Door Upgrades 2024  |4000128945|ZM01|VARIOUS |          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|05.02.2024|05.02.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  1,851.50 |       |       |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
