28.08.2024                                                                                                                       Dynamic List Display                                                                                                                                                                                1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Order     |Mn.wk.ctr|Description                             |Type|Room   |Equipment |Description of technical object      |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end|ActTotCost|PlanTotCos|MntPlan|MntItem|
|  4000170398|PMWFICON |ZM08 - DWS1012 startup PMWFICON         |ZM08|188    |TORDWS1012|SYSTEM_ DISTILLED WATER              |PM-BLK-WFI|TOR0B89-PWS003-PWP0001        |CA02T0086|29.07.2024|29.07.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |49,728.00 |       |       |
|  4000171105|PMELECON |B83 Repair Emerg/exit LTS 1st,2nd flr   |ZM01|N/AP   |TOREML1021|EMERGENCY LIGHTING                   |          |TOR0B83-BUI013-EML0001        |CA02T0100|03.08.2024|03.08.2024|PRCO RFEX     |Z030824 |REL  PRC  SETC                          |          |          |     0.00 | 8,022.16 |       |       |
|  4000171286|PMCARCON |B92 Form / Media General Facility Repair|ZM01|       |          |                                     |          |TOR0B92                       |CA02T0048|01.08.2024|01.08.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          |19,745.50 |21,873.00 |       |       |
|  4000171353|PMMACHI  |I00 Replace FAI1066 Motor Drive Bearings|ZM02|3603   |TORFAI1066|SUPPLY FAN                           |PM-EMS-MNT|TORB100-HVA001-AHU0022-AIR0004|CA02T0111|03.08.2024|08.08.2024|PRCO RFEX     |        |REL  MANC MOBI NMAT PRC  SETC           |          |          |     0.00 |11,883.00 |       |       |
|  4000173944|PMCARCON |CP Upstream General Area: paint touchups|ZM01|2321   |TORFER1152|cP Fermenter Train 1 40L             |PM-EMS-MNT|TORB100-BIO002-FER0004        |CA02T0111|07.08.2024|07.08.2024|PRCO RFEX     |        |REL  GMPS MANC NMAT PRC  SETC           |          |          |10,833.00 |11,839.25 |       |       |
|  4000174734|PMMACCON |I00 Cleaning Rm1608 NaOH and CIP tote   |ZM01|       |          |                                     |          |TORB100                       |CA02T0111|13.08.2024|13.08.2024|PRCO RFEX     |        |REL  GMPS MANC NMAT PRC  SETC           |          |          | 1,950.00 | 6,650.00 |       |       |
|  4000176822|PMMACCON |B90TET - Repair Insulation 304 fer0008  |ZM01|       |          |                                     |          |TOR0B90                       |CA02T0167|30.07.2024|30.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   680.00 |       |       |
|  4000176909|PMMACCON |Chilled water line insulation           |ZM01|       |          |                                     |          |TOR0B90                       |CA02T0167|24.08.2024|24.08.2024|PRCO ERAP RFEX|Z240824 |TECO CNF  JBFI MANC NMAT PRC  SETC      |24.08.2024|28.08.2024|     0.00 | 2,095.00 |       |       |
|  4000177163|PMCARCON |Site Pot hole Repairs                   |ZM01|       |          |                                     |          |TOR0B00                       |CA02T0091|22.08.2024|22.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 6,037.50 |       |       |
|  4000177251|PMREFRI  |B83 Investigate High Temp               |ZM02|128    |TORWIR0012|WALK_IN REFRIGERATOR                 |PM-VIR-FOR|TOR0B83-STO001-COR0002        |CA02T0051|22.08.2024|          |PRCO RFEX     |        |REL  GMPS MANC MOBI PRC  SETC           |          |          |   285.68 |   710.32 |       |       |
|  4000177301|PMMACCON |AUTs guide wheels and bracket replace   |ZM01|       |TORAUT0099|AUTOCLAVE, GETINGE INTERNATIONAL     |B90       |TOR0B90-EQP001-AUT0001        |CA02T0036|22.08.2024|22.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 5,500.00 |       |       |
|  4000177310|PMELECT  |FLM1713 not reading flow on the unit    |ZM01|125    |TORFLM1713|METER_FLOW__LIQUID_UF                |PM-BAC-COP|TOR0B89-FIT001-XXX0001-FE00002|CA02T0043|27.08.2024|27.08.2024|PRCO ERAP RFEX|Z240824 |TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |27.08.2024|27.08.2024| 5,496.47 | 5,626.07 |       |       |
|  4000177501|PMCARCON |B83 APA area floor cracks and wall repai|ZM01|       |          |                                     |          |TOR0B83                       |CA02T0035|22.08.2024|22.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 2,495.50 |       |       |
|  4000177555|PMPLUMB  |TNK1002 push button                     |ZM01|       |TORTNK1002|TANK, 2250 L DI HOLDING              |B53       |TOR0B89-DSP010-TAN0002        |CA02T0050|24.08.2024|24.08.2024|PRCO RFEX     |Z240824 |REL  MANC PRC  SETC                     |          |          |     0.00 |   750.10 |       |       |
|  4000177745|PMCARCON |B83 F&P SInk Drain Repair               |ZM01|       |          |                                     |          |TOR0B83                       |CA02T0035|23.08.2024|23.08.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 1,282.00 |       |       |
|  4000177746|PMCARCON |B83 Replace Door Closer by Lobby Door   |ZM01|       |          |                                     |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|23.08.2024|23.08.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 4,768.44 |       |       |
|  4000177747|PMCARCON |B83 DOR1041 - Deficiency Found          |ZM01|RM 131 |TORDOR1041|DOOR_ OVERHEAD _RM 131               |PM-MAM-MDC|TOR0B83-BUI004-DOO0007        |CA02T0067|23.08.2024|23.08.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   375.00 |       |       |
|  4000177748|PMCARCON |B83 DOR1027 - Deficiency found during WO|ZM01|ADJ 169|TORDLE1027|DOCK PLATE                           |PM-MAM-MDC|TOR0B83-BUI004-DOL0002        |CA02T0067|23.08.2024|23.08.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   562.00 |       |       |
|  4000177749|PMCARCON |B83 DOR1048 - Deficiency found during WO|ZM01|131    |TORDOR1048|DOOR_ DOCK                           |PM-MAM-MDC|TOR0B83-BUI004-DOO0014        |CA02T0067|23.08.2024|23.08.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 1,090.00 |       |       |
|  4000177750|PMCARCON |B83 DLE1015 - Deficiency found during WO|ZM01|ADJ 169|TORDLE1015|DOCK LEVELLER                        |PM-EMS-MNT|TOR0B83-BUI004-DOL0001        |CA02T0067|23.08.2024|23.08.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   441.00 |       |       |
|  4000177751|PMCARCON |B83 DOR1046 - Deficiency found during WO|ZM01|131    |TORDOR1046|DOOR_ HORIZONTAL SLIDING FREEZER     |PM-MAM-MDC|TOR0B83-BUI004-DOO0012        |CA02T0067|23.08.2024|23.08.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   955.80 |       |       |
|  4000177845|PMELECON |Fire panel trouble                      |ZM01|       |          |                                     |PM-ANR-ANT|TOR0B94-BUI001                |CA02T0028|24.08.2024|24.08.2024|PRCO RFEX     |Z240824 |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 1,160.00 |       |       |
|  4000177874|PMPLMCON |I00 Insulation & PVC Jacket install     |ZM01|       |          |                                     |          |TORB100                       |CA02T0111|15.08.2024|15.08.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 5,370.00 |       |       |
|  4000177938|PMCARCON |B83 Fire Alarm- Pull station cover.     |ZM01|       |          |                                     |          |TOR0B83                       |CA02T0035|23.08.2024|23.08.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 2,690.00 |       |       |
|  4000177985|PMCARCON |Touchups in DSP 89                      |ZM01|       |          |                                     |          |TOR0B89                       |CA02T0043|24.06.2024|24.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 1,840.00 |       |       |
|  4000178119|PMCARCON |B83 NE Brick Replacement                |ZM01|       |          |                                     |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|26.08.2024|26.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |22,965.50 |       |       |
|  4000178160|PMCARCON |B90 TET-  Floor Paint Touch-ups 304     |ZM01|       |          |                                     |          |TOR0B90                       |CA02T0167|30.07.2024|30.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 2,018.55 |       |       |
|  4000178253|PMELECON |B83 Power Supply for Food Truck         |ZM01|       |          |                                     |          |TOR0B83                       |CA02T0035|24.08.2024|24.08.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 2,800.00 |       |       |
|  4000178303|PMMACCON |Modify autoclave carriage               |ZM01|       |          |                                     |          |TOR0B90                       |CA02T0167|26.08.2024|26.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   645.00 |       |       |
|  4000178353|PMWFICON |STI1018 High Temperature, Descaling     |ZM01|1405   |TORSTI1018|STILL_ MULTI_EFFECT DISTILLATION UNIT|PM-BLK-WFI|TOR0B92-WFS004-WFP0001        |CA02T0064|28.08.2024|28.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 5,610.00 |       |       |
|  4000143826|PMMACCON |PM-MACON, DOR1009                       |ZM03|NE CORN|TORDOR1009|DOOR_ NORTHEAST OVERHEAD             |PM-ANR-ANT|TOR0B81-BUI001-DOO0001        |CA02T0028|01.09.2024|30.09.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   925.00 |2899   |12949  |
|  4000143828|PMMACCON |PM-MACON, DOR1053                       |ZM03|       |TORDOR1053|Door, Dock                           |PM-EMS-MNT|TOR0B89-BUI003-DOO0001        |CA02T0091|01.09.2024|30.09.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   540.00 |2899   |12951  |
|  4000175715|PMMETRO  |PMMETRO, 300023089 VHP                  |ZM05|131    |300023089 |SYSTEM_ VHP DECOMTAMINATION          |PM-BRD-CBM|TOR0B93-VHP005                |CA02P0009|01.02.2025|02.03.2025|PRCO RFEX     |        |REL  ILAS MANC NMAT PRC  SETC           |          |          |     0.00 |11,958.87 |83395  |125525 |
|  4000175716|PMMETRO  |PMMETRO, 300018106 VHP                  |ZM05|131    |300018106 |SYSTEM_ VHP DECOMTAMINATION          |PM-BRD-CBM|TOR0B93-VHP004                |CA02P0009|01.02.2025|02.03.2025|PRCO RFEX     |        |REL  ILAS MANC NMAT PRC  SETC           |          |          |     0.00 |11,958.87 |83396  |125526 |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
