23.01.2024                                                                                                                        Dynamic List Display                                                                                                                                                                                  1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room    |Equipment |Description of technical object        |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|UserStatus    |Revision|System status                           |Act. start|Actual end|TotCostAct|PlanTotCos|MntPlan|MntItem|
|  PMPLUMB  |PM-PLUMB, B93 LEVEL 1 FLOOR DRAIN       |4000108468|ZM03|        |          |                                       |          |TOR0B93                       |CA02P0009|01.02.2024|01.03.2024|PRCO RFEX     |        |REL  MANC NMAT PPRT PRC  SETC TTJL      |          |          |     0.00 |12,345.63 |2832   |12697  |
|  PMSTEAM  |PM-STEAM, STG1020                       |4000108486|ZM03|008     |TORSTG1020|STEAM GENERATOR_ PURE                  |PM-BRD-CBM|TOR0B93-CSS001-CSG0001        |CA02T0086|01.02.2024|01.03.2024|PRCO          |20012024|REL  PRT  CSER MANC MSPT PRC  SETC TTJL |          |          |     0.00 |31,746.03 |2910   |13030  |
|  PMPLUMB  |Check and replace propane tank          |4000109154|ZM02|        |          |                                       |          |TOR0B90                       |CA02T0167|04.10.2023|04.10.2023|ERAP PRCO RFEX|REPORT  |TECO CNF  MANC NMAT PRC  SETC           |04.10.2023|19.10.2023|   307.51 |   817.51 |       |       |
|  PMPLUMB  |Basement stairwell drain overflow       |4000109809|ZM02|        |          |                                       |          |TOR0B90                       |CA02T0167|25.08.2023|          |ERAP PRCO RFEX|REPORT  |TECO CNF  GMPS JBFI MANC MOBI NMAT PRC *|25.10.2023|25.10.2023| 1,662.50 | 7,060.51 |       |       |
|  PMELECT  |B92 R3514 battery change for the UPS    |4000110875|ZM01|3514    |TORSEQ1003|SEQUENCER_ GENETIC                     |PM-QC-LAB |TOR0B92-LAB019-XXX0001-SEQ0001|CA02T0029|03.11.2023|03.11.2023|PRCO RFEX     |03022024|REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |03.11.2023|          | 1,555.71 | 2,026.72 |       |       |
|  PMPLUMB  |replace regulator knobs on the Panel    |4000110975|ZM01|        |TORCEN0081|CENTRIFUGE                             |B89       |TOR0B89-DSP003-CEN0001        |CA02T0043|27.10.2023|27.10.2023|PRCO RFEX     |02122023|REL  ESTC GMPS MANC PRC  SETC TTJL      |          |          |   139.35 |   700.14 |       |       |
|  PMCARCON |B90Dip-QOSA Facility Defect Observations|4000111300|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|24.07.2023|24.07.2023|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          | 2,905.50 | 4,222.25 |       |       |
|  PMGSSECU |CS-SECUR, B94 ROOM214                   |4000112869|ZM03|        |          |                                       |          |TOR0B94                       |CA02T0028|01.03.2024|30.03.2024|PRCO RFEX     |        |REL  PRT  CSER MANC NMAT PRC  SETC TTJL |          |          |     0.00 |   430.00 |2776   |12183  |
|  PMCARCON |Facilities work for B90 Downstream      |4000114377|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|06.11.2023|06.11.2023|PRCO ERAP RFEX|11112023|TECO CNF  PRT  GMPS JBFI MANC NMAT PRC *|06.11.2023|23.01.2024| 6,355.10 |10,742.35 |       |       |
|  PMMACHI  |Assess DFER sight glass Triferrule      |4000115014|ZM01|2414    |TORFER1165|FERMENTOR                              |PM-DTP100 |TORB100-BIO002-FER0051        |CA02T0111|17.11.2023|17.11.2023|PRCO RFEX     |REPORT  |REL  PCNF JIPR MANC MOBI NMAT PRC  SETC |16.11.2023|          |   683.17 |   820.01 |       |       |
|  PMELECT  |ADS & PPD LED light replacement         |4000117201|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|28.11.2023|10.01.2024|PRCO RFEX     |03022024|REL  PCNF GMPS MANC MOBI PPRT PRC  SETC |24.12.2023|          |12,833.41 |16,053.23 |       |       |
|  PMCARCON |Repair work in Room 3104 and 3103       |4000117338|ZM01|        |          |                                       |          |TORB100                       |CA02T0111|29.11.2023|30.11.2023|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 3,798.40 |       |       |
|  PMCARCON |Insulate near sensing bulb in suction   |4000117739|ZM01|        |TORWII1130|LAB WORKS INCUBATOR, WALK-IN 19-02-253 |B90       |TOR0B90-USP007-WII0001        |CA02T0039|29.11.2023|29.11.2023|PRCO ERAP RFEX|REPORT  |TECO CNF  JBFI MANC NMAT PRC  SETC      |29.11.2023|11.01.2024|     0.00 |   640.00 |       |       |
|  PMCARCON |I00 Repair Leak in RM 1734 Kitting Area |4000119248|ZM01|        |          |                                       |          |TORB100                       |CA02T0111|11.12.2023|17.01.2024|PRCO RFEX     |        |REL  PCNF MANC MOBI NMAT PRC  SETC      |16.01.2024|          | 3,587.64 | 3,732.65 |       |       |
|  PMCARCON |Painting Touch ups                      |4000119409|ZM01|        |          |                                       |          |TOR0B89                       |CA02T0043|08.12.2023|08.12.2023|PRCO ERAP RFEX|        |TECO CNF  PRT  GMPS JBFI MANC NMAT PRC *|08.12.2023|23.01.2024|14,116.25 |17,406.75 |       |       |
|  PMELECT  |Install 4 Clickshare in DTPPD office B61|4000120002|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|16.01.2024|16.01.2024|PRCO RFEX     |27012024|REL  PCNF JIPR MANC MOBI PRC  SETC      |13.01.2024|          |   320.07 | 1,762.70 |       |       |
|  PMPLUMB  |Tunnel Washer unable to Descale         |4000120224|ZM01|264     |TORWAS1039|WASHER_ TUNNEL                         |PM-ANR-ANR|TOR0B96-EQP001-WAM0001        |CA02T0028|22.12.2023|23.12.2023|PRCO ERAP RFEX|23122023|TECO CNF  JBFI MANC MOBI NMAT PRC  SETC |09.12.2023|12.01.2024| 2,836.01 | 6,742.41 |       |       |
|  PMMETRO  |PMMETRO, 300020264 TOC                  |4000121070|ZM05|BSMT    |300020264 |ANALYZER, TOC                          |PM-BLK-WFI|TORB100-WFS012-XXX0001-TOC0004|CA02T0086|01.01.2024|30.01.2024|PRCO          |        |REL  ILAS MANC PRC  SETC                |          |          |     0.00 |17,066.11 |73343  |91063  |
|  PMHVAC   |I00 Walk-In RM2329 FHA Incubator Repairs|4000121130|ZM01|2329    |TORWII1137|FHA INCUBATOR                          |PM-EMS-MNT|TORB100-DSP016-WII0007        |CA02T0111|23.12.2023|23.12.2023|PRCO ERAP RFEX|        |TECO CNF  CSER GMPS JBFI MANC MOBI PRC *|23.12.2023|22.01.2024|22,715.77 | 3,663.65 |       |       |
|  PMSTEAM  |Water Leaking in Office Area B83        |4000121607|ZM02|        |          |                                       |          |TOR0B83                       |CA02T0035|28.12.2023|          |PRCO RFEX     |REPORT  |REL  CNF  JBFI MANC MOBI NMAT PRC  SETC |27.12.2023|09.01.2024| 1,025.04 |   899.51 |       |       |
|  PMPLUMB  |PWS1013 dripping water from valve       |4000121609|ZM01|        |TORPWS1013|PW Distribution Upgrades               |B90       |TOR0B90-PWS010                |CA02T0039|05.01.2024|05.01.2024|PRCO RFEX     |13012024|REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |05.01.2024|          |   565.80 | 1,728.79 |       |       |
|  PMELECT  |Replace Ballast and Lights B90 entrance |4000122660|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|02.01.2024|02.01.2024|PRCO          |30122023|REL  CNF  JBFI MANC NMAT PRC  SETC      |          |          |     0.00 | 1,785.00 |       |       |
|  PMMACCON |Flender Gearbox Refurbishment           |4000122772|ZM01|        |          |                                       |PM-BAC-COP|TOR0B89-BUI001                |CA02T0043|28.11.2023|28.11.2023|PRCO RFEX     |REPORT  |REL  PRC  SETC                          |          |          |     0.00 |11,040.90 |       |       |
|  PMCARCON |B95 Stairshaft Pest Control Repairs 2024|4000122776|ZM01|VARIOUS |          |                                       |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|02.01.2024|02.01.2024|PRCO          |REPORT  |REL  ESTC NMAT PRC  SETC                |          |          |     0.00 | 8,337.50 |       |       |
|  PMELECT  |B83 EXM1003 Repair PCB's                |4000122847|ZM01|        |TOREXM1003|MACHINE, EXAMINING L.S., LINE #2       |B83       |TOR0B83-FIL003-INM0001        |CA02T0001|03.01.2024|03.01.2024|PRCO RFEX     |27012024|REL  ESTC GMPS MOBI PRC  SETC           |          |          | 1,208.60 | 2,797.42 |       |       |
|  PMPLUMB  |B89 DS leak women's washroom            |4000122880|ZM02|        |          |                                       |          |TOR0B89                       |CA02T0043|03.01.2024|03.01.2024|PRCO RFEX     |        |REL  PRT  MANC NMAT PRC  SETC TTJL      |          |          |     0.00 | 1,859.53 |       |       |
|  PMMACHI  |Setup Spare LAF Blower & Motor Assembly |4000123108|ZM01|3603    |TORLFF1417|LAMINAR FLOW MOD.IN COOL DOWN RM.2211  |PM-EMS-MNT|TORB100-HVA001-AHU0017-AIF0041|CA02T0111|16.02.2024|16.02.2024|PRCO RFEX     |        |REL  GMPS MANC PRC  SETC                |          |          |   526.81 | 2,166.89 |       |       |
|  PMPLUMB  |Rebuild backflow preventer.             |4000123111|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|04.01.2024|04.01.2024|PRCO RFEX     |20012024|REL  MANC MOBI PRC  SETC                |          |          |     0.00 | 1,589.39 |       |       |
|  PMMACHI  |Facility Inspection - Minor chips, rust |4000123117|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|08.01.2024|08.01.2024|PRCO ERAP RFEX|REPORT  |TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |06.01.2024|08.01.2024| 1,435.03 | 2,480.28 |       |       |
|  PMCARCON |B89 MWS & USP walkthrough touchup       |4000123157|ZM01|        |          |                                       |          |TOR0B89                       |CA02T0043|04.01.2024|04.01.2024|PRCO RFEX     |06012024|REL  ESTC MANC NMAT NTUP PRC  SETC      |          |          |     0.00 |25,949.75 |       |       |
|  PMCARCON |Paint work for Downstream area          |4000123158|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|04.01.2024|04.01.2024|PRCO ERAP RFEX|06012024|TECO CNF  PRT  JBFI MANC NMAT PRC  SETC |04.01.2024|23.01.2024|     0.00 |   586.50 |       |       |
|  PMCARCON |B90 Painting, Caulking, Floor Repair    |4000123186|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|04.01.2024|04.01.2024|PRCO          |06012024|REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   586.50 |       |       |
|  PMCARCON |Mechanical rooms touch up B90           |4000123279|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|05.01.2024|05.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 4,950.75 |       |       |
|  PMREFRI  |Order Pitot Tubes                       |4000123338|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|05.01.2024|05.01.2024|PRCO RFEX     |20012024|REL  GMPS MANC MOBI PRC  SETC           |          |          |    12.70 |   320.22 |       |       |
|  PMMACCON |B83 TUS0003 Clean stained plate         |4000123469|ZM01|        |TORTUS0003|STERILIZER, LINE #4                    |B83       |TOR0B83-FIL004-STU0002        |CA02T0035|08.01.2024|08.01.2024|PRCO ERAP RFEX|REPORT  |REL  CNF  JIPR MANC NMAT PRC  SETC      |20.11.2023|08.01.2024|     0.00 |   750.00 |       |       |
|  PMMACHI  |B89 USP CEN0081 Replace sight glass     |4000123470|ZM01|        |TORCEN0081|CENTRIFUGE                             |B89       |TOR0B89-DSP003-CEN0001        |CA02T0043|08.01.2024|08.01.2024|PRCO RFEX     |09032024|REL  PRC  SETC                          |          |          |     0.00 | 1,345.61 |       |       |
|  PMELECT  |MWS Meto-Lift not Working               |4000123473|ZM01|        |100000541 |Material Lift (MetoLift)               |PM-EMS-MNT|TORB100-MEF023-HOI0001        |CA02T0111|08.01.2024|08.01.2024|PRCO RFEX     |        |REL  PCNF JIPR MANC MOBI PRC  SETC      |08.01.2024|          | 1,964.23 | 2,070.28 |       |       |
|  PMPLUMB  |Leak on PWS1013                         |4000123515|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|08.01.2024|08.01.2024|PRCO RFEX     |03022024|REL  PCNF MANC MOBI PRC  SETC           |23.01.2024|          |   298.80 | 1,247.04 |       |       |
|  PMCARCON |Facility Walkabout Adsorptions          |4000123516|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|04.01.2024|04.01.2024|PRCO ERAP RFEX|06012023|TECO CNF  PRT  JBFI MANC NMAT PRC  SETC |04.01.2024|23.01.2024|     0.00 |   540.50 |       |       |
|  PMCARCON |B71 Exterior Door Repairs 2024          |4000123525|ZM01|218     |          |                                       |PM-EMS-MNT|TOR0B71-MNT001                |CA02T0109|08.01.2024|08.01.2024|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 | 4,663.26 |       |       |
|  PMHVAC   |Replace Flow switch                     |4000123579|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|09.01.2024|09.01.2024|PRCO RFEX     |20012024|REL  GMPS MANC MOBI PRC  SETC           |          |          |   575.52 | 1,139.30 |       |       |
|  PMPLMCON |Repair Drain Pipe on JC                 |4000123606|ZM01|        |          |                                       |          |TOR0B89                       |CA02T0043|01.01.2024|01.01.2024|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 | 7,134.00 |       |       |
|  PMPLMCON |Repair Chilled water HE                 |4000123607|ZM01|        |          |                                       |          |TOR0B89                       |CA02T0043|01.01.2023|01.01.2023|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 | 7,868.00 |       |       |
|  PMPLMCON |Repair leak in CIP Pump                 |4000123608|ZM01|        |          |                                       |          |TOR0B89                       |CA02T0043|01.01.2023|01.01.2023|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 | 1,022.00 |       |       |
|  PMPLMCON |Repair BFP leak                         |4000123610|ZM01|        |          |                                       |          |TOR0B89                       |CA02T0043|01.01.2023|01.01.2023|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 | 5,005.00 |       |       |
|  PMPLMCON |Repair Fermenter                        |4000123614|ZM01|        |          |                                       |          |TOR0B89                       |CA02T0043|01.01.2023|01.01.2023|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 | 5,371.00 |       |       |
|  PMPLMCON |SAS1079 humidifier Repair               |4000123615|ZM01|        |          |                                       |          |TOR0B89                       |CA02T0043|01.01.2023|01.01.2023|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 | 7,510.00 |       |       |
|  PMMACCON |Elevator Inspection                     |4000123625|ZM01|        |          |                                       |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|09.01.2024|09.01.2024|PRCO RFEX     |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 | 4,903.20 |       |       |
|  PMMACHI  |TET live walkthrough observations       |4000123651|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|09.01.2024|10.01.2024|PRCO RFEX     |06012024|REL  CNF  PRT  JBFI MANC MOBI NMAT PRC *|10.01.2024|23.01.2024| 3,758.31 | 2,739.10 |       |       |
|  PMCARCON |Multip Mechanical room Insulation repair|4000123718|ZM01|        |          |                                       |PM-BAC-COP|TOR0B89-BUI001                |CA02T0043|09.01.2024|09.01.2024|PRCO RFEX     |REPORT  |REL  CNF  JBFI MANC NMAT NTUP PRC  SETC |09.01.2024|19.01.2024|     0.00 | 6,980.00 |       |       |
|  PMPLMCON |Rust on SP-1: ground anchors under drain|4000123720|ZM01|256     |TORTNK1117|TANK_ STEAM HEATED MIXING              |PM-BAC-MED|TOR0B90-MEF002-TAN0001        |CA02T0037|19.12.2023|19.12.2023|PRCO          |06012024|REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   930.00 |       |       |
|  PMMACCON |Repair Damaged Door Gasket WIR0049      |4000123813|ZM01|258     |TORWIR0049|REFRIGERATOR_ WALK_IN                  |PM-BAC-MED|TOR0B90-MEF002-COR0001        |CA02T0037|04.01.2024|04.01.2024|PRCO RFEX     |06012024|REL  CNF  JBFI MANC NMAT PRC  SETC      |          |          |     0.00 |   850.00 |       |       |
|  PMREFRI  |USP CHI1065 Replace motor & pump        |4000123828|ZM01|VARIOUS |TORCHI1065|CHILLER_ RECIRCULATING                 |PM-BAC-COP|TOR0B89-DSP003-CHI0002        |CA02T0043|10.01.2024|10.01.2024|PRCO RFEX     |27012024|REL  ESTC PRC  SETC                     |          |          |     0.00 | 1,700.01 |       |       |
|  PMCARCON |B61 Kitchenette Mould Assessment        |4000123855|ZM01|        |          |                                       |          |TOR0B61-BUI001                |CA02T0090|09.01.2024|09.01.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 1,390.00 |       |       |
|  PMCARCON |B83 Cafeteria Mould Assessment          |4000123868|ZM01|        |          |                                       |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|09.01.2024|09.01.2024|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 | 1,690.00 |       |       |
|  PMELECT  |replace burnt out light                 |4000123869|ZM01|243     |TORWIR0056|REFRIGERATOR_ WALK_IN                  |PM-BAC-DIP|TOR0B90-USP007-COR0001        |CA02T0040|10.01.2024|10.01.2024|PRCO ERAP RFEX|COMMENT |TECO CNF  ESTC GMPS JBFI MANC MOBI PRC *|11.01.2024|12.01.2024| 1,902.52 |   837.40 |       |       |
|  PMELECT  |B93-STORMPIT ALARM REOOCURING           |4000123886|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B93-BUI001                |CA02T0091|16.01.2024|16.01.2024|PRCO RFEX     |27012024|REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |15.01.2024|          | 2,363.54 | 2,960.95 |       |       |
|  PMMACCON |Send climets to Prosys for investigation|4000123955|ZM01|2414    |TORISO1022|SEED ISOLATOR + 2 INTEGRATED INCUBATORS|          |TORB100-BIO003-ISO0004        |CA02T0111|01.02.2024|01.02.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |     0.00 |       |       |
|  PMCARCON |Road Plate rental Salk Street           |4000123969|ZM01|        |          |                                       |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|11.01.2024|11.01.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 3,438.50 |       |       |
|  PMPLMCON |Insulation required                     |4000123994|ZM01|        |TORSTI1021|Equipment - WFI                        |B90       |TOR0B90-WFS003-WFP0001        |CA02T0086|11.01.2024|11.01.2024|PRCO RFEX     |REPORT  |REL  CNF  JBFI MANC NMAT PRC  SETC TTJL |11.01.2024|22.01.2024|     0.00 | 1,930.00 |       |       |
|  PMPLUMB  |B04-HOTWATER ISSUE TO SHOWER            |4000124019|ZM02|        |          |                                       |          |TOR0B04                       |CA0200094|11.01.2024|          |PRCO RFEX     |        |REL  CNF  JBFI MANC MOBI PRC  SETC      |11.01.2024|12.01.2024| 1,217.25 | 1,143.87 |       |       |
|  PMMACCON |Bottle Rental Renewal                   |4000124225|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|12.01.2024|12.01.2024|PRCO ERAP RFEX|COMMENT |TECO CNF  JBFI MANC NMAT PRC  SETC      |12.01.2024|23.01.2024|     0.00 | 3,188.64 |       |       |
|  PMMACHI  |Downstream audit touch up               |4000124291|ZM02|        |          |                                       |PM-BAC-COP|TOR0B89-BUI001                |CA02T0043|12.01.2024|          |PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 1,975.02 |       |       |
|  PMCARCON |Paint Request to Cylinder & Cart        |4000124373|ZM01|143     |TORQAM1358|CALIBRATION GAS_ NITROGEN              |PM-IND-MET|TOR0B61-MET002-TEE0002-MET0121|CA02T0054|10.01.2024|10.01.2024|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 |   529.00 |       |       |
|  PMSTMCON |I00 PLC Update to HVAC Steam Gens       |4000124489|ZM01|        |100000490 |Steam to Steam Generator               |PM-EMS-MNT|TORB100-BSS001-CDC0012        |CA02T0111|15.01.2024|15.01.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |     0.00 |       |       |
|  PMPLMCON |C - B93 SHUTDOWN SUPPORT                |4000124505|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B93-BUI001                |CA02T0091|15.01.2024|15.01.2024|PRCO RFEX     |27012024|REL  MANC NMAT PRC  SETC                |          |          |     0.00 |31,831.00 |       |       |
|  PMCARCON |CHI1063 & 65 paint over the covers      |4000124508|ZM01|VARIOUS |TORCHI1063|CHILLER_ RECIRCULATING                 |PM-BAC-COP|TOR0B89-DSP012-CHI0001        |CA02T0043|09.01.2024|09.01.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |   586.50 |       |       |
|  PMMACCON |Passivate TNK1875, TNK2370 & 5 SS racks |4000124510|ZM01|        |TORTNK1875|Phosphoric Acid Addition Vessel - 75L  |B89       |TOR0B89-DSP014-TAN0121        |CA02T0043|13.01.2024|13.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 3,475.00 |       |       |
|  PMCARCON |B90 Wall Touch Ups Room 133             |4000124511|ZM01|        |          |                                       |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|10.01.2024|10.01.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 1,368.50 |       |       |
